
[00:00:00.000 --> 00:00:04.640]  今天的題目是從失望到欣賞
[00:00:04.640 --> 00:00:10.560]  也是我們培靈月的其中一個主題
[00:00:10.560 --> 00:00:16.400]  有人說期望越大,失望就越大
[00:00:16.400 --> 00:00:21.760]  既然如此,不做期望,就不會有失望了
[00:00:21.760 --> 00:00:25.680]  我猜很多父母都有類似的經驗
[00:00:25.680 --> 00:00:28.720]  就是對子女有很大很大的期望
[00:00:28.720 --> 00:00:33.280]  結果當子女不能達到這個期望的時候
[00:00:33.280 --> 00:00:37.520]  就會有失望,甚至失控
[00:00:37.520 --> 00:00:43.200]  因為花了這麼多時間、心機、金錢
[00:00:43.200 --> 00:00:46.880]  來供書教學,養大他
[00:00:46.880 --> 00:00:51.120]  如果不能達到你的期望
[00:00:51.120 --> 00:00:54.160]  一定會非常失望,甚至失控
[00:00:54.160 --> 00:00:57.840]  整個人可能會崩潰
[00:00:57.840 --> 00:01:01.120]  在今天我回來之前
[00:01:01.120 --> 00:01:06.240]  幫兩位年輕人舉行婚禮
[00:01:06.240 --> 00:01:08.800]  兩位年輕人未到三十歲
[00:01:08.800 --> 00:01:12.320]  大家都拿了博士學位
[00:01:12.320 --> 00:01:15.120]  在他們的結婚證書上,職業那一欄
[00:01:15.120 --> 00:01:18.240]  兩個人都寫著化學家
[00:01:18.240 --> 00:01:24.240]  看見那兩對新人的父母就開心到暈倒了
[00:01:24.240 --> 00:01:28.480]  因為這麼年輕,就已經拿了博士學位
[00:01:28.480 --> 00:01:30.320]  在外國讀完書回來
[00:01:30.320 --> 00:01:34.000]  兩個人的樣貌非常好
[00:01:34.000 --> 00:01:36.720]  這個世界可能大家覺得很不公平
[00:01:36.720 --> 00:01:39.200]  為什麼會這樣呢?
[00:01:39.200 --> 00:01:45.200]  但我相信他們的父母對他們的期望能夠成真
[00:01:45.200 --> 00:01:48.640]  還要成家,當然是非常開心
[00:01:48.640 --> 00:01:51.520]  但反過來,如果不是這樣出現的話
[00:01:51.520 --> 00:01:53.920]  可能真是一個很大的打擊
[00:01:53.920 --> 00:01:56.480]  不單止父母對子女
[00:01:56.480 --> 00:02:00.320]  我猜朋友對朋友也會有期望
[00:02:00.320 --> 00:02:03.200]  老師對學生也有期望
[00:02:03.200 --> 00:02:06.000]  教友對牧者也有期望
[00:02:06.000 --> 00:02:08.960]  大家回到教會有什麼期望呢?
[00:02:08.960 --> 00:02:12.800]  當然是期望牧師的講道要有水準
[00:02:12.800 --> 00:02:14.560]  有紮實的聖經知識
[00:02:14.560 --> 00:02:16.320]  又能夠對應生活
[00:02:16.320 --> 00:02:17.840]  千萬不要太離地
[00:02:17.840 --> 00:02:19.600]  再加上要有笑位
[00:02:19.600 --> 00:02:21.200]  否則會悶死人
[00:02:21.200 --> 00:02:23.040]  你想想這是不是你的期望呢?
[00:02:23.040 --> 00:02:25.680]  大家在笑的時候很共鳴
[00:02:25.680 --> 00:02:27.680]  因為我也做過教友
[00:02:27.680 --> 00:02:28.960]  這也是我的期望
[00:02:28.960 --> 00:02:31.520]  我對牧者的期望
[00:02:31.520 --> 00:02:32.400]  好了
[00:02:32.400 --> 00:02:34.000]  不過因為有些人
[00:02:34.000 --> 00:02:37.840]  背負了其他人對一個這麼大的期望
[00:02:37.840 --> 00:02:40.240]  甚至乎過了龍
[00:02:40.240 --> 00:02:44.800]  超過了他能力來承擔
[00:02:44.800 --> 00:02:47.280]  結果可能他不單止令人失望
[00:02:47.280 --> 00:02:49.680]  也可能會對自己失望
[00:02:49.680 --> 00:02:53.840]  尤其是本身對自己有期望
[00:02:53.840 --> 00:02:55.440]  但很可惜做不到
[00:02:55.440 --> 00:02:59.200]  結果有機會自暴自棄
[00:02:59.200 --> 00:03:00.800]  雖然我這樣說
[00:03:00.800 --> 00:03:04.320]  令大家覺得期望是否很負面呢?
[00:03:04.320 --> 00:03:06.080]  如果你真的不期望那麼多
[00:03:06.080 --> 00:03:08.000]  就不會失望
[00:03:08.000 --> 00:03:10.720]  但其實有期望是很正面的
[00:03:10.720 --> 00:03:12.880]  因為這是一個動力
[00:03:12.880 --> 00:03:16.560]  也是挑戰個人去限制
[00:03:16.560 --> 00:03:20.800]  很多限制當中有突破的可能
[00:03:20.800 --> 00:03:23.520]  這就是啦啦隊的作用
[00:03:23.520 --> 00:03:25.680]  如果在比賽上
[00:03:25.680 --> 00:03:28.400]  本來可能處於劣勢
[00:03:28.400 --> 00:03:30.720]  看來沒什麼勝算和打壓
[00:03:30.720 --> 00:03:32.960]  不過在其他人的鼓勵下
[00:03:32.960 --> 00:03:34.160]  士氣大增
[00:03:34.160 --> 00:03:36.800]  結果可以反敗為勝
[00:03:36.800 --> 00:03:39.600]  你想想這個喜悅有多大呢?
[00:03:39.600 --> 00:03:42.960]  所以啦啦隊實在有這個作用
[00:03:42.960 --> 00:03:45.360]  令你增加士氣
[00:03:45.360 --> 00:03:50.400]  將你的個人潛能激發出來
[00:03:50.400 --> 00:03:52.720]  由期望去到失望
[00:03:52.720 --> 00:03:56.000]  再返回到有肯定和欣賞
[00:03:56.000 --> 00:03:57.680]  在聖經當中
[00:03:57.680 --> 00:04:00.080]  保羅和馬可的故事
[00:04:00.080 --> 00:04:04.080]  一定是最佳的例子
[00:04:04.080 --> 00:04:08.160]  保羅在宣教旅程的上高有很多童工
[00:04:08.160 --> 00:04:10.480]  他也建立了很多徒弟
[00:04:10.480 --> 00:04:13.440]  其中介紹一些給大家認識
[00:04:13.440 --> 00:04:17.040]  保羅的童工其中有一個非常出名
[00:04:17.040 --> 00:04:18.400]  叫做盧嘉
[00:04:18.400 --> 00:04:21.200]  結果他寫了《盧嘉福音》
[00:04:21.200 --> 00:04:24.080]  在今天我們讀的第二段經文
[00:04:24.080 --> 00:04:27.040]  《提摩太后書》第四章第十一節
[00:04:27.040 --> 00:04:28.560]  大家看到了
[00:04:28.560 --> 00:04:35.280]  《提摩太后書》是保羅很晚期的一卷書信著作
[00:04:35.280 --> 00:04:38.640]  因為他知道人生差不多已經走完了
[00:04:38.640 --> 00:04:42.720]  在那個時候有些童工離開了他
[00:04:42.720 --> 00:04:44.720]  是因為貪愛世界
[00:04:44.720 --> 00:04:46.560]  在第十節裡面提到
[00:04:46.560 --> 00:04:49.040]  一個叫做抵賣
[00:04:49.040 --> 00:04:51.040]  另外一些童工
[00:04:51.040 --> 00:04:53.600]  不能夠繼續陪著保羅
[00:04:53.600 --> 00:04:55.600]  因為他們有其他的任務
[00:04:55.600 --> 00:04:57.920]  所以他們去了不同的地方
[00:04:57.920 --> 00:04:59.360]  第十一節
[00:04:59.360 --> 00:05:03.360]  就說只剩下盧嘉在那裡陪著他
[00:05:03.360 --> 00:05:07.920]  因為我們知道保羅和盧嘉醫生
[00:05:07.920 --> 00:05:10.320]  他們有一個很緊密的關係
[00:05:10.320 --> 00:05:12.960]  所以盧嘉的福音裡面
[00:05:12.960 --> 00:05:16.880]  有很多其實都是和保羅在宣教旅程裡面
[00:05:16.880 --> 00:05:20.560]  所知道關於耶穌基督的事情
[00:05:20.560 --> 00:05:24.400]  保羅另外還有一個童工叫做西拉
[00:05:24.400 --> 00:05:26.720]  在我們今天讀的第一段經文
[00:05:26.720 --> 00:05:31.440]  就是《紹行傳》第十五章第四十節裡面提到
[00:05:31.440 --> 00:05:34.160]  保羅巴拿巴
[00:05:34.160 --> 00:05:36.560]  為了帶不帶馬可
[00:05:36.560 --> 00:05:39.120]  來繼續有宣教的旅程
[00:05:39.120 --> 00:05:40.640]  結果鬧翻了
[00:05:40.640 --> 00:05:42.160]  最後分道揚鑣
[00:05:42.160 --> 00:05:44.240]  第四十節就說保羅
[00:05:44.240 --> 00:05:47.760]  就揀選了西拉來出發
[00:05:47.760 --> 00:05:52.880]  去他曾經來探訪建立的教會
[00:05:52.880 --> 00:05:55.120]  而巴拿巴帶著馬可
[00:05:55.120 --> 00:05:58.080]  就去了第二個地方
[00:05:58.080 --> 00:06:00.480]  就去到塞浦路斯
[00:06:00.480 --> 00:06:04.080]  這些是保羅的童工
[00:06:04.080 --> 00:06:05.920]  盧嘉、西拉
[00:06:05.920 --> 00:06:10.400]  徒弟在《新約聖經》裡面有兩本書
[00:06:10.400 --> 00:06:13.040]  就是和保羅的徒弟很有關係的
[00:06:13.040 --> 00:06:15.840]  就是《提多》和《提摩泰》
[00:06:15.840 --> 00:06:18.640]  在《提多書》第一章第四節
[00:06:18.640 --> 00:06:20.080]  如果大家手上有聖經
[00:06:20.080 --> 00:06:23.280]  現在就可以揭開來看
[00:06:23.280 --> 00:06:32.400]  《提多書》第一章第四節
