
[00:00:00.000 --> 00:00:08.600]  今日我們的講題是「瀑人真領袖」
[00:00:08.600 --> 00:00:14.700]  求主幫助我們成為主的瀑人
[00:00:14.700 --> 00:00:17.500]  亦是教會的領袖
[00:00:17.500 --> 00:00:20.600]  有人問教會最需要的是什麼呢?
[00:00:20.600 --> 00:00:27.600]  有人說教會最需要的是錢、人才或建築物
[00:00:27.600 --> 00:00:29.600]  其實也不是
[00:00:29.600 --> 00:00:34.600]  教會需要的是耶穌的門徒
[00:00:34.600 --> 00:00:36.600]  耶穌的門徒是甚麼呢?
[00:00:36.600 --> 00:00:41.600]  就是去跟從主耶穌、去服侍主耶穌
[00:00:41.600 --> 00:00:47.600]  是一班謙卑的瀑人去服侍主
[00:00:47.600 --> 00:00:50.600]  這是教會最需要的
[00:00:50.600 --> 00:00:54.600]  我們要服侍神的一個很奇妙的事
[00:00:54.600 --> 00:00:58.600]  就是我們的生命越被建造
[00:00:58.600 --> 00:01:00.600]  我們服侍主的時候
[00:01:00.600 --> 00:01:02.600]  我們的生命就越建造
[00:01:02.600 --> 00:01:04.600]  我們就更加謙卑
[00:01:04.600 --> 00:01:06.600]  更加像主耶穌基督
[00:01:06.600 --> 00:01:08.600]  這是很特別的事
[00:01:08.600 --> 00:01:10.600]  如果我們不服侍主的時候
[00:01:10.600 --> 00:01:12.600]  我們等人服侍
[00:01:12.600 --> 00:01:15.600]  我們的生命就不會進步
[00:01:15.600 --> 00:01:20.600]  我們的生命不會有一個成長在當中
[00:01:20.600 --> 00:01:24.600]  我們慢慢變得越來越難搞
[00:01:24.600 --> 00:01:26.600]  人們見到我們都害怕
[00:01:26.600 --> 00:01:28.600]  就等人們服侍
[00:01:28.600 --> 00:01:30.600]  我們會有很多怨氣
[00:01:30.600 --> 00:01:32.600]  但去服侍人的人
[00:01:32.600 --> 00:01:34.600]  生命當中是很不一樣
[00:01:34.600 --> 00:01:37.600]  所以我們時常都要成為主的門徒
[00:01:37.600 --> 00:01:40.600]  去服侍其他人
[00:01:40.600 --> 00:01:42.600]  可惜很多教會裏面
[00:01:42.600 --> 00:01:47.600]  我們缺乏訓練工人
[00:01:47.600 --> 00:01:49.600]  訓練服侍的人
[00:01:49.600 --> 00:01:54.600]  有時候教會會慢慢變成
[00:01:54.600 --> 00:01:56.600]  像影藝學院一樣
[00:01:56.600 --> 00:02:01.600]  訓練一些更加好靚仔、靚女、吸引人的人
[00:02:01.600 --> 00:02:03.600]  這些不是不好的
[00:02:03.600 --> 00:02:06.600]  不過我們教會主要是
[00:02:06.600 --> 00:02:09.600]  去製造一些跟從主的人
[00:02:09.600 --> 00:02:11.600]  去服侍主的人
[00:02:11.600 --> 00:02:13.600]  我們不是製造明星
[00:02:13.600 --> 00:02:15.600]  我們不是電視台
[00:02:15.600 --> 00:02:18.600]  我們是願意更加去服侍主
[00:02:18.600 --> 00:02:21.600]  這是教會裏面需要的事
[00:02:21.600 --> 00:02:24.600]  我們有很多說話
[00:02:24.600 --> 00:02:26.600]  但我們有沒有真正去服侍呢?
[00:02:26.600 --> 00:02:29.600]  教會的領袖,甚麼叫領袖呢?
[00:02:29.600 --> 00:02:32.600]  世上的領袖跟教會的領袖不一樣
[00:02:32.600 --> 00:02:35.600]  世上的領袖是人類仰慕他的
[00:02:35.600 --> 00:02:37.600]  或者look up to他
[00:02:37.600 --> 00:02:39.600]  很厲害、很叻的
[00:02:39.600 --> 00:02:41.600]  但教會裏面的領袖
[00:02:41.600 --> 00:02:44.600]  是一個榜樣
[00:02:44.600 --> 00:02:46.600]  這個榜樣就是人們見到他
[00:02:46.600 --> 00:02:48.600]  這樣服侍的時候
[00:02:48.600 --> 00:02:52.600]  他們都願意跟從他的榜樣去服侍
[00:02:52.600 --> 00:02:54.600]  所以教會的領袖
[00:02:54.600 --> 00:02:57.600]  是越加願意去服侍的
[00:02:57.600 --> 00:02:59.600]  所以主耶穌都教導我們
[00:02:59.600 --> 00:03:01.600]  誰想做大哥呢?
[00:03:01.600 --> 00:03:03.600]  誰想做頭呢?
[00:03:03.600 --> 00:03:05.600]  就是要做最小的去服侍
[00:03:05.600 --> 00:03:07.600]  這是主耶穌教導我們的
[00:03:07.600 --> 00:03:09.600]  我們看一段經文
[00:03:09.600 --> 00:03:14.600]  是講到耶穌和門徒在聊天
[00:03:14.600 --> 00:03:19.600]  在馬可福音第九章三十三至三十七節
[00:03:19.600 --> 00:03:22.600]  他們來到加伯隆進了屋市裏面
[00:03:22.600 --> 00:03:24.600]  耶穌就問這些門徒
[00:03:24.600 --> 00:03:27.600]  你們在路上爭甚麼呢?
[00:03:27.600 --> 00:03:30.600]  他們又不出聲,這班門徒不出聲
[00:03:30.600 --> 00:03:34.600]  因為一路上他們在爭論誰是最偉大的
[00:03:34.600 --> 00:03:37.600]  耶穌就坐下,叫十二個使徒
[00:03:37.600 --> 00:03:39.600]  到他們面前對他們說
[00:03:39.600 --> 00:03:44.600]  誰要居首,誰得居後,作大眾的僕人
[00:03:44.600 --> 00:03:46.600]  於是他就找了一個使徒
[00:03:46.600 --> 00:03:48.600]  叫他站在他們中間
[00:03:48.600 --> 00:03:50.600]  然後抱起他們,抱起這個小孩子
[00:03:50.600 --> 00:03:52.600]  就對這些門徒說
[00:03:52.600 --> 00:03:55.600]  為了我而接待這樣一個小孩子的
[00:03:55.600 --> 00:03:57.600]  就是接待我
[00:03:57.600 --> 00:04:00.600]  接待我的,不僅是接待我
[00:04:00.600 --> 00:04:03.600]  有時是接待差我來的那一位
[00:04:03.600 --> 00:04:06.600]  這段經文都很特別
[00:04:06.600 --> 00:04:11.600]  我們人有一個本性
[00:04:11.600 --> 00:04:14.600]  我們人有個本性都需要爭
[00:04:14.600 --> 00:04:17.600]  想爭做個叻的
[00:04:17.600 --> 00:04:20.600]  我們至少在學校讀書
[00:04:20.600 --> 00:04:23.600]  都很想出人頭地
[00:04:23.600 --> 00:04:26.600]  我記得我小時候讀書
[00:04:26.600 --> 00:04:28.600]  很羨慕那些人做班長
[00:04:28.600 --> 00:04:31.600]  做班長做不到就做行長
