
[00:00:00.000 --> 00:00:03.640]  有人形容2020年是空白的一年
[00:00:03.640 --> 00:00:07.840]  我想無論是很多媒體或是我們朋友的媒體
[00:00:07.840 --> 00:00:13.900]  發佈的訊息都會說2020年真是空白的一年,白過了
[00:00:13.900 --> 00:00:16.140]  大概是因為疫情的緣故
[00:00:16.140 --> 00:00:19.260]  我們工作在家裡,我們的工作效率低了很多
[00:00:19.260 --> 00:00:21.580]  我們以往很想做的事情做不到
[00:00:21.580 --> 00:00:23.080]  特別是去旅行
[00:00:23.080 --> 00:00:27.700]  搞到好像時間過得很快,雖然很難熬
[00:00:27.700 --> 00:00:32.380]  但好像過了就好像沒過一樣,好像人沒什麼進步
[00:00:32.380 --> 00:00:36.720]  或者在2020年再綜合一些經驗回來的時候
[00:00:36.720 --> 00:00:39.060]  都覺得沒什麼可以學到
[00:00:39.060 --> 00:00:42.020]  所以大家都說這是一個空白的一年
[00:00:42.020 --> 00:00:46.260]  又或者是一個消失的一年
[00:00:46.260 --> 00:00:49.260]  今天很想藉著生命記的第一章
[00:00:49.260 --> 00:00:54.700]  去跟大家整合一下上一年的經驗
[00:00:54.700 --> 00:01:02.020]  怎樣可以幫助我們跟神一起走入未知的2021年
[00:01:02.020 --> 00:01:05.320]  我們可以想像2021年發生的事情
[00:01:05.320 --> 00:01:08.160]  或許都是全新的,我們沒經歷過的
[00:01:08.160 --> 00:01:11.260]  但是我們可不可以跟神一起走呢?
[00:01:11.260 --> 00:01:16.580]  就要看我們怎樣去整合我們上一年的經驗
[00:01:16.580 --> 00:01:19.200]  而今天的經文生命記第一章
[00:01:19.200 --> 00:01:24.900]  就是說摩西在他臨離開世界之前
[00:01:24.900 --> 00:01:28.640]  以色列人再一次站在約旦河旁邊
[00:01:28.640 --> 00:01:30.920]  要進入英許之地
[00:01:30.920 --> 00:01:34.480]  他在第一至四章就總結了以色列人
[00:01:34.480 --> 00:01:37.740]  他們在曠野生活的那四十年
[00:01:37.740 --> 00:01:40.040]  很想他們用回以往的經驗
[00:01:40.040 --> 00:01:42.840]  無論是好的或者不好的經驗
[00:01:42.840 --> 00:01:47.020]  讓他們願意進入英許之地
