
[00:00:00.000 --> 00:00:03.320]  在美國的一位牧者也是在報道會的
[00:00:03.320 --> 00:00:05.480]  一位牧者叫做Larry Osborn
[00:00:05.480 --> 00:00:08.840]  他寫了一本書叫做Unity Factor
[00:00:08.840 --> 00:00:12.780]  即是有什麼東西能夠將教會合一起來
[00:00:12.780 --> 00:00:17.600]  在這本書裡面他很早的段落就已經說了
[00:00:17.600 --> 00:00:21.500]  他說其實一間教會要訂立一些優先的次序
[00:00:21.500 --> 00:00:23.580]  或者是大家合一的目標
[00:00:23.580 --> 00:00:25.860]  其實需要相當的時間
[00:00:25.860 --> 00:00:27.500]  以他自己為例
[00:00:27.500 --> 00:00:31.860]  他在一個教會裡邊侍奉都需要四年的時間才開始
[00:00:31.860 --> 00:00:38.660]  可以有些合一的同一個路徑去發展教會的事
[00:00:38.660 --> 00:00:41.580]  他說到其實
[00:00:41.580 --> 00:00:45.500]  一個教會其實很需要一個同心合意的
[00:00:45.500 --> 00:00:48.700]  這個合一不是代表每個人想的東西一樣
[00:00:48.700 --> 00:00:52.080]  但是至少有共一個目標的
[00:00:52.080 --> 00:00:55.880]  譬如好像等於一個管弦樂團一定有同一個樂章的
[00:00:55.880 --> 00:01:00.840]  否則你作一曲 我又作一曲就亂七八糟
[00:01:00.840 --> 00:01:02.340]  所以一定有這個
[00:01:02.340 --> 00:01:05.040]  但是謀求合一的時候
[00:01:05.040 --> 00:01:07.520]  恐怕這個過程很困難
[00:01:07.520 --> 00:01:09.980]  並且人有很多不同的背景
[00:01:09.980 --> 00:01:12.460]  一同有同一個方向去進發
[00:01:12.460 --> 00:01:15.000]  實在非常困難
[00:01:15.000 --> 00:01:18.020]  我們想到教會其實是一個愛的群體
[00:01:18.020 --> 00:01:20.120]  但是在這種張力
[00:01:20.120 --> 00:01:23.780]  無論是侍奉或者是人際關係彼此相處之間
[00:01:23.780 --> 00:01:30.240]  難免會有一些彼此有意無意的傷害
[00:01:30.240 --> 00:01:32.400]  其實教會就是一個有愛的群體
[00:01:32.400 --> 00:01:36.240]  我們如何在當中有很好的成長呢?
[00:01:36.240 --> 00:01:38.600]  這個課題真是很重要
[00:01:38.600 --> 00:01:44.000]  我們如何一起轉化我們的生命
[00:01:44.000 --> 00:01:46.100]  還有Ospon說到
[00:01:46.100 --> 00:01:48.100]  其實有些東西不是原則性的問題
[00:01:48.100 --> 00:01:50.100]  而是一些方法的問題
[00:01:50.100 --> 00:01:55.920]  譬如有些教會的敬拜是比較古典的
[00:01:55.920 --> 00:01:58.320]  有些是鋼琴的
[00:01:58.320 --> 00:02:01.620]  有些是彈結他、打鼓的
[00:02:01.620 --> 00:02:04.520]  有些是教會的財務
[00:02:04.520 --> 00:02:07.440]  有些是想建立一間大的禮拜堂
[00:02:07.440 --> 00:02:09.840]  有些是想多請幾位傳道人
[00:02:09.840 --> 00:02:11.860]  有很多不同的
[00:02:11.860 --> 00:02:16.280]  我們在教會裡面的確每個人都有很多思想
[00:02:16.280 --> 00:02:19.960]  特別的性格
[00:02:19.960 --> 00:02:23.880]  我們如何能夠是一個合一和諧的相處呢?
[00:02:23.880 --> 00:02:28.020]  我恐怕不是一些架構上的問題可以解決
[00:02:28.020 --> 00:02:31.720]  其實最重要的我估計是內心的轉化
