
[00:00:00.000 --> 00:00:03.000]  一般我們在八月十五會望天上的月亮
[00:00:03.000 --> 00:00:06.680]  沒有什麼人不抬頭望天上的月亮
[00:00:06.680 --> 00:00:09.080]  如果當天天色好的時候
[00:00:09.080 --> 00:00:11.600]  又或者在一些處境
[00:00:11.600 --> 00:00:13.640]  我們很想望著天空
[00:00:13.640 --> 00:00:17.360]  在天空裏面能夠帶著一些訊息
[00:00:17.360 --> 00:00:20.040]  在當下那一刻
[00:00:20.040 --> 00:00:22.200]  在仙徒行傳一開始的時候
[00:00:22.200 --> 00:00:24.920]  就是一段這樣的經歷
[00:00:26.080 --> 00:00:30.960]  講述一群門徒和主耶穌基督在一起
[00:00:30.960 --> 00:00:32.040]  在地上的日子
[00:00:32.040 --> 00:00:33.840]  主耶穌是死而復活
[00:00:33.840 --> 00:00:35.840]  在地上有四十天
[00:00:35.840 --> 00:00:38.760]  在仙徒行傳第一節
[00:00:38.760 --> 00:00:40.760]  祂就說「提亞非羅」
[00:00:40.760 --> 00:00:45.840]  提亞非羅很多人說不是一個人
[00:00:45.840 --> 00:00:48.520]  是一群人
[00:00:48.520 --> 00:00:51.720]  如果翻譯那個意思是什麼呢?
[00:00:51.720 --> 00:00:54.120]  提亞非羅是兩個字所組成
[00:00:56.080 --> 00:00:59.680]  提亞非羅是兩個字所組成的意思是什麼呢?
[00:00:59.680 --> 00:01:02.160]  有些翻譯是神所愛的人
[00:01:02.160 --> 00:01:04.640]  神所愛的人
[00:01:04.640 --> 00:01:07.960]  又或者一群愛神的人
[00:01:07.960 --> 00:01:11.960]  就去講述這個事蹟
[00:01:11.960 --> 00:01:13.240]  如果講到前書
[00:01:13.240 --> 00:01:16.560]  即是舍行主的前書是什麼呢?
[00:01:16.560 --> 00:01:18.280]  如果跟一個作者
[00:01:18.280 --> 00:01:20.240]  就是路加福音
[00:01:20.240 --> 00:01:22.080]  是路加所寫的
[00:01:22.080 --> 00:01:23.680]  他說我已經寫了前書了
[00:01:23.680 --> 00:01:24.600]  作者前書了
