
[00:00:00.000 --> 00:00:08.400]  今早這段經文是教務同工他們選了這一個月的金句
[00:00:08.400 --> 00:00:10.280]  也是我們整個季度裡面
[00:00:10.280 --> 00:00:13.780]  操練生命裡面的一個題目
[00:00:13.780 --> 00:00:18.240]  記得上一個月的時候跟大家分享了
[00:00:18.240 --> 00:00:21.920]  一個堅持到底的操練
[00:00:21.920 --> 00:00:26.480]  我們的操練其實是一定要維持一段時間
[00:00:26.480 --> 00:00:30.680]  堅持到底是態度的問題
[00:00:30.680 --> 00:00:33.660]  我們當中要操練的東西是包括了很多
[00:00:33.660 --> 00:00:37.240]  希望同工們繼續跟大家分享
[00:00:37.240 --> 00:00:39.360]  今天想跟大家分享的
[00:00:39.360 --> 00:00:41.700]  在這段經文裡面提到的就是
[00:00:41.700 --> 00:00:47.340]  對上帝、對我們的神那份真誠的信服
[00:00:47.340 --> 00:00:54.680]  信服有時候未必是來自我們真心的誠意
[00:00:54.680 --> 00:00:58.280]  今天我們看這段經文裡面是記載一個事蹟
[00:00:58.280 --> 00:01:01.980]  薩姆伊基其實是一個很好看的
[00:01:01.980 --> 00:01:03.360]  上下很好看的
[00:01:03.360 --> 00:01:04.180]  踢到笑
[00:01:04.180 --> 00:01:07.720]  因為我們上個主題學的時候也講過這段經文
[00:01:07.720 --> 00:01:09.760]  非常豐富的一段經文
[00:01:09.760 --> 00:01:14.200]  今天我們希望能夠用一段短的時間跟大家分享一下
[00:01:14.200 --> 00:01:18.540]  引言裡面我提到大家最近比較接近
[00:01:18.540 --> 00:01:20.840]  比較熟悉的一個說法
[00:01:20.840 --> 00:01:25.300]  就是我們提到的品格的問題
[00:01:25.300 --> 00:01:26.480]  品格
[00:01:26.480 --> 00:01:29.000]  特別是我們作為一個信主的人
[00:01:29.000 --> 00:01:33.160]  是很重要的一件事情
[00:01:33.160 --> 00:01:37.400]  在我們的社會上最近常常提到的
[00:01:37.400 --> 00:01:40.960]  是講到品格上的審查
[00:01:40.960 --> 00:01:43.520]  今天在這段經文裡面我想跟大家講的就是
[00:01:43.520 --> 00:01:45.760]  保羅所面對的是什麼呢?
[00:01:45.760 --> 00:01:49.800]  是一個品格的測試
[00:01:49.800 --> 00:01:52.580]  審查和測試是有一點不一樣的
[00:01:52.580 --> 00:01:55.320]  原則上就是品格的審查
[00:01:55.320 --> 00:01:58.620]  按照我們在特區政府
[00:01:58.620 --> 00:02:01.340]  或者過去在港英政府之下
[00:02:01.340 --> 00:02:04.700]  我們是聘用一個政府的公務員的時候
[00:02:04.700 --> 00:02:07.200]  你會做一個品格的審查
[00:02:07.200 --> 00:02:09.640]  視乎你的職位
[00:02:09.640 --> 00:02:14.240]  視乎你的工作的敏感度
[00:02:14.240 --> 00:02:15.680]  是有不同的
[00:02:15.680 --> 00:02:17.560]  粗略的說
