
[00:00:00.000 --> 00:00:02.000]  大衛傳的第六講
[00:00:02.000 --> 00:00:07.000]  今天我們要講《撒母》以上的23章至24章
[00:00:07.000 --> 00:00:13.000]  繼續來探討如何能夠成為一個合神心意的人
[00:00:13.000 --> 00:00:15.000]  今天的題目是什麼
[00:00:15.000 --> 00:00:18.000]  不可身手害神的仇高者
[00:00:18.000 --> 00:00:21.000]  哇 你說 我是信徒來的
[00:00:21.000 --> 00:00:25.000]  我的仇高者只有一位就是耶穌基督
[00:00:25.000 --> 00:00:28.000]  但是在我們的生命當中
[00:00:28.000 --> 00:00:32.000]  在這個世上 神是不是擺了一些上司
[00:00:32.000 --> 00:00:37.000]  一些領袖 一些老闆在你的上高呢
[00:00:37.000 --> 00:00:41.000]  有時這些老闆 這些上司很苛刻
[00:00:41.000 --> 00:00:44.000]  甚至很無理 是不是
[00:00:44.000 --> 00:00:47.000]  真的好像蘇羅追殺大衛
[00:00:47.000 --> 00:00:50.000]  你心想 哇 這個老闆真的想要我的命
[00:00:50.000 --> 00:00:53.000]  我們應該怎樣來回應呢
[00:00:53.000 --> 00:00:56.000]  我們應該要怎樣來做呢
[00:00:56.000 --> 00:00:58.000]  我們今天這篇道
[00:00:58.000 --> 00:01:04.000]  就是有給我們一個很好的榜樣 一個教導
[00:01:04.000 --> 00:01:06.000]  一些背景
[00:01:06.000 --> 00:01:10.000]  我們見到蘇羅不斷追殺大衛
[00:01:10.000 --> 00:01:17.000]  大衛陷於很悲慘 很艱難的一段日子
[00:01:17.000 --> 00:01:22.000]  很多時我們衡量一個人成功與否是怎樣衡量
[00:01:22.000 --> 00:01:27.000]  看看他做那件事有多成功 是不是
[00:01:27.000 --> 00:01:31.000]  但是其實我們很應該衡量一個人
[00:01:31.000 --> 00:01:33.000]  就是他未成功之前
[00:01:33.000 --> 00:01:35.000]  他怎樣來克服困難
[00:01:35.000 --> 00:01:38.000]  怎樣來克服障礙
[00:01:38.000 --> 00:01:42.000]  這個是一個比較好衡量人的方法
[00:01:42.000 --> 00:01:45.000]  如果我們用這個方法來衡量大衛
[00:01:45.000 --> 00:01:48.000]  我們會發現大衛是一個非常成功的人
[00:01:48.000 --> 00:01:50.000]  因為他未成功之前
[00:01:50.000 --> 00:01:54.000]  他要克服很多的困難 很多的困境
[00:01:54.000 --> 00:01:58.000]  十年來大衛不斷被蘇羅追殺
[00:01:58.000 --> 00:02:02.000]  他一方面要與蘇羅對抗
[00:02:02.000 --> 00:02:06.000]  另一方面他仍然不斷地打救以色列人
[00:02:06.000 --> 00:02:10.000]  從敵人的手中將以色列人打救出來
[00:02:10.000 --> 00:02:12.000]  不是容易的
[00:02:12.000 --> 00:02:15.000]  他與他的跟隨者
[00:02:15.000 --> 00:02:21.000]  到處在曠野沙漠洞穴裡漂流
[00:02:21.000 --> 00:02:25.000]  然後到最後神才救贖他
[00:02:25.000 --> 00:02:27.000]  成為以色列人的王
[00:02:27.000 --> 00:02:29.000]  將他擺上寶座
[00:02:29.000 --> 00:02:32.000]  大衛成為以色列人的王
[00:02:32.000 --> 00:02:35.000]  不單止對以色列人很重要
[00:02:35.000 --> 00:02:37.000]  對我們也很重要
[00:02:37.000 --> 00:02:40.000]  因為他也是我們的王
[00:02:40.000 --> 00:02:43.000]  將來他會回來世上掌權
[00:02:43.000 --> 00:02:46.000]  會成為世上萬國的王
[00:02:46.000 --> 00:02:49.000]  所以這件事對我們也很重要
[00:02:49.000 --> 00:02:52.000]  耶穌基督就是大衛的子孫
[00:02:52.000 --> 00:02:55.000]  就是神的兒子
[00:02:55.000 --> 00:02:57.000]  今天我這篇道
[00:02:57.000 --> 00:02:59.000]  以及上次這篇道
[00:02:59.000 --> 00:03:02.000]  唯一相似的地方是甚麼
[00:03:02.000 --> 00:03:05.000]  上次我是用三個地方來分斷
[00:03:05.000 --> 00:03:09.000]  今天我是用四個不同的地方來分斷
[00:03:09.000 --> 00:03:13.000]  就是大衛被數羅追殺
[00:03:13.000 --> 00:03:15.000]  由一個地方到另一個地方
[00:03:15.000 --> 00:03:17.000]  然後到了第四個地方
[00:03:17.000 --> 00:03:20.000]  神給他一個機會來平反
[00:03:20.000 --> 00:03:24.000]  給他一個機會來表白他自己
[00:03:24.000 --> 00:03:26.000]  第一個地方是甚麼
[00:03:26.000 --> 00:03:28.000]  是基伊拉
[00:03:28.000 --> 00:03:33.000]  基伊拉是以色列人邊境的一個城市
[00:03:33.000 --> 00:03:36.000]  是很接近菲律師人的地方
[00:03:36.000 --> 00:03:41.000]  距離菲律師人的加特城只有十二里
[00:03:41.000 --> 00:03:47.000]  這個地方也在哈列森林的西邊大概十里
[00:03:47.000 --> 00:03:51.000]  你說哈列森林好像似曾相識
[00:03:51.000 --> 00:03:53.000]  你真的記得了
[00:03:53.000 --> 00:03:55.000]  我上星期跟大家說過
[00:03:55.000 --> 00:03:59.000]  記不記得在撒母以上的二十二章第五節
[00:03:59.000 --> 00:04:01.000]  加德先知和大衛說
[00:04:01.000 --> 00:04:04.000]  你不要躲在山寨堡裡
[00:04:04.000 --> 00:04:10.000]  你要回到哈列森林猶太人的地方
[00:04:10.000 --> 00:04:14.000]  所以大衛就在哈列森林紮營
[00:04:14.000 --> 00:04:18.000]  距離基伊拉大概十里
[00:04:18.000 --> 00:04:20.000]  基伊拉這個地方是很危險
[00:04:20.000 --> 00:04:23.000]  因為太接近菲律師人
[00:04:23.000 --> 00:04:26.000]  在敘事記的時候我們也說過
[00:04:26.000 --> 00:04:28.000]  每逢有收穫的季節
[00:04:28.000 --> 00:04:30.000]  敵人就會來攻打以色列人
[00:04:30.000 --> 00:04:32.000]  為甚麼
[00:04:32.000 --> 00:04:34.000]  為了搶他們的糧食
[00:04:34.000 --> 00:04:37.000]  所以菲律師人蠢蠢欲動
[00:04:37.000 --> 00:04:40.000]  會來基伊拉攻打他們
[00:04:40.000 --> 00:04:43.000]  蘇羅如果是關心他的子民的話
[00:04:43.000 --> 00:04:47.000]  他應該差派士兵來保護基伊拉
[00:04:47.000 --> 00:04:49.000]  但他沒有這樣做
[00:04:49.000 --> 00:04:52.000]  他唯一希望得到的是甚麼
[00:04:52.000 --> 00:04:54.000]  殺死大衛就是最重要
[00:04:54.000 --> 00:04:56.000]  反而敵對敵人
[00:04:56.000 --> 00:04:58.000]  他就完全不關心
[00:04:58.000 --> 00:05:03.000]  這和大衛有很大的分別
[00:05:03.000 --> 00:05:08.000]  大衛和蘇羅兩個在這片土地
[00:05:08.000 --> 00:05:10.000]  都有很多的探子
[00:05:10.000 --> 00:05:11.000]  蘇羅有他的探子
[00:05:11.000 --> 00:05:13.000]  大衛也有
[00:05:13.000 --> 00:05:15.000]  大衛的探子回來回報
[00:05:15.000 --> 00:05:18.000]  菲律師人是要來攻擊基伊拉
[00:05:18.000 --> 00:05:21.000]  於是大衛立刻做甚麼
[00:05:21.000 --> 00:05:24.000]  停下來尋問神的旨意
[00:05:24.000 --> 00:05:26.000]  這次不是第一次
[00:05:26.000 --> 00:05:29.000]  在索武以上的23章
[00:05:29.000 --> 00:05:32.000]  他是三次求問神的旨意
[00:05:32.000 --> 00:05:35.000]  我們遲些會見到在25章26章
[00:05:35.000 --> 00:05:38.000]  他繼續尋求神的旨意
[00:05:38.000 --> 00:05:40.000]  這就是大衛
[00:05:40.000 --> 00:05:43.000]  每有問題他首先求問神的旨意
[00:05:43.000 --> 00:05:46.000]  這和我們的做法很不同
[00:05:46.000 --> 00:05:48.000]  很多時候我們會怎樣
[00:05:48.000 --> 00:05:50.000]  尋求自己的利益
[00:05:50.000 --> 00:05:52.000]  有利益我就做
[00:05:52.000 --> 00:05:54.000]  沒有利益我就不做
[00:05:54.000 --> 00:05:57.000]  很少會去尋求神的旨意
[00:05:57.000 --> 00:06:00.000]  在這樣的情況之下
[00:06:00.000 --> 00:06:03.000]  我們尋求利益我們會怎樣說
[00:06:03.000 --> 00:06:07.000]  我們已經被蘇羅追殺了
[00:06:07.000 --> 00:06:10.000]  還要我去打舊基伊拉
[00:06:10.000 --> 00:06:12.000]  開玩笑說
[00:06:12.000 --> 00:06:14.000]  容不下腹背受敵
[00:06:14.000 --> 00:06:15.000]  你不要搞我
[00:06:15.000 --> 00:06:17.000]  我們就會這樣做
[00:06:17.000 --> 00:06:20.000]  另外有些人會怎樣
[00:06:20.000 --> 00:06:23.000]  有些事情發生就很驚青
[00:06:23.000 --> 00:06:25.000]  驚惶失措
[00:06:25.000 --> 00:06:27.000]  然後定了驚之後
[00:06:27.000 --> 00:06:29.000]  讓我來籌算一下
[00:06:29.000 --> 00:06:32.000]  讓我來計劃一下應該怎樣做
[00:06:32.000 --> 00:06:34.000]  然後才怎樣
[00:06:34.000 --> 00:06:35.000]  才禱告
[00:06:35.000 --> 00:06:39.000]  哎呀神啊祝福我的計劃
[00:06:39.000 --> 00:06:41.000]  始末倒置
[00:06:41.000 --> 00:06:43.000]  你把禱告放在最後
[00:06:43.000 --> 00:06:45.000]  其實一有問題發生
[00:06:45.000 --> 00:06:48.000]  你就應該立刻來禱告
[00:06:48.000 --> 00:06:51.000]  而不是像我們很多人一樣
[00:06:51.000 --> 00:06:54.000]  大衛有很多藉口
[00:06:54.000 --> 00:06:56.000]  當他被蘇羅追殺
[00:06:56.000 --> 00:06:59.000]  他可以說我自身難保
[00:06:59.000 --> 00:07:01.000]  我泥菩薩過江
[00:07:01.000 --> 00:07:02.000]  但他沒有這樣做
[00:07:02.000 --> 00:07:06.000]  他首先尋問神的旨意
[00:07:06.000 --> 00:07:10.000]  禱告是大衛的生活習慣
[00:07:10.000 --> 00:07:13.000]  當蘇羅最後死了
[00:07:13.000 --> 00:07:17.000]  神幫助他成為猶大王的時候
[00:07:17.000 --> 00:07:21.000]  他首先做什麼?求問神的旨意
[00:07:21.000 --> 00:07:25.000]  在《撒慕以下》第二章第一節
[00:07:25.000 --> 00:07:27.000]  然後經過七年半
[00:07:27.000 --> 00:07:32.000]  神將他擺上全以色列人的皇位
[00:07:32.000 --> 00:07:34.000]  他又首先做什麼?
[00:07:34.000 --> 00:07:36.000]  又是求問神的旨意
[00:07:36.000 --> 00:07:41.000]  在《撒慕以下》五章十九和二十三節
[00:07:41.000 --> 00:07:43.000]  這個就是原因
[00:07:43.000 --> 00:07:46.000]  為什麼大衛成為一個合神心意的人
[00:07:46.000 --> 00:07:48.000]  你想想
[00:07:48.000 --> 00:07:50.000]  如果你每做一件事
[00:07:50.000 --> 00:07:52.000]  你都首先求問神的旨意
[00:07:52.000 --> 00:07:55.000]  你說你是不是會成為合神心意的人
[00:07:55.000 --> 00:07:58.000]  這個就是大衛的秘訣
[00:07:58.000 --> 00:08:01.000]  有人可能會覺得很奇怪
[00:08:01.000 --> 00:08:05.000]  如果你說大衛都是求問神的旨意
[00:08:05.000 --> 00:08:08.000]  當阿比亞他這個祭司
[00:08:08.000 --> 00:08:10.000]  跟隨大衛之前
[00:08:10.000 --> 00:08:12.000]  大衛是怎樣尋求神的旨意呢?
[00:08:12.000 --> 00:08:14.000]  可能有人會問
[00:08:14.000 --> 00:08:16.000]  阿比亞他有以忽德
[00:08:16.000 --> 00:08:20.000]  裡面是有烏靈和土明可以尋求神的旨意
[00:08:20.000 --> 00:08:24.000]  但是當阿比亞他還未跟隨大衛
[00:08:24.000 --> 00:08:26.000]  他怎樣做呢?
[00:08:26.000 --> 00:08:31.000]  相信加德已經加入了大衛的隊伍
[00:08:31.000 --> 00:08:34.000]  所以我相信在阿比亞他之前
[00:08:34.000 --> 00:08:37.000]  大衛就是求問先知加德
[00:08:37.000 --> 00:08:40.000]  因為先知是神的發言人
[00:08:40.000 --> 00:08:44.000]  所以我們看到大衛在有重要的時刻
[00:08:44.000 --> 00:08:46.000]  很多時候都會求問神
[00:08:46.000 --> 00:08:49.000]  就好像撒母以上的23章
[00:08:49.000 --> 00:08:50.000]  25章
[00:08:50.000 --> 00:08:51.000]  和26章
[00:08:51.000 --> 00:08:55.000]  都是這樣告訴我們
[00:08:55.000 --> 00:08:58.000]  神就叫大衛
[00:08:58.000 --> 00:09:01.000]  叫他去幫助基依拉的人
[00:09:01.000 --> 00:09:04.000]  來敵對斐理士人
[00:09:04.000 --> 00:09:07.000]  大衛的手下很不滿意
[00:09:07.000 --> 00:09:11.000]  因為他們覺得平時打斐理士人
[00:09:11.000 --> 00:09:13.000]  無話可說
[00:09:13.000 --> 00:09:16.000]  但是現在被蘇羅追殺
[00:09:16.000 --> 00:09:19.000]  還要去救基依拉的人
[00:09:19.000 --> 00:09:21.000]  用什麼以腹背仇敵
[00:09:21.000 --> 00:09:23.000]  所以他們不肯
[00:09:23.000 --> 00:09:25.000]  大衛再一次尋求神
[00:09:25.000 --> 00:09:26.000]  第二次尋求神
[00:09:26.000 --> 00:09:28.000]  神跟他說一樣的話
[00:09:28.000 --> 00:09:30.000]  他說你不用怕
