
[00:00:00.000 --> 00:00:03.000]  平安,我們一起祈禱
[00:00:03.000 --> 00:00:07.000]  撒基督,我們感謝祂們的恩典
[00:00:07.000 --> 00:00:11.000]  讓我們有生命的訊息,可以一同來到這個聚集敬拜祢
[00:00:11.000 --> 00:00:14.000]  我們求聖靈在這個時間幫助我們
[00:00:14.000 --> 00:00:19.000]  讓我們能夠好好學習明白祢的說話
[00:00:19.000 --> 00:00:23.000]  能夠在我們生活裡面,決志要跟隨祢
[00:00:23.000 --> 00:00:25.000]  獲得主的欣賞、聖告
[00:00:25.000 --> 00:00:28.000]  奉耶穌基督的名,祈禱,阿們
[00:00:31.000 --> 00:00:34.000]  我們先溫習一下上個星期的金句
[00:00:34.000 --> 00:00:36.000]  看看有多少人記得
[00:00:36.000 --> 00:00:39.000]  在浸賢十七章九節,這個是比較短的
[00:00:39.000 --> 00:00:41.000]  浸賢十七章九節
[00:00:41.000 --> 00:00:49.000]  「遮掩人過的尋求人愛,屢次挑錯的離間物有」
[00:00:49.000 --> 00:00:54.000]  這次的經文和本來的翻譯和現中是有些少不同的
[00:00:54.000 --> 00:00:59.000]  不過無論哪個版本的重點都是很明顯的
[00:00:59.000 --> 00:01:05.000]  就是教導我們要學習饒恕別人
[00:01:05.000 --> 00:01:10.000]  和不要經常重提別人的過錯
[00:01:10.000 --> 00:01:16.000]  我覺得聖經這個教導是一種人生的智慧
[00:01:16.000 --> 00:01:19.000]  正如上次講到的時候提過
[00:01:19.000 --> 00:01:23.000]  雅各書三章十七至十八節所講
[00:01:23.000 --> 00:01:27.000]  從上面來的智慧是有幾樣的特徵
[00:01:27.000 --> 00:01:29.000]  第一就是純潔
[00:01:29.000 --> 00:01:33.000]  其次是和平、謙和、友善
[00:01:33.000 --> 00:01:37.000]  充滿著仁慈,能結出豐富的善果
[00:01:37.000 --> 00:01:40.000]  沒有偏私,沒有虛偽
[00:01:40.000 --> 00:01:44.000]  一切正義的果子都是從播種和平的人
[00:01:44.000 --> 00:01:49.000]  為和平努力所殺的種子產生出來的
[00:01:49.000 --> 00:01:52.000]  在短短兩次的經文裡面
[00:01:52.000 --> 00:01:55.000]  雅各提了三次和平
[00:01:55.000 --> 00:02:03.000]  可見與人和睦相處就是真智慧的表現
[00:02:03.000 --> 00:02:08.000]  我們信主的人既然有了從天上而來的智慧
[00:02:08.000 --> 00:02:12.000]  就更加要注意人際關係
[00:02:12.000 --> 00:02:15.000]  一定要以和為貴
[00:02:15.000 --> 00:02:18.000]  我想提醒弟兄姊妹
[00:02:18.000 --> 00:02:21.000]  要學習做和平之子
[00:02:21.000 --> 00:02:25.000]  最重要是從家庭中學習
[00:02:25.000 --> 00:02:28.000]  與家人和睦相處
[00:02:28.000 --> 00:02:34.000]  很多人來教會可以與弟兄姊妹和睦相處
[00:02:34.000 --> 00:02:37.000]  沒有什麼難度
[00:02:37.000 --> 00:02:41.000]  因為我們在星期日、星期日來教會
[00:02:41.000 --> 00:02:44.000]  最多都不過三到四個小時
[00:02:44.000 --> 00:02:47.000]  短的就一個小時
[00:02:47.000 --> 00:02:52.000]  如果有一個小時就在崇拜裡面大家靜靜坐在那裡
[00:02:52.000 --> 00:02:54.000]  又不能夠聊天
[00:02:54.000 --> 00:02:59.000]  在這麼短的時間之內都不能夠彼此包容忍耐的話
[00:02:59.000 --> 00:03:03.000]  我們真的要好好反省誰有問題
[00:03:03.000 --> 00:03:05.000]  但是感謝主
[00:03:05.000 --> 00:03:09.000]  我們教會不是經常有爭論發生
[00:03:09.000 --> 00:03:11.000]  但是在家庭裡面
[00:03:11.000 --> 00:03:16.000]  我們與家人相處就是朝夕相對
[00:03:16.000 --> 00:03:19.000]  要工作的都最多是上班
[00:03:19.000 --> 00:03:22.000]  都是白天出去上班
[00:03:22.000 --> 00:03:26.000]  早上和晚上都要回家
[00:03:26.000 --> 00:03:32.000]  相見的時間長了就很容易會發生磨擦
[00:03:32.000 --> 00:03:39.000]  也同時給我們有機會去學習饒恕和忍耐
[00:03:39.000 --> 00:03:43.000]  對一些沒有什麼重要後果的事
[00:03:43.000 --> 00:03:46.000]  或者只有輕微後果的事
[00:03:46.000 --> 00:03:51.000]  我們就要學習不要隨時隨時指責對方
[00:03:51.000 --> 00:03:54.000]  這個就是遮掩人過
[00:03:54.000 --> 00:03:58.000]  那個例子以前我有時候都會指責師母
[00:03:58.000 --> 00:04:01.000]  經常買了菜放在冰箱裡等它變黃了
[00:04:01.000 --> 00:04:03.000]  然後就丟掉
[00:04:03.000 --> 00:04:07.000]  不過我後來都學習聖經的教導
[00:04:07.000 --> 00:04:09.000]  要遮掩人過
[00:04:09.000 --> 00:04:11.000]  我就用了兩個辦法
[00:04:11.000 --> 00:04:15.000]  第一就是在菜還沒黃之前就提醒師母
[00:04:15.000 --> 00:04:17.000]  還有一些菜還沒吃
[00:04:17.000 --> 00:04:19.000]  不如我們先吃掉那些
[00:04:19.000 --> 00:04:24.000]  第二就是看到菜黃了就自己丟掉
[00:04:24.000 --> 00:04:26.000]  免得出聲
[00:04:26.000 --> 00:04:31.000]  屢次挑錯的離間物有
[00:04:31.000 --> 00:04:37.000]  其實這個是教我們不要舊事重提的意思
[00:04:37.000 --> 00:04:40.000]  師母之間有爭執的時候
[00:04:40.000 --> 00:04:42.000]  或者責備子女的時候
[00:04:42.000 --> 00:04:45.000]  一定要學會不要舊事重提
[00:04:45.000 --> 00:04:47.000]  不要翻舊帳
[00:04:47.000 --> 00:04:53.000]  對記性好的人來說難度真的高很多
[00:04:53.000 --> 00:04:58.000]  但我們一定要學習要管束洩頭
[00:04:58.000 --> 00:05:02.000]  雅各書也是這樣教我們要管束洩頭
[00:05:02.000 --> 00:05:05.000]  有爭論的時候就針對一件事
[00:05:05.000 --> 00:05:07.000]  就千萬不要翻舊帳
[00:05:07.000 --> 00:05:08.000]  不要罵對方
[00:05:08.000 --> 00:05:10.000]  兩年前也是這樣
[00:05:10.000 --> 00:05:11.000]  五年前也是這樣
[00:05:11.000 --> 00:05:14.000]  自從認識你那天開始也是這樣
[00:05:14.000 --> 00:05:17.000]  這樣不是太好
