
[00:00:00.000 --> 00:00:04.040]  各位兄弟姐妹 早晨
[00:00:04.040 --> 00:00:05.480]  我們今天的講題是
[00:00:05.480 --> 00:00:10.600]  神要我們成爲一個團隊
[00:00:10.600 --> 00:00:12.680]  讓我們在聽到之前
[00:00:12.680 --> 00:00:17.360]  我們同心低頭祈禱
[00:00:17.360 --> 00:00:18.680]  神我們來到您的面前
[00:00:18.680 --> 00:00:20.560]  我們感謝您
[00:00:20.560 --> 00:00:23.120]  多謝您的創造
[00:00:23.120 --> 00:00:25.440]  多謝您的揀選
[00:00:25.440 --> 00:00:28.880]  多謝您的招聚
[00:00:28.880 --> 00:00:31.800]  讓我們今天能夠成爲
[00:00:31.800 --> 00:00:35.040]  一個屬於您的團隊
[00:00:35.040 --> 00:00:39.240]  是基督的身體的一部分
[00:00:39.240 --> 00:00:42.360]  我們求您藉着您自己的話語
[00:00:42.360 --> 00:00:45.360]  讓我們明白您的心意
[00:00:45.360 --> 00:00:50.400]  並且願意順服聽從您的指揮
[00:00:50.400 --> 00:00:52.320]  讓我們真的能夠成爲
[00:00:52.320 --> 00:00:56.120]  您要我們成爲的那一個團隊
[00:00:56.120 --> 00:00:59.440]  去成就您自己的心意
[00:00:59.440 --> 00:01:02.320]  多謝主聽我們的祈禱
[00:01:02.320 --> 00:01:07.200]  奉耶穌的名 阿們
[00:01:07.200 --> 00:01:11.160]  我們每一個人都有一個身體
[00:01:11.160 --> 00:01:13.920]  請問您的身體完整嗎?
[00:01:13.920 --> 00:01:16.920]  您看一看您的手手腳腳
[00:01:16.920 --> 00:01:19.360]  有沒有一些脫落了?
[00:01:19.360 --> 00:01:23.280]  有沒有任何一個部分出現殘缺?
[00:01:23.280 --> 00:01:27.600]  還是整個身體仍然是完好無缺的?
[00:01:27.600 --> 00:01:32.720]  而且每一個身體都仍然很願意
[00:01:32.720 --> 00:01:36.440]  很樂意去配合您頭腦的指揮
[00:01:36.440 --> 00:01:38.480]  以至您想舉手
[00:01:38.480 --> 00:01:39.680]  可以舉手
[00:01:39.680 --> 00:01:40.920]  想投足
[00:01:40.920 --> 00:01:43.480]  可以投足
[00:01:43.480 --> 00:01:45.360]  互相的配搭
[00:01:45.360 --> 00:01:47.040]  互相的協調
[00:01:47.040 --> 00:01:53.120]  以至您今天的身體仍然運作良好
[00:01:53.120 --> 00:01:55.440]  聖經指出
[00:01:55.440 --> 00:01:59.480]  教會就是基督的身體
[00:01:59.480 --> 00:02:04.040]  保羅起這段經文第27節總結的時候說
[00:02:04.040 --> 00:02:05.400]  你和我
[00:02:05.400 --> 00:02:09.480]  你們就是基督的身體
[00:02:09.480 --> 00:02:10.800]  並且各自
[00:02:10.800 --> 00:02:15.400]  每一個都是其中的肢體
[00:02:15.400 --> 00:02:21.520]  這個我們要認定是神祂別出心裁的設計
[00:02:21.520 --> 00:02:24.480]  是祂很刻意的安排
[00:02:24.480 --> 00:02:26.240]  就算你看看你旁邊的那個
[00:02:26.240 --> 00:02:28.320]  可能你覺得祂嘟口嘟鼻
[00:02:28.320 --> 00:02:33.040]  但是神就說讓你知道祂適合你
[00:02:33.040 --> 00:02:37.720]  保羅起第18節特別說到
[00:02:37.720 --> 00:02:40.920]  神原來是隨他自己的意思
[00:02:40.920 --> 00:02:43.080]  將不同的肢體
[00:02:43.080 --> 00:02:45.080]  將不同的人
[00:02:45.080 --> 00:02:50.600]  一一的安置、安排、安放在基督
[00:02:50.600 --> 00:02:53.680]  這個同一個身體的上面
[00:02:53.680 --> 00:02:56.840]  而這個就是我們能夠成爲團隊
[00:02:56.840 --> 00:03:01.120]  一個很重要很重要的聖經基礎
[00:03:01.120 --> 00:03:03.840]  我們雖然是來自五湖四海
[00:03:03.840 --> 00:03:05.480]  有不同的性格
[00:03:05.480 --> 00:03:07.320]  有不同的成長背景
[00:03:07.320 --> 00:03:11.680]  有不同的經歷和因次能力
[00:03:11.680 --> 00:03:15.160]  不過聖經告訴我們知道
[00:03:15.160 --> 00:03:18.600]  無論我們是什麼人
[00:03:18.600 --> 00:03:24.120]  不分種族、不分階層、不分性別
[00:03:24.120 --> 00:03:25.480]  13節裏說
