
[00:00:00.000 --> 00:00:03.200]  今天我們會繼續《獵王記》上的訊息
[00:00:03.200 --> 00:00:07.200]  今天的題目講到警號響起
[00:00:07.200 --> 00:00:08.320]  我不知道你有沒有留意
[00:00:08.320 --> 00:00:12.400]  現在常常都有類似這樣的文章
[00:00:12.400 --> 00:00:13.400]  又會講到
[00:00:13.400 --> 00:00:15.880]  當你聽到身體有一些警號
[00:00:15.880 --> 00:00:17.680]  你就要醒覺
[00:00:17.680 --> 00:00:21.400]  中風都有以下幾個警號
[00:00:21.400 --> 00:00:23.240]  如果你發現有這些情況
[00:00:23.240 --> 00:00:26.080]  你就要把握黃金三小時
[00:00:26.080 --> 00:00:27.920]  就去醫院求診
[00:00:27.920 --> 00:00:30.040]  第一樣就是失平衡
[00:00:30.040 --> 00:00:33.160]  你走路不穩定
[00:00:33.160 --> 00:00:34.280]  容易跌倒
[00:00:34.280 --> 00:00:36.280]  這個就要開始要小心
[00:00:36.280 --> 00:00:38.520]  沒有了平衡力
[00:00:38.520 --> 00:00:40.600]  第二就是眼睛模糊
[00:00:40.600 --> 00:00:42.000]  有陰影
[00:00:42.000 --> 00:00:44.120]  影像重疊
[00:00:44.120 --> 00:00:46.120]  看東西很模糊
[00:00:46.120 --> 00:00:48.520]  或者側向了某一邊
[00:00:48.520 --> 00:00:49.920]  你就要留意
[00:00:49.920 --> 00:00:54.000]  第三就是臉部的表情不對稱
[00:00:54.000 --> 00:00:54.680]  有一個人
[00:00:54.680 --> 00:00:57.040]  你看看你旁邊的微笑
[00:00:57.040 --> 00:00:58.600]  你那些微笑不到
[00:00:58.600 --> 00:01:00.200]  或者一邊就笑不到
[00:01:00.200 --> 00:01:02.520]  一邊的嘴角是跌下來的
[00:01:02.520 --> 00:01:03.120]  笑不到
[00:01:03.120 --> 00:01:04.920]  因為笑是會向上的
[00:01:04.920 --> 00:01:06.120]  你就會留意
[00:01:06.120 --> 00:01:08.360]  你就要小心
[00:01:08.360 --> 00:01:10.440]  然後就是手臂
[00:01:10.440 --> 00:01:11.760]  手臂完全沒有力
[00:01:11.760 --> 00:01:13.760]  連拿起電話也沒有力
[00:01:13.760 --> 00:01:14.720]  你就要小心
[00:01:14.720 --> 00:01:16.800]  如果手臂沒有力
[00:01:16.800 --> 00:01:17.960]  下垂
[00:01:17.960 --> 00:01:19.600]  表達的能力
[00:01:19.600 --> 00:01:21.160]  說話黏著舌頭
[00:01:21.160 --> 00:01:22.360]  說得不清楚
[00:01:22.360 --> 00:01:23.400]  咧咧哒哒
[00:01:23.400 --> 00:01:25.360]  你就要小心
[00:01:25.360 --> 00:01:27.040]  然後就把握
[00:01:27.040 --> 00:01:28.840]  三個小時內就快點去醫院
[00:01:28.840 --> 00:01:30.920]  你不要出現這些警號
[00:01:30.920 --> 00:01:32.640]  你說睡多一會
[00:01:32.640 --> 00:01:33.960]  洗完澡
[00:01:33.960 --> 00:01:35.160]  看完電影
[00:01:35.160 --> 00:01:38.880]  那你過了黃金時間
[00:01:38.880 --> 00:01:41.120]  其實黃金時間是盡快去醫院
[00:01:41.120 --> 00:01:44.600]  可以減低腦部的受損
[00:01:44.600 --> 00:01:46.160]  其實上帝給我們的身體
[00:01:46.160 --> 00:01:48.360]  如果有一些警號
[00:01:48.360 --> 00:01:49.600]  其實是要我們回應的
[00:01:49.600 --> 00:01:50.240]  可以嗎
[00:01:50.240 --> 00:01:51.880]  如果出了警號
[00:01:51.880 --> 00:01:54.240]  你不回應是會死人的
[00:01:54.240 --> 00:01:56.040]  但是如果有警號
[00:01:56.040 --> 00:01:57.320]  你作出回應
[00:01:57.320 --> 00:01:58.440]  立刻去看醫生
[00:01:58.440 --> 00:01:59.920]  是救你一命的
[00:01:59.920 --> 00:02:00.960]  所以剛才那些就是
[00:02:00.960 --> 00:02:02.120]  說話黏著舌頭
[00:02:02.120 --> 00:02:03.200]  笑不出來
[00:02:03.200 --> 00:02:04.400]  歪嘴
[00:02:04.400 --> 00:02:06.160]  又或者手沒有力
[00:02:06.160 --> 00:02:08.320]  那些就是眼睛看不到東西
[00:02:08.320 --> 00:02:10.360]  或者影重疊
[00:02:10.360 --> 00:02:12.080]  如果出現警號
[00:02:12.080 --> 00:02:13.960]  你要作出回應
[00:02:13.960 --> 00:02:14.880]  OK嗎
[00:02:14.880 --> 00:02:18.080]  就是要留意SOS
[00:02:18.080 --> 00:02:18.440]  求救
[00:02:18.440 --> 00:02:20.080]  如果有這些就快點去醫院
[00:02:20.080 --> 00:02:20.800]  附近
[00:02:20.800 --> 00:02:21.520]  那求救了
[00:02:21.520 --> 00:02:22.760]  最近這裡的醫院是
[00:02:22.760 --> 00:02:24.040]  明愛
[00:02:24.040 --> 00:02:25.120]  在後面
[00:02:25.120 --> 00:02:25.760]  留意
[00:02:25.760 --> 00:02:26.840]  還有
[00:02:26.840 --> 00:02:28.920]  佐敦道在四月的時候
[00:02:28.920 --> 00:02:31.360]  有一場三級火
[00:02:31.360 --> 00:02:33.440]  就是有五個人死了
[00:02:33.440 --> 00:02:35.760]  有幾十人受傷
[00:02:35.760 --> 00:02:37.440]  早上睡覺
[00:02:37.440 --> 00:02:38.480]  七點多
[00:02:38.480 --> 00:02:40.440]  聽到有人
[00:02:40.440 --> 00:02:41.480]  科足啊
[00:02:41.480 --> 00:02:42.400]  那你怎樣
[00:02:42.400 --> 00:02:42.960]  隨便吧
[00:02:42.960 --> 00:02:43.680]  多睡一會
[00:02:43.680 --> 00:02:44.400]  把被子蓋上
[00:02:44.400 --> 00:02:45.240]  不要吵我
[00:02:45.240 --> 00:02:46.400]  是不是這樣的
[00:02:46.400 --> 00:02:47.920]  當你聽到警報
[00:02:47.920 --> 00:02:49.480]  哔哔哔哔哔
[00:02:49.480 --> 00:02:50.920]  阿蘭
[00:02:50.920 --> 00:02:51.560]  科足啊
[00:02:51.560 --> 00:02:52.960]  那你要起來
[00:02:52.960 --> 00:02:54.800]  有一個李先生
[00:02:54.800 --> 00:02:56.600]  他說早上我睡覺
[00:02:56.600 --> 00:02:57.840]  有人大聲拍門說
[00:02:57.840 --> 00:02:59.320]  科足啊
[00:02:59.320 --> 00:03:00.480]  他立刻出來
[00:03:00.480 --> 00:03:01.800]  然後看到很多煙
