
[00:00:00.000 --> 00:00:01.320]  丙姐妹,早晨
[00:00:01.320 --> 00:00:04.560]  踏入十二月
[00:00:04.560 --> 00:00:06.840]  是普天同慶的日子
[00:00:06.840 --> 00:00:08.440]  未信的朋友
[00:00:08.440 --> 00:00:10.200]  有很多是假期
[00:00:10.200 --> 00:00:12.680]  他們可以去很多地方慶祝
[00:00:12.680 --> 00:00:16.040]  參加他們開心的活動
[00:00:16.040 --> 00:00:19.480]  這是耶穌給他們的假期
[00:00:19.480 --> 00:00:22.320]  不過作為門徒的我們
[00:00:22.320 --> 00:00:26.240]  如果我們單單是普天同慶
[00:00:26.240 --> 00:00:29.440]  似乎就肯定不足夠了
[00:00:29.440 --> 00:00:32.600]  因為聖誕節對我們來說
[00:00:32.600 --> 00:00:36.200]  我們要像牆上的海報一樣
[00:00:36.200 --> 00:00:38.720]  忠於主使命
[00:00:38.720 --> 00:00:41.120]  主耶穌對於這個節日
[00:00:41.120 --> 00:00:44.520]  對於門徒怎樣過這個節日
[00:00:44.520 --> 00:00:46.520]  是有期望的
[00:00:46.520 --> 00:00:50.920]  舉個例子
[00:00:50.920 --> 00:00:58.720]  去年我參加我的親戚結婚晚宴
[00:00:58.720 --> 00:01:00.960]  簡單來說
[00:01:00.960 --> 00:01:03.200]  我們家裏辦喜事
[00:01:03.200 --> 00:01:06.520]  雖然親戚和我遠房一點
[00:01:06.520 --> 00:01:08.360]  不過他也是姓歐陽的
[00:01:08.360 --> 00:01:10.040]  我們早到
[00:01:10.040 --> 00:01:11.840]  六時多就到了酒樓
[00:01:11.840 --> 00:01:14.040]  突然間主席
[00:01:14.040 --> 00:01:15.320]  其實是我叔叔
[00:01:15.320 --> 00:01:16.440]  他說
[00:01:16.440 --> 00:01:19.480]  各位,姓歐陽的出來出來出來
[00:01:19.480 --> 00:01:21.400]  我看我姓歐陽的
[00:01:21.400 --> 00:01:22.480]  我每次都要出來
[00:01:22.480 --> 00:01:23.840]  我心裏有什麼事呢
[00:01:23.840 --> 00:01:25.440]  原來是B粉
[00:01:25.440 --> 00:01:26.520]  他就說
[00:01:26.520 --> 00:01:28.960]  各位,一會兒有很多親朋戚友會來
[00:01:28.960 --> 00:01:30.040]  請大家
[00:01:30.040 --> 00:01:31.560]  我們今天辦喜事
[00:01:31.560 --> 00:01:35.160]  全部都要做招呼人客的人
[00:01:35.160 --> 00:01:36.040]  哦
[00:01:36.040 --> 00:01:37.160]  那我收到了
[00:01:37.160 --> 00:01:39.120]  我還打算來吃他
[00:01:39.120 --> 00:01:41.080]  原來不只是吃
[00:01:41.080 --> 00:01:42.080]  沒辦法了
[00:01:42.080 --> 00:01:45.720]  因為我也是姓歐陽的
[00:01:45.720 --> 00:01:48.440]  所以不可以只是吃
[00:01:48.440 --> 00:01:50.040]  我多一個身份
[00:01:50.040 --> 00:01:52.040]  我要招呼朋友了
[00:01:54.920 --> 00:01:56.640]  即是聖誕節
[00:01:56.640 --> 00:01:59.760]  我們基督徒辦喜事
[00:01:59.760 --> 00:02:03.960]  這個喜事就是迎接我們救主降生
[00:02:03.960 --> 00:02:09.520]  在主耶穌的心意裏
[00:02:09.520 --> 00:02:11.200]  祂有什麼使命
[00:02:11.200 --> 00:02:13.480]  交給我們這群門徒呢?
[00:02:13.480 --> 00:02:16.640]  我們怎樣去進行這個使命忠於主呢?
[00:02:16.640 --> 00:02:19.320]  我們先看
[00:02:19.320 --> 00:02:21.000]  我讀一讀這句金句
[00:02:21.000 --> 00:02:24.080]  《馬太福音》28章19-20節
[00:02:24.080 --> 00:02:25.640]  我們一起讀,一二三
[00:02:25.640 --> 00:02:26.840]  所以
[00:02:26.840 --> 00:02:36.360]  「凡我所吩咐你們的
[00:02:36.360 --> 00:02:38.480]  都教訓他們遵守
[00:02:38.480 --> 00:02:40.760]  我就常與你們同在
[00:02:40.760 --> 00:02:43.120]  直到世界的末了」
[00:02:43.120 --> 00:02:46.280]  這句金句是我每天早上起床
[00:02:46.280 --> 00:02:48.920]  讀和背誦給自己聽的
[00:02:48.920 --> 00:02:50.080]  我想這句金句
[00:02:50.080 --> 00:02:51.160]  又弟兄姊妹
[00:02:51.160 --> 00:02:52.960]  也成為生命的座右銘
[00:02:52.960 --> 00:02:54.280]  不過這句話
