
[00:00:00.000 --> 00:00:02.800]  如果喜歡打高爾夫球的弟兄姊妹
[00:00:02.800 --> 00:00:08.500]  我相信大家都應該認識Arnold Palmer
[00:00:08.500 --> 00:00:14.200]  一個在美國六七十年代數一數二的高爾夫球手
[00:00:14.200 --> 00:00:19.200]  有一次他在沙地阿拉伯打了一連串的表演賽之後
[00:00:19.200 --> 00:00:23.200]  當地的國王很欣賞Arnold的參與
[00:00:23.200 --> 00:00:26.700]  想送一份禮物給這個當代的球王
[00:00:26.700 --> 00:00:29.700]  Arnold對國王說
[00:00:29.700 --> 00:00:31.900]  這個實在不必了 國王陛下
[00:00:31.900 --> 00:00:35.200]  我被邀請已經是十分之榮幸
[00:00:35.200 --> 00:00:36.900]  國王回答說
[00:00:36.900 --> 00:00:39.400]  如果你不讓我送一份禮物給你的話
[00:00:39.400 --> 00:00:41.200]  我會不高興
[00:00:41.200 --> 00:00:43.200]  Arnold想了一想
[00:00:43.200 --> 00:00:44.500]  就說這樣好了
[00:00:44.500 --> 00:00:47.000]  請你送一支高爾夫球桿
[00:00:47.000 --> 00:00:51.000]  A Golf Club給我就可以了
[00:00:51.000 --> 00:00:56.200]  這個將會是我在貴國國境裡面最難忘的時刻
[00:00:56.200 --> 00:00:59.200]  國王微笑點頭
[00:01:00.200 --> 00:01:05.200]  第二天早上一位律師出現在Arnold Palmer所住的酒店
[00:01:05.200 --> 00:01:08.700]  他將國王的禮物送上
[00:01:08.700 --> 00:01:18.200]  為什麼要觸動律師送這支Golf Club的高爾夫球桿呢
[00:01:18.200 --> 00:01:22.200]  原來國王送的這份禮物是
[00:01:22.200 --> 00:01:25.200]  一個坐擁幾千畝地
[00:01:25.200 --> 00:01:28.700]  樹影婆娑 湖江山色 綠草如茵
[00:01:28.700 --> 00:01:33.700]  並且附設一個設備齊全的俱樂部的Golf Club
[00:01:33.700 --> 00:01:38.200]  高爾夫球會的地契
[00:01:38.200 --> 00:01:41.700]  這個故事是出自Brandon Manning的書
[00:01:41.700 --> 00:01:43.200]  Lion and Lamb
[00:01:43.200 --> 00:01:46.200]  The Relentless Tenderness of Jesus裡面
[00:01:46.200 --> 00:01:48.700]  他在書裡面講到這個故事
[00:01:48.700 --> 00:01:50.700]  目的是告訴我們
[00:01:50.700 --> 00:01:55.200]  對著我們的王 我們不需要客氣
[00:01:55.200 --> 00:02:02.200]  而他給我們的又往往是多過我們所想所求
[00:02:02.200 --> 00:02:05.200]  今天我們讀的這段經文
[00:02:05.200 --> 00:02:08.200]  是《仕道行傳》第四章
[00:02:08.200 --> 00:02:16.200]  一開始在二十三二十四節這樣講
[00:02:16.200 --> 00:02:20.200]  二人既被釋放
[00:02:20.200 --> 00:02:24.200]  這兩個人是彼得和約翰
[00:02:24.200 --> 00:02:26.200]  就到會有那裡去
[00:02:26.200 --> 00:02:29.700]  把祭司長和長老所說的話都告訴他們
[00:02:29.700 --> 00:02:34.200]  他們聽見了就同心合意的高聲向神說
[00:02:34.200 --> 00:02:44.200]  主啊 祢是造天地海 和其中萬物的
[00:02:44.200 --> 00:02:49.200]  我們要知道我們禱局的對象是誰
[00:02:49.200 --> 00:02:53.200]  祂是造天地海 和其中萬物的
[00:02:53.200 --> 00:02:57.200]  所以當我們說對著我們的王
[00:02:57.200 --> 00:03:01.200]  我們不需要客氣
[00:03:01.200 --> 00:03:05.700]  我們對著這位造天地海 和其中萬物的神
[00:03:05.700 --> 00:03:10.700]  我們求什麼呢
[00:03:10.700 --> 00:03:14.700]  D.A. Carson在早年的時候他問過
[00:03:14.700 --> 00:03:19.200]  他說當今世代教會最需要的是什麼
[00:03:19.200 --> 00:03:22.700]  有人說是誠信 有人說是貞潔
[00:03:22.700 --> 00:03:26.200]  有人說是奉獻 有人說是差傳
[00:03:26.200 --> 00:03:28.700]  但是他說通通都不是
[00:03:28.700 --> 00:03:32.200]  是對神更深的認識
[00:03:32.200 --> 00:03:35.200]  A deeper knowledge of God
[00:03:35.200 --> 00:03:37.700]  當我們和神親近
[00:03:37.700 --> 00:03:41.700]  我們不再是片面的長進改變
[00:03:41.700 --> 00:03:46.700]  而是在各方面都因為更認識神的關係
[00:03:46.700 --> 00:03:51.200]  更加體貼神的心意
[00:03:51.200 --> 00:03:57.200]  禱告是我們走近我們的主最直接的方法
[00:03:57.200 --> 00:03:59.200]  我們在過往幾個星期
[00:03:59.200 --> 00:04:04.200]  我們透過信心的禱告 感恩的禱告
[00:04:04.200 --> 00:04:07.200]  未蒙英雲的禱告
[00:04:07.200 --> 00:04:09.700]  我們學習親近我們的主
[00:04:09.700 --> 00:04:13.700]  盼望我們在當中都有所得著
[00:04:13.700 --> 00:04:17.700]  我們對著這位造天地海 和其中萬物的神
[00:04:17.700 --> 00:04:21.700]  我們求什麼 在今天的這段經文
