
[00:00:00.000 --> 00:00:01.560]  我記得起初很久之前
[00:00:01.560 --> 00:00:03.440]  我們開始讀經計劃
[00:00:03.440 --> 00:00:06.960]  都覺得做基督徒應該要讀一下聖經
[00:00:06.960 --> 00:00:09.040]  但是我們越走這條路越久
[00:00:09.040 --> 00:00:11.680]  我們越覺得我們真的需要讀你的聖經
[00:00:11.680 --> 00:00:14.560]  因為如果我們不讀你的聖經
[00:00:14.560 --> 00:00:17.880]  我們真的沒有可能在這個世界活生活
[00:00:17.880 --> 00:00:20.840]  我們沒有辦法抵擋所有的隱憂
[00:00:20.840 --> 00:00:23.280]  我們沒有辦法看得見
[00:00:23.280 --> 00:00:28.800]  也都有動力去做一個反擊的動作
[00:00:28.800 --> 00:00:32.600]  以致我們可以將光明帶盡黑暗
[00:00:32.600 --> 00:00:34.680]  為著我們這幫大兄姊妹祈禱
[00:00:34.680 --> 00:00:39.000]  亦都為今天下午早一點
[00:00:39.000 --> 00:00:42.680]  我和一班媽媽去分享聖經的時候
[00:00:42.680 --> 00:00:43.880]  都是同一個訊息
[00:00:43.880 --> 00:00:47.160]  他們必須用聖經去教導他們的孩子
[00:00:47.160 --> 00:00:51.280]  他們自己必須要讀聖經
[00:00:51.280 --> 00:00:54.800]  而且不是讀少少金句式的聖經
[00:00:54.800 --> 00:00:56.760]  而是重複又重複
[00:00:56.760 --> 00:01:01.040]  將這本書成為我們生命之道
[00:01:01.040 --> 00:01:01.920]  我們求主今晚
[00:01:01.920 --> 00:01:04.040]  我們都憑著一個這樣的心
[00:01:04.040 --> 00:01:07.480]  來到面對一本極大挑戰的書
[00:01:07.480 --> 00:01:09.440]  叫做《歷代誌》
[00:01:09.440 --> 00:01:11.200]  不單止長
[00:01:11.200 --> 00:01:15.320]  更是我們平時每次讀到都很害怕的
[00:01:15.320 --> 00:01:17.360]  或者很模糊的一本書
[00:01:17.360 --> 00:01:21.080]  願我少少的一個小時送給大家
[00:01:21.080 --> 00:01:25.600]  可以為大家更加清晰看到這本書的作用
[00:01:25.600 --> 00:01:27.520]  或者為什麼要寫這本書
[00:01:27.520 --> 00:01:30.000]  更加是這本書如何指向
[00:01:30.000 --> 00:01:32.560]  最終我們所愛的主耶穌基督
[00:01:32.560 --> 00:01:34.880]  祂是獨一的救主
[00:01:34.880 --> 00:01:37.200]  祝福我們今晚一起的時間
[00:01:37.200 --> 00:01:39.320]  我們今天期待這本主耶穌基督名求
[00:01:39.320 --> 00:01:40.400]  阿們
[00:01:40.400 --> 00:01:46.560]  歡迎大家來到基督自保
[00:01:46.560 --> 00:01:48.240]  進藏舊約的講座
[00:01:48.240 --> 00:01:50.600]  已經是眨眼之間
[00:01:50.600 --> 00:01:52.360]  已經是第十次了
[00:01:52.360 --> 00:01:57.400]  我們講到舊約三十九本書裏面的第十三本
[00:01:57.400 --> 00:01:59.920]  即是第十三、第十四本
[00:01:59.920 --> 00:02:00.880]  我們三分之一
[00:02:00.880 --> 00:02:03.920]  但其實已經是很大部分已經過了
[00:02:03.920 --> 00:02:07.800]  因為之後有一些小先知書會快很多的
[00:02:07.800 --> 00:02:11.920]  我們仍然強調一件事
[00:02:11.920 --> 00:02:15.520]  所有的舊約其實是指向主耶穌基督的
[00:02:15.520 --> 00:02:17.120]  我們也經常強調
[00:02:17.120 --> 00:02:18.240]  舊約是一個影子
[00:02:18.240 --> 00:02:19.880]  新約才是一個實體
[00:02:19.880 --> 00:02:23.080]  所以我們今天又是讀很多君王的故事
[00:02:23.080 --> 00:02:24.640]  但我們絕對不是說
[00:02:24.640 --> 00:02:27.760]  應用會說不如我們找個好皇帝
[00:02:27.760 --> 00:02:29.880]  開個自己的國家
[00:02:29.880 --> 00:02:33.400]  以致我們做了子民就港獨
[00:02:33.400 --> 00:02:37.520]  這個不是我們的應用
[00:02:37.520 --> 00:02:42.480]  你看到這是一個樹根和樹枝的分別
[00:02:42.480 --> 00:02:43.800]  舊約是樹根
[00:02:43.800 --> 00:02:46.200]  它是整棵樹的根基
[00:02:46.200 --> 00:02:50.600]  但是我們現在最終的目的是要生出枝幹
[00:02:50.600 --> 00:02:52.600]  在新約裏面我們生出這個枝幹
[00:02:52.600 --> 00:02:53.920]  我們活在新約裏面
[00:02:53.920 --> 00:02:55.880]  我們再不是活在舊約裏面
[00:02:55.880 --> 00:02:59.360]  所以我們今天不會去慶祝逾越節
[00:02:59.360 --> 00:03:00.680]  我們今天慶祝的是
[00:03:00.680 --> 00:03:05.040]  救主耶穌基督為我們成為上帝的高揚
[00:03:05.040 --> 00:03:06.920]  這個分別是很重要的
[00:03:06.920 --> 00:03:10.040]  我們不需要回去尋根
[00:03:10.040 --> 00:03:17.520]  我們的根在耶穌基督不需要回去做猶太人
[00:03:17.520 --> 00:03:21.000]  我們要明白整本聖經跟我們說的信息
[00:03:21.000 --> 00:03:23.240]  因為我們要認識上帝
[00:03:23.240 --> 00:03:25.080]  我們要看聖經
[00:03:25.080 --> 00:03:28.000]  我們開始的時候是先看新約
[00:03:28.000 --> 00:03:30.680]  其實都有人問我
[00:03:30.680 --> 00:03:32.480]  應該先從新約開始看
[00:03:32.480 --> 00:03:33.440]  還是先看舊約
[00:03:33.440 --> 00:03:34.920]  其實是沒有什麼所謂
[00:03:34.920 --> 00:03:38.040]  但是如果你不懂舊約
[00:03:38.040 --> 00:03:40.320]  其實看新約是完全看不懂的
[00:03:40.320 --> 00:03:42.040]  因為譬如說你從來沒有看過舊約
[00:03:42.040 --> 00:03:43.880]  突然間你新約去到某一個位置
