
[00:00:00.000 --> 00:00:04.440]  基督徒要有憐憫人的心,亦要傳福音
[00:00:04.440 --> 00:00:08.960]  有些機構只是做救濟的工作而不傳福音
[00:00:08.960 --> 00:00:12.600]  有些機構只是傳福音而不做慈善的工作
[00:00:12.600 --> 00:00:16.600]  但如果我們看看主耶穌在世間傳道的時候
[00:00:16.600 --> 00:00:22.400]  祂是一方面傳福音,同時亦替人醫病趕鬼
[00:00:22.400 --> 00:00:26.000]  所以我們應該兩方面都要注重
[00:00:26.000 --> 00:00:30.400]  上一個星期是一年一度的感恩主日
[00:00:30.400 --> 00:00:36.000]  我們應該時常向上帝感恩,因為祂是上帝
[00:00:36.000 --> 00:00:42.600]  這一點很重要,人很多時候都喜歡做自己的上帝
[00:00:42.600 --> 00:00:48.000]  有些人甚至喜歡做別人的上帝,要控制別人的生命
[00:00:48.000 --> 00:00:53.400]  我們要時常向上主感恩,因為祂是美善的
[00:00:53.400 --> 00:00:58.400]  我們所擁有的一切都是祂賜給我們的
[00:00:58.400 --> 00:01:05.400]  很多人不服,認為我們是憑自己的智慧和努力賺來的
[00:01:05.400 --> 00:01:12.400]  但是《生命紀》8章17至18節提醒我們
[00:01:12.400 --> 00:01:17.400]  「不要以為你們是靠自己的雙手和力量自付的」
[00:01:17.400 --> 00:01:26.400]  「你們要記住,那是上主,你們的上帝賜給你們的力量,使你們自付的」
[00:01:26.400 --> 00:01:33.400]  其實上主不但賜給我們健康的身體,正常,沒有白癡的頭腦
[00:01:33.400 --> 00:01:38.400]  還賜給我們有機會,我們才可能自付
[00:01:38.400 --> 00:01:42.400]  我們想想如果我們出生在伊拉克北部
[00:01:42.400 --> 00:01:47.400]  大概我們現在沒有避山,都會變成難民
[00:01:47.400 --> 00:01:51.400]  因此我們應該時時感謝上主
[00:01:51.400 --> 00:01:55.400]  今天我們會繼續思想「真言」
[00:01:55.400 --> 00:01:59.400]  「真言」裏面有很多不同的主題,包括要愛人
[00:01:59.400 --> 00:02:03.400]  不要懷恨,對錢財的看法,智慧的言語
[00:02:03.400 --> 00:02:06.400]  建立家庭,甚至教育孩童
[00:02:06.400 --> 00:02:12.400]  今天我想和大家思想一下「真言」裏面提到的交朋友的智慧
[00:02:12.400 --> 00:02:17.400]  或者我們和朋友相處的智慧
[00:02:17.400 --> 00:02:21.400]  最近我看到一個故事和大家分享一下
[00:02:21.400 --> 00:02:27.400]  有一位號稱是「古神」的巴菲特,是美國人
[00:02:27.400 --> 00:02:32.400]  他每年都會和大學生舉行講座
[00:02:32.400 --> 00:02:37.400]  在一次的座談會上,有位學生問他
[00:02:37.400 --> 00:02:44.400]  你認為一個人最重要的品質是什麼呢?
[00:02:44.400 --> 00:02:48.400]  巴菲特沒有正面回答這個問題
[00:02:48.400 --> 00:02:51.400]  而是說了一個比喻
[00:02:51.400 --> 00:02:56.400]  那個比喻叫「買入你的同學的10%」
[00:02:56.400 --> 00:03:04.400]  巴菲特說現在給你一個機會買入你某個同學的10%的權利
[00:03:04.400 --> 00:03:07.400]  一直到他的生命結束為止
[00:03:07.400 --> 00:03:13.400]  你會願意買進哪一位同學餘生的10%呢?
[00:03:13.400 --> 00:03:17.400]  你會不會選那個最聰明的呢?
[00:03:17.400 --> 00:03:19.400]  不一定
[00:03:19.400 --> 00:03:22.400]  你會選那個精力最充沛的嗎?
[00:03:22.400 --> 00:03:24.400]  也不一定
[00:03:24.400 --> 00:03:28.400]  你會不會選那個官二代、富二代呢?
[00:03:28.400 --> 00:03:30.400]  也不一定
[00:03:30.400 --> 00:03:33.400]  當你經過仔細思考之後
[00:03:33.400 --> 00:03:38.400]  你可能會選擇那個是你最有認同感的人
[00:03:38.400 --> 00:03:41.400]  那個最有領導才能的人
[00:03:41.400 --> 00:03:45.400]  那個能夠實現他人利益的人
[00:03:45.400 --> 00:03:49.400]  那個慷慨誠實,即使是他自己的主意
[00:03:49.400 --> 00:03:52.400]  也會將功勞分給別人的人
[00:03:52.400 --> 00:03:59.400]  然後你將這些好的品質寫在一張紙的左邊
[00:03:59.400 --> 00:04:02.400]  現在再給你一個機會
[00:04:02.400 --> 00:04:07.400]  這次是給你賣出某個同學的10%
[00:04:07.400 --> 00:04:09.400]  你會選擇誰呢?
[00:04:09.400 --> 00:04:12.400]  你會不會選擇那個成績最差的人呢?
[00:04:12.400 --> 00:04:14.400]  不一定
[00:04:14.400 --> 00:04:17.400]  你會不會選那個窮二代呢?
[00:04:17.400 --> 00:04:18.400]  也不一定
[00:04:18.400 --> 00:04:21.400]  當你經過仔細思考之後
[00:04:21.400 --> 00:04:25.400]  你可能會選擇那個最令人討厭的人
[00:04:25.400 --> 00:04:27.400]  不單止是你討厭他
[00:04:27.400 --> 00:04:30.400]  而是人人都討厭他
[00:04:30.400 --> 00:04:32.400]  大家都不想跟他打交道
[00:04:32.400 --> 00:04:34.400]  不想跟他來往
[00:04:34.400 --> 00:04:36.400]  因為這個人不誠實
[00:04:36.400 --> 00:04:38.400]  很喜歡毒食
[00:04:38.400 --> 00:04:41.400]  喜歡搞陰謀詭計
[00:04:41.400 --> 00:04:43.400]  喜歡背後說人壞話
[00:04:43.400 --> 00:04:45.400]  喜歡過河拆橋
[00:04:45.400 --> 00:04:48.400]  落井下石等等
[00:04:48.400 --> 00:04:53.400]  然後你將這些壞的品質寫在一張紙的右邊
[00:04:53.400 --> 00:04:57.400]  當你仔細觀察這張紙的兩邊之後
[00:04:57.400 --> 00:04:58.400]  你會發現
[00:04:58.400 --> 00:05:02.400]  能力強不強不是最重要
[00:05:02.400 --> 00:05:07.400]  你是否美若纖纖也不是很重要
[00:05:07.400 --> 00:05:10.400]  成績好不好根本沒有人在乎
[00:05:10.400 --> 00:05:12.400]  在左邊那邊
[00:05:12.400 --> 00:05:13.400]  左欄那邊
[00:05:13.400 --> 00:05:16.400]  那些真正有用的品質
[00:05:16.400 --> 00:05:19.400]  全部都是你可以做到的
[00:05:19.400 --> 00:05:21.400]  只要你願意行動
[00:05:21.400 --> 00:05:25.400]  你就能夠擁有這些品質
[00:05:25.400 --> 00:05:29.400]  而在那邊右邊那些的壞品質
[00:05:29.400 --> 00:05:33.400]  也是沒有一樣東西是無法更改的
[00:05:33.400 --> 00:05:35.400]  只要你有決心
[00:05:35.400 --> 00:05:38.400]  你就一定能夠改過
[00:05:38.400 --> 00:05:44.400]  如果你能夠做到左邊所寫的那些好的品質
[00:05:44.400 --> 00:05:50.400]  而去不做右邊那些壞的品質
[00:05:50.400 --> 00:05:56.400]  你就會成為人人都願意買入10%的人
[00:05:56.400 --> 00:06:03.400]  更加好的當然是你自己是100%擁有了你自己
[00:06:03.400 --> 00:06:08.400]  這個故事都引我們來思想一下
[00:06:08.400 --> 00:06:10.400]  究竟我們要怎樣去做人
[00:06:10.400 --> 00:06:13.400]  亦都怎樣去做朋友
[00:06:13.400 --> 00:06:15.400]  今天我們要從真言的教導
[00:06:15.400 --> 00:06:19.400]  來思想一下交朋友交友的智慧
[00:06:19.400 --> 00:06:22.400]  今天就選讀了真言27章
[00:06:22.400 --> 00:06:28.400]  因為那裏有好幾個經文都是和交友有關的
[00:06:28.400 --> 00:06:33.400]  其實我們每一個人都一定會有朋友的
[00:06:33.400 --> 00:06:36.400]  當一個嬰兒現在稍微大一點
[00:06:36.400 --> 00:06:38.400]  就要去學前班
[00:06:38.400 --> 00:06:40.400]  去幼稚園
[00:06:40.400 --> 00:06:42.400]  去小學中學大學
[00:06:42.400 --> 00:06:46.400]  除了和學校的同學之外
[00:06:46.400 --> 00:06:50.400]  還有鄰居鄰舍的小朋友
[00:06:50.400 --> 00:06:55.400]  我記得我小時候在香港住在廉租屋的地方
[00:06:55.400 --> 00:06:58.400]  廉租屋有一個特色
[00:06:58.400 --> 00:07:02.400]  一家人都住在一個很小的單位裏面
[00:07:02.400 --> 00:07:05.400]  單位裏面因為地方小
[00:07:05.400 --> 00:07:08.400]  很難和兄弟姐妹走來走去
[00:07:08.400 --> 00:07:09.400]  終於不能玩
[00:07:09.400 --> 00:07:14.400]  一定要去外面和鄰居的小朋友一起玩
[00:07:14.400 --> 00:07:19.400]  朋友真的比親戚更好
[00:07:19.400 --> 00:07:21.400]  在27章10節裏面說
[00:07:21.400 --> 00:07:25.400]  不要離棄朋友或父親的朋友
[00:07:25.400 --> 00:07:28.400]  縱難時不要向親人求助
[00:07:28.400 --> 00:07:32.400]  因為鄰近的朋友是勝過遠方的親人
[00:07:32.400 --> 00:07:37.400]  為什麼鄰近的朋友會勝過遠方的親人呢?
[00:07:37.400 --> 00:07:40.400]  我們華人也有一句說話
[00:07:40.400 --> 00:07:42.400]  遠親不如近鄰
[00:07:42.400 --> 00:07:44.400]  和這裏也是一樣
[00:07:44.400 --> 00:07:48.400]  我相信問題就是遠和近的分別
