
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹 早安
[00:00:02.000 --> 00:00:04.000]  在講道之先
[00:00:04.000 --> 00:00:06.000]  讓我們再一次同心禱告
[00:00:06.000 --> 00:00:10.000]  親愛的輩我們滿心感謝你
[00:00:10.000 --> 00:00:12.000]  因為你將你的話語
[00:00:12.000 --> 00:00:14.000]  是啟示給我們
[00:00:14.000 --> 00:00:16.000]  主要我們知道
[00:00:16.000 --> 00:00:18.000]  你是不希望我們
[00:00:18.000 --> 00:00:20.000]  單單在頭腦上
[00:00:20.000 --> 00:00:22.000]  我們對你的話語
[00:00:22.000 --> 00:00:24.000]  是有認知
[00:00:24.000 --> 00:00:26.000]  你是期望我們在生活裏
[00:00:26.000 --> 00:00:28.000]  我們能夠活出
[00:00:28.000 --> 00:00:30.000]  你的話語
[00:00:30.000 --> 00:00:32.000]  求你幫助我們
[00:00:32.000 --> 00:00:34.000]  讓我們真的能夠
[00:00:34.000 --> 00:00:36.000]  有力量的
[00:00:36.000 --> 00:00:38.000]  在我們生活裏
[00:00:38.000 --> 00:00:40.000]  我們活出真理
[00:00:40.000 --> 00:00:42.000]  聖靈求你在這一刻
[00:00:42.000 --> 00:00:44.000]  你就引導我們
[00:00:44.000 --> 00:00:46.000]  引導我們進入真理
[00:00:46.000 --> 00:00:48.000]  也幫助我們活出真理
[00:00:48.000 --> 00:00:50.000]  聽我們的祈禱
[00:00:50.000 --> 00:00:52.000]  奉耶穌基督的聖名祈求
[00:00:52.000 --> 00:00:54.000]  阿們
[00:00:54.000 --> 00:00:56.000]  港壇的登山補訓的系列
[00:00:56.000 --> 00:00:58.000]  今天來到第五章
[00:00:58.000 --> 00:01:01.000]  二十一至二十六節
[00:01:01.000 --> 00:01:03.000]  我在登山補訓
[00:01:03.000 --> 00:01:05.000]  第一堂道那裏講過
[00:01:05.000 --> 00:01:07.000]  如果要在
[00:01:07.000 --> 00:01:09.000]  登山補訓裏面
[00:01:09.000 --> 00:01:11.000]  找出一節的
[00:01:11.000 --> 00:01:13.000]  核心的經文
