
[00:00:00.000 --> 00:00:03.400]  我們說《肥勒比書》來到一章尾
[00:00:03.400 --> 00:00:08.680]  今天講題叫做「只怕生命不相稱」
[00:00:08.680 --> 00:00:11.160]  不知道你有沒有覺得
[00:00:11.160 --> 00:00:13.480]  你以為照鏡子看到自己的樣子
[00:00:13.480 --> 00:00:14.800]  兩邊好像不太平衡
[00:00:14.800 --> 00:00:16.200]  特別是髮型
[00:00:16.200 --> 00:00:17.360]  好
[00:00:17.360 --> 00:00:22.920]  我們一起讀今天《肥勒比書》一章二十七至三十四節經文
[00:00:22.920 --> 00:00:23.920]  預備起
[00:00:23.920 --> 00:00:26.160]  這段經文
[00:00:27.520 --> 00:00:30.600]  第二十七節第一個字是甚麼?
[00:00:30.600 --> 00:00:33.360]  「最重要的是」
[00:00:33.360 --> 00:00:38.000]  在King James Version翻譯為「only」
[00:00:38.000 --> 00:00:43.280]  原文叫做「單聲道monos」
[00:00:43.280 --> 00:00:45.320]  即是第一件事
[00:00:45.320 --> 00:00:47.840]  他說「最重要」
[00:00:47.840 --> 00:00:49.040]  即是甚麼?
[00:00:49.040 --> 00:00:50.960]  為甚麼保羅來到第二十七節
[00:00:50.960 --> 00:00:53.880]  上次講門徒心智
[00:00:54.560 --> 00:00:59.280]  多樂全道跟我們講到「要照常顯大,無論死還是生」
[00:00:59.280 --> 00:01:01.080]  上次你記得
[00:01:01.080 --> 00:01:06.080]  多樂全道講「活著基督」
[00:01:06.080 --> 00:01:08.560]  保羅說「活著」就是基督
[00:01:08.560 --> 00:01:11.400]  死了又讚
[00:01:11.400 --> 00:01:16.080]  「活著基督死讚」
[00:01:16.080 --> 00:01:18.640]  如果不知道你在說甚麼
[00:01:18.640 --> 00:01:19.880]  以為你瘋了
[00:01:19.880 --> 00:01:23.080]  「活著基督」這句也容易明白
[00:01:23.280 --> 00:01:25.960]  就像基督徒一樣,死了又讚
[00:01:25.960 --> 00:01:29.600]  保羅所說的
[00:01:29.600 --> 00:01:34.320]  就是他面對在二十四節之前
[00:01:34.320 --> 00:01:35.960]  二十四至二十六節
[00:01:35.960 --> 00:01:39.000]  他說他在兩難之間
[00:01:39.000 --> 00:01:42.160]  當他在想神想他未來會怎樣
[00:01:42.160 --> 00:01:43.640]  他很清楚
[00:01:43.640 --> 00:01:47.480]  他知道神要他留在這裡
[00:01:48.200 --> 00:01:53.440]  最後要令這群菲律賓信徒又喜樂又長進
