
[00:00:00.000 --> 00:00:02.800]  今天我們回來看希伯來書
[00:00:02.800 --> 00:00:04.640]  今天我們回到希伯來書
[00:00:04.640 --> 00:00:07.520]  我們也知道今天是青年的主日
[00:00:07.520 --> 00:00:09.760]  我們也知道今天是青年的主日
[00:00:09.760 --> 00:00:14.080]  青年人要坐在禮堂當中聽講道
[00:00:14.080 --> 00:00:17.760]  今天的年輕人會坐在禮堂當中來聽講道
[00:00:17.760 --> 00:00:20.000]  本來他們不知道的
[00:00:20.000 --> 00:00:22.440]  去了青年班上課
[00:00:22.440 --> 00:00:25.840]  本來他們不知道跑去青年班那邊要上課
[00:00:25.840 --> 00:00:27.480]  可能大家都有些誤會
[00:00:27.480 --> 00:00:28.720]  可能有些誤會
[00:00:28.720 --> 00:00:30.000]  所以我叫他們回來
[00:00:30.000 --> 00:00:31.040]  今天是青年主日
[00:00:31.040 --> 00:00:33.720]  我們一起來聽講道
[00:00:33.720 --> 00:00:36.720]  所以才叫他們回來聽講道
[00:00:36.720 --> 00:00:39.840]  他們可能心裡有個疑問
[00:00:39.840 --> 00:00:41.640]  他們心裡可能有個疑問
[00:00:41.640 --> 00:00:44.960]  為什麼我們要聽大人講話呢
[00:00:44.960 --> 00:00:46.920]  為什麼我們要聽大人講話呢
[00:00:46.920 --> 00:00:50.040]  為什麼大人講的話我們要聽呢
[00:00:50.040 --> 00:00:53.680]  為什麼大人講話我們要聽呢
[00:00:53.680 --> 00:00:56.560]  其實很簡單
[00:00:56.560 --> 00:00:59.160]  其實很簡單
[00:00:59.160 --> 00:01:03.080]  為什麼我們要聽大人講話呢
[00:01:03.080 --> 00:01:05.240]  為什麼我們要聽大人講話呢
[00:01:05.240 --> 00:01:06.920]  特別是我們的父母親
[00:01:06.920 --> 00:01:08.440]  特別是我們要聽父母親
[00:01:08.440 --> 00:01:11.400]  我想剛剛那些年輕人也在想
[00:01:11.400 --> 00:01:14.400]  為什麼魏傳道叫出去聽講道
[00:01:14.400 --> 00:01:16.080]  就一定要出去聽講道呢
[00:01:16.080 --> 00:01:17.680]  我想剛剛年輕人也在想
[00:01:17.680 --> 00:01:19.880]  為什麼魏傳道叫我們要出來聽講道
[00:01:19.880 --> 00:01:21.640]  我們就一定要出去呢
[00:01:21.640 --> 00:01:24.000]  如果你問大人的話
