
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹午安
[00:00:02.000 --> 00:00:04.000]  今天想和大家分享一個題目
[00:00:04.000 --> 00:00:07.000]  是叫做「向上走,向下走」
[00:00:07.000 --> 00:00:08.000]  兩個都是一個問號
[00:00:08.000 --> 00:00:13.000]  問我們究竟要活出一個向上走的生命
[00:00:13.000 --> 00:00:16.000]  還是活一個向下走的生命
[00:00:16.000 --> 00:00:17.000]  可能就這樣看標題
[00:00:17.000 --> 00:00:19.000]  可能一般都會想
[00:00:19.000 --> 00:00:21.000]  我們當然要向上走
[00:00:21.000 --> 00:00:23.000]  我們要努力的向上
[00:00:23.000 --> 00:00:26.000]  做最好的,做最叻的
[00:00:26.000 --> 00:00:27.000]  我們一路向上
[00:00:27.000 --> 00:00:30.000]  不過今天這個故事其實要去提醒我們
[00:00:30.000 --> 00:00:34.000]  耶穌基督的示範正是要向下走
[00:00:34.000 --> 00:00:36.000]  祂不是要得人的掌聲
[00:00:36.000 --> 00:00:39.000]  但是祂是卻卑微的去服事
[00:00:39.000 --> 00:00:44.000]  今天的經文是在《馬太福音》的二十章二十至二十八節
[00:00:44.000 --> 00:00:46.000]  讓我去讀出這段經文
[00:00:46.000 --> 00:00:49.000]  《馬太福音》二十章二十節
[00:00:49.000 --> 00:00:54.000]  那時西非太兒子的母親和她兩個兒子上前來
[00:00:54.000 --> 00:00:57.000]  向耶穌叩頭,求祂一件事
[00:00:57.000 --> 00:01:00.000]  耶穌問她:「你要什麼呢?」
[00:01:00.000 --> 00:01:03.000]  她對耶穌說:「在你的國裡
[00:01:03.000 --> 00:01:05.000]  請讓我這兩個兒子
[00:01:05.000 --> 00:01:10.000]  一個坐在你右邊,一個坐在你左邊。」
[00:01:10.000 --> 00:01:14.000]  耶穌回答:「你們不知道所求的是什麼?
[00:01:14.000 --> 00:01:17.000]  我所喝的杯,你們能喝嗎?」
[00:01:17.000 --> 00:01:20.000]  她們對祂說:「我們能。」
[00:01:20.000 --> 00:01:24.000]  耶穌說:「我所喝的杯,你們要喝
[00:01:24.000 --> 00:01:28.000]  可是坐在我的左右,不是我可以賜的
[00:01:28.000 --> 00:01:32.000]  而是我父為誰預備,就賜給誰
[00:01:32.000 --> 00:01:38.000]  其餘十個門徒聽見,就對他們兄弟二人很生氣
[00:01:38.000 --> 00:01:40.000]  耶穌叫了他們來說:
[00:01:40.000 --> 00:01:44.000]  你們知道,外邦人有君王作主治理他們
[00:01:44.000 --> 00:01:47.000]  有大臣操權管轄他們
[00:01:47.000 --> 00:01:50.000]  但是在你們中間不可這樣
[00:01:50.000 --> 00:01:54.000]  你們中間誰願為大,就要作你們的傭人
[00:01:54.000 --> 00:01:57.000]  誰願為首,就要作你們的僕人
[00:01:57.000 --> 00:02:01.000]  正如人子來,不是要受人的服侍
[00:02:01.000 --> 00:02:03.000]  乃是要服侍人
[00:02:03.000 --> 00:02:07.000]  並且要捨命作多人的屬駕」
[00:02:07.000 --> 00:02:11.000]  相信這段經文的內容,大家不會很陌生
[00:02:11.000 --> 00:02:15.000]  很多地方都會有標語
[00:02:15.000 --> 00:02:19.000]  告訴我們,我們不是要受人的服侍
[00:02:19.000 --> 00:02:21.000]  而是要服侍人
[00:02:21.000 --> 00:02:25.000]  看了很多,但我們卻做了多少呢?
[00:02:25.000 --> 00:02:28.000]  今天這個故事,我們一開始的時候
[00:02:28.000 --> 00:02:31.000]  我們看到故事的焦點放在一位母親身上
[00:02:31.000 --> 00:02:33.000]  是一位很特別的母親
[00:02:33.000 --> 00:02:35.000]  她態度很誠懇
[00:02:35.000 --> 00:02:38.000]  她一來到耶穌的根前,就向祂叩頭
[00:02:38.000 --> 00:02:40.000]  她很尊重耶穌
[00:02:40.000 --> 00:02:45.000]  亦很遇氣堅定地向耶穌提出一個很大膽的要求
[00:02:45.000 --> 00:02:48.000]  「在祢的國裡,請讓我借兩個兒子
[00:02:48.000 --> 00:02:51.000]  一個坐在祢右邊,一個坐在祢左邊」
[00:02:51.000 --> 00:02:53.000]  原來這位母親很心急
[00:02:53.000 --> 00:02:58.000]  她很想她的兒女,兩個兒子能夠出人頭地
[00:02:58.000 --> 00:03:01.000]  所以她斗膽向耶穌求問
[00:03:01.000 --> 00:03:04.000]  要為她的兒子求出路
[00:03:04.000 --> 00:03:07.000]  這兩個兒子就是雅各和約翰
[00:03:07.000 --> 00:03:12.000]  事實上,十二門徒本身已經在耶穌的根前
[00:03:12.000 --> 00:03:14.000]  已經不斷陪伴著他
[00:03:14.000 --> 00:03:17.000]  耶穌甚至在十九章告訴我們
[00:03:17.000 --> 00:03:23.000]  這十二個門徒將來都要成為審判的角色
[00:03:23.000 --> 00:03:25.000]  《馬太福音》十九章二十八節說
