
[00:00:00.000 --> 00:00:02.200]  那麼今天的題目
[00:00:02.200 --> 00:00:04.080]  其實我中間考慮過是否要改的
[00:00:04.080 --> 00:00:05.480]  因為大家都知道
[00:00:05.480 --> 00:00:06.920]  一個星期發生很多事情
[00:00:06.920 --> 00:00:08.140]  那麼
[00:00:08.140 --> 00:00:09.560]  2000個家庭
[00:00:09.560 --> 00:00:10.360]  其實
[00:00:10.360 --> 00:00:12.520]  無論你直接或者間接
[00:00:12.520 --> 00:00:15.160]  都會接觸到或者知道
[00:00:15.160 --> 00:00:16.000]  就是
[00:00:16.000 --> 00:00:18.120]  那些的情況
[00:00:18.120 --> 00:00:20.000]  我昨天在教會崇拜裡面
[00:00:20.000 --> 00:00:20.420]  其實
[00:00:20.420 --> 00:00:21.560]  就是教會屯門
[00:00:21.560 --> 00:00:22.960]  那麼其實也有會友
[00:00:22.960 --> 00:00:24.640]  是有親戚在大埔
[00:00:24.640 --> 00:00:25.840]  所以
[00:00:25.840 --> 00:00:28.280]  就是那個的狀態
[00:00:28.280 --> 00:00:29.400]  其實今天我相信
[00:00:29.400 --> 00:00:30.660]  就是有很多教會
[00:00:30.660 --> 00:00:34.320]  都面對這一種的處境
[00:00:34.320 --> 00:00:36.800]  就是到底我們怎麼去面對呢?
[00:00:36.800 --> 00:00:40.080]  就是很多的傷痛
[00:00:40.080 --> 00:00:42.760]  不明白
[00:00:42.760 --> 00:00:44.400]  甚至乎有憤怒
[00:00:44.400 --> 00:00:46.920]  我們怎麼來到神的面前
[00:00:46.920 --> 00:00:49.400]  來求主安慰我們
[00:00:49.400 --> 00:00:51.840]  也怎麼樣去面對
[00:00:51.840 --> 00:00:53.280]  就是我們身邊
[00:00:53.280 --> 00:00:55.400]  其實可能我們很熟悉的
[00:00:55.400 --> 00:00:57.800]  或者我們間接認識的朋友
[00:00:57.800 --> 00:01:00.240]  就是面對這些的災難呢?
[00:01:00.240 --> 00:01:02.520]  我們求主用他的華語幫助我們
[00:01:02.520 --> 00:01:04.120]  我們再一次同心討告
