
[00:00:00.000 --> 00:00:06.000]  很感恩終於不需要對著鏡頭去說話
[00:00:06.000 --> 00:00:10.000]  能夠實體一起去敬拜是一件很感恩的事
[00:00:10.000 --> 00:00:13.000]  所以我也常常這樣提醒自己
[00:00:13.000 --> 00:00:16.000]  如果能夠實體我就一定實體
[00:00:16.000 --> 00:00:19.000]  不能夠就實事
[00:00:19.000 --> 00:00:23.000]  真的不行就先看重播
[00:00:23.000 --> 00:00:28.000]  我們實體敬拜我想是上帝喜悅的
[00:00:28.000 --> 00:00:31.000]  在我們一起敬拜一起聽道之先
[00:00:31.000 --> 00:00:33.000]  我們也去禱告
[00:00:33.000 --> 00:00:35.000]  親愛的我們很感謝你
[00:00:35.000 --> 00:00:37.000]  我們能夠去敬拜你
[00:00:37.000 --> 00:00:39.000]  是我們的福氣
[00:00:39.000 --> 00:00:41.000]  我們能夠在你的圈裏面
[00:00:41.000 --> 00:00:44.000]  被你去幫助我們
[00:00:44.000 --> 00:00:45.000]  去牧養我們
[00:00:45.000 --> 00:00:47.000]  是我們的福氣
[00:00:47.000 --> 00:00:49.000]  我們有你的話語
[00:00:49.000 --> 00:00:52.000]  成為我們腳前的燈路上的光
[00:00:52.000 --> 00:00:53.000]  很感謝你
[00:00:53.000 --> 00:00:56.000]  求聖靈引導我們進入真理
[00:00:56.000 --> 00:00:58.000]  讓真理去改變我們的生命
[00:00:58.000 --> 00:01:01.000]  我們同心禱告奉耶穌基督的聖名
[00:01:01.000 --> 00:01:02.000]  阿們
[00:01:02.000 --> 00:01:07.000]  曾經看過一套電影叫Deep Impact
[00:01:07.000 --> 00:01:12.000]  應該是1998年上映
[00:01:12.000 --> 00:01:16.000]  在香港公映的時候叫做末日救未來
[00:01:16.000 --> 00:01:19.000]  我不知道在在有沒有人看過這套電影
[00:01:19.000 --> 00:01:21.000]  末日救未來
[00:01:21.000 --> 00:01:24.000]  講一粒水星撞地球
[00:01:24.000 --> 00:01:26.000]  有人點頭
[00:01:26.000 --> 00:01:28.000]  這套電影講的是
[00:01:28.000 --> 00:01:31.000]  有一粒很大的水星會撞落地球
[00:01:31.000 --> 00:01:35.000]  會引致全人類的毀滅
[00:01:35.000 --> 00:01:38.000]  美國和俄羅斯
[00:01:38.000 --> 00:01:41.000]  兩個科技最先進的國家
[00:01:41.000 --> 00:01:44.000]  聯手派了一隊太空人
[00:01:44.000 --> 00:01:46.000]  坐一艘太空船
[00:01:46.000 --> 00:01:49.000]  那艘太空船的名字叫Messiah
[00:01:49.000 --> 00:01:51.000]  它叫救世者號
[00:01:51.000 --> 00:01:53.000]  載了很多的核彈
[00:01:53.000 --> 00:01:57.000]  想用核彈將這粒很大的水星
[00:01:57.000 --> 00:01:59.000]  炸離軌道
[00:01:59.000 --> 00:02:01.000]  不要撞落地球
[00:02:01.000 --> 00:02:05.000]  結果任務失敗了
[00:02:05.000 --> 00:02:09.000]  核彈將這粒水星一炸就炸開兩截
[00:02:09.000 --> 00:02:10.000]  一粒小的
[00:02:10.000 --> 00:02:12.000]  一粒很大
[00:02:12.000 --> 00:02:15.000]  小的水星仍然按著軌跡
