
[00:00:00.000 --> 00:00:07.000]  我們要跟弟兄姊妹一同來讀《旦夷禮書》
[00:00:07.000 --> 00:00:15.000]  舊約《旦夷禮書》
[00:00:15.000 --> 00:00:17.000]  我們讀《旦夷禮書》
[00:00:17.000 --> 00:00:25.000]  我們要讀第一章的第八節到十六節這一段
[00:00:25.000 --> 00:00:32.000]  從第八節我們要一起讀到十六節
[00:00:32.000 --> 00:00:38.000]  那麼翻到以後我們一起來讀
[00:00:38.000 --> 00:00:56.000]  旦夷禮確立自不以王的善和王所允的酒顛覆自己,隨求太監長容他不顛覆自己,神使旦夷禮在太監長眼前蒙恩,受憐憫。
[00:00:56.000 --> 00:01:17.000]  太監長對旦夷禮說:我舉他我主我王,他已經派定你們飲食,倘若他見你們的面貌比你們空睡的少年的肌瘦,怎麼好呢?這樣你們就使我的頭再往哪裡逃。
[00:01:17.000 --> 00:01:46.000]  旦夷禮對太監長所派管理旦夷禮阿達蒂亞米沙利亞沙利亞的尾伴說:求你賜賜古人們十天,給我們素材吃白水殼,然後看看我們的面貌,和用王善的起早年的面貌做你所看的代僕人們,尾伴便允准他們這件事。
[00:01:46.000 --> 00:02:04.000]  試探他們十天,過了十天,見他們的面貌比用王善的一切少年人更加凶狂肥胖,於是尾伴撤去派他們用的膳,飲的酒,給他們素材吃。
[00:02:04.000 --> 00:02:29.000]  這地方是講到這個旦夷禮在巴比倫王朝裡頭他所發生的事情,我們還要再看一看在新月的斐理比書,新月的斐理比書在第二章我們念第十三節。
[00:02:29.000 --> 00:02:38.000]  斐理比書第二章第十三節,一起來。
[00:02:38.000 --> 00:03:05.000]  因為你們立志行事,都是神在你們心底運行,為了成就祂的美意,我們就讀這節聖經。剛才在斐理比書,我們所著重看到的第八節,斐理立志,到斐理比書第二章第十三節說的,
[00:03:05.000 --> 00:03:18.000]  我們的立志行事,都是神在我們心裡頭運行,為了成就祂的美意,我們聖經就先讀到這裡。
[00:03:18.000 --> 00:03:45.000]  我們今天的題目,要分享的題目就是立志為神,我們立下這個志向,為了神立下這個志向。我們剛才是先從這個旦夷禮這本書上,看見他立志,他怎麼立志的,他是不容王的飲食玷污自己。
