
[00:00:00.000 --> 00:00:01.640]  我們再一起來祈禱
[00:00:01.640 --> 00:00:04.680]  求聖靈在我們的心中
[00:00:04.680 --> 00:00:08.760]  在我們的思維裡面工作、教導我們
[00:00:08.760 --> 00:00:10.000]  全能的天父上帝
[00:00:10.000 --> 00:00:13.360]  我們繼續在你面前敬拜
[00:00:13.360 --> 00:00:15.600]  當我們打開聖經的時候
[00:00:15.600 --> 00:00:17.880]  我們知道你的話語
[00:00:17.880 --> 00:00:20.560]  給我們生命的力量
[00:00:20.560 --> 00:00:24.200]  也有生活的指引
[00:00:24.200 --> 00:00:27.080]  我們懇求聖靈幫助我們
[00:00:27.080 --> 00:00:30.120]  不單止在我們的思維裡面
[00:00:30.120 --> 00:00:33.720]  去明白神你的心意
[00:00:33.720 --> 00:00:36.360]  願聖靈給力量我們
[00:00:36.360 --> 00:00:41.920]  讓我們實實在在地實踐出來
[00:00:41.920 --> 00:00:45.520]  照著主你的旨意來生活
[00:00:45.520 --> 00:00:48.360]  越來越像我們的主耶穌
[00:00:48.360 --> 00:00:50.360]  祈求禱告奉耶穌的名
[00:00:50.360 --> 00:00:53.440]  阿門
[00:00:53.440 --> 00:00:57.760]  我們一路學習以弗所書的訊息
[00:00:57.760 --> 00:01:00.640]  今天我的題目叫做
[00:01:00.640 --> 00:01:06.120]  氣救形身日漸新
[00:01:06.120 --> 00:01:08.040]  在農曆新年的時候
[00:01:08.040 --> 00:01:10.800]  很流行的一句話
[00:01:10.800 --> 00:01:14.760]  我們說炮竹一聲除舊
[00:01:14.760 --> 00:01:16.800]  我記得當我小的時候
[00:01:16.800 --> 00:01:20.640]  我們到了農曆的年三十晚
[00:01:20.640 --> 00:01:24.000]  時時都會問媽媽
[00:01:24.000 --> 00:01:27.440]  臨睡之前問她
[00:01:27.440 --> 00:01:31.760]  我明天起床的時候穿什麼衣服呢
[00:01:31.760 --> 00:01:34.000]  因為每一年的年初一
[00:01:34.000 --> 00:01:38.040]  她一定會預備好一些新衣服給我們穿
[00:01:38.040 --> 00:01:41.600]  我們就很安心地睡覺
[00:01:41.600 --> 00:01:43.000]  她就說你睡醒了
[00:01:43.000 --> 00:01:45.920]  明天就會看到有新的衣服
[00:01:45.920 --> 00:01:48.720]  擺在你的床邊
[00:01:48.720 --> 00:01:54.840]  我們就每一年的年初一早上起床
[00:01:54.840 --> 00:01:57.040]  都有新衣服穿
[00:01:57.040 --> 00:02:01.400]  新對我們來說是很開心的事
[00:02:01.400 --> 00:02:06.280]  聖經也給我們有新的主題
[00:02:06.280 --> 00:02:08.440]  我們要更新變化
[00:02:08.440 --> 00:02:10.920]  我們要氣救形身
[00:02:10.920 --> 00:02:13.960]  在以弗所書第四章前面那一段
[00:02:13.960 --> 00:02:17.000]  就告訴我們我們要脫去舊人
[00:02:17.000 --> 00:02:19.760]  我們就要穿上新人
[00:02:19.760 --> 00:02:23.280]  哥羅西書一樣用這樣的字
[00:02:23.280 --> 00:02:26.240]  脫去舊人穿上新人
[00:02:26.240 --> 00:02:31.240]  大家很熟悉的哥倫多後書五章十七節
[00:02:31.240 --> 00:02:36.400]  很多弟兄姊妹背今句一定會背這一句
[00:02:36.400 --> 00:02:38.040]  這一句就告訴我們
[00:02:38.040 --> 00:02:41.360]  凡是在基督裡面都是新造的人
[00:02:41.360 --> 00:02:45.280]  所以我們是有新造的人
[00:02:45.280 --> 00:02:47.680]  但這一句奧妙的地方
[00:02:47.680 --> 00:02:50.440]  不單止我們是新的人
[00:02:50.440 --> 00:02:53.960]  而且那裡說舊事已過都變成新的了
[00:02:53.960 --> 00:02:56.960]  舊事不只是說我自己
