
[00:00:00.000 --> 00:00:03.100]  今日我話我哋嘅大題目係
[00:00:03.100 --> 00:00:05.000]  Gospel to the Lion City
[00:00:05.000 --> 00:00:07.300]  給師承嘅福音
[00:00:07.300 --> 00:00:10.300]  因為新加坡其實同哥倫多
[00:00:10.300 --> 00:00:12.400]  係有好多相似嘅地方
[00:00:12.400 --> 00:00:13.000]  OK
[00:00:13.000 --> 00:00:15.800]  咁我哋有五次嘅聚會啦
[00:00:15.800 --> 00:00:18.500]  咁我就預備咗五堂
[00:00:18.500 --> 00:00:21.700]  咁如果你睇下你自己嘅筆記裏面都有寫嘅
[00:00:21.700 --> 00:00:23.600]  咁第一堂呢就係今日啦
[00:00:23.600 --> 00:00:24.900]  我今日唔知做唔做得完
[00:00:24.900 --> 00:00:26.700]  可能一日夜晚再繼續啦
[00:00:26.700 --> 00:00:30.700]  就係做哥倫多前後書嘅一個Overview
[00:00:30.700 --> 00:00:31.900]  即係我想同你睇下
[00:00:31.900 --> 00:00:34.600]  究竟哥倫多前後書係講啲乜嘢嘅
[00:00:34.600 --> 00:00:35.800]  呢樣嘢好重要嘅
[00:00:35.800 --> 00:00:37.600]  因為哥倫多前後書係其中
[00:00:37.600 --> 00:00:41.000]  保羅書信裏面係其中一個最複雜嘅書
[00:00:41.000 --> 00:00:42.600]  咁我哋個題目就叫做
[00:00:42.600 --> 00:00:45.000]  十面埋伏十萬火急
[00:00:45.000 --> 00:00:46.400]  遲啲先會解釋俾你知
[00:00:46.400 --> 00:00:49.100]  咩叫十面埋伏十萬火急啦
[00:00:49.100 --> 00:00:50.300]  咁今晚
[00:00:50.300 --> 00:00:52.500]  今晚我都唔知開唔開始得到啦
[00:00:52.500 --> 00:00:54.800]  咁有第二講叫做
[00:00:54.800 --> 00:00:57.200]  基督十教上帝大能
[00:00:57.200 --> 00:00:59.100]  咁你睇到嗰啲Breakdown呢
[00:00:59.100 --> 00:01:01.400]  我哋會有一章十八節
[00:01:01.400 --> 00:01:03.800]  去到二章五節
[00:01:03.800 --> 00:01:05.700]  跟住聽日我哋有兩堂
[00:01:05.700 --> 00:01:09.400]  就係奧秘嘅智慧聖靈嘅顯明
[00:01:09.400 --> 00:01:12.500]  咁就係二章一至十六節
[00:01:12.500 --> 00:01:17.000]  跟住夜晚係有宿命嘅聖殿謹慎建造
[00:01:17.000 --> 00:01:20.200]  係第三章一至二十三節
[00:01:20.200 --> 00:01:21.500]  咁最後啦
[00:01:21.500 --> 00:01:23.100]  我哋最後嗰一日呢
[00:01:23.100 --> 00:01:25.900]  其實就係末世嘅好戲
[00:01:25.900 --> 00:01:27.300]  效法仕途
[00:01:27.300 --> 00:01:28.900]  咁就係四章十六節
[00:01:28.900 --> 00:01:31.800]  如果你頭先記得我頭先話四章十六節
[00:01:31.800 --> 00:01:35.400]  其實係整段嘅高峰嚟嘅
[00:01:35.400 --> 00:01:37.000]  即係保羅呢
[00:01:37.000 --> 00:01:39.700]  係開始喺度講緊佢哋分裂嘅問題
[00:01:39.700 --> 00:01:40.700]  但係最終呢
[00:01:40.700 --> 00:01:42.300]  佢係要佢哋呢
[00:01:42.300 --> 00:01:45.300]  去效法佢嘅
[00:01:45.300 --> 00:01:49.000]  如果你話二三四五
[00:01:49.000 --> 00:01:50.800]  係嗰個Solution
[00:01:50.800 --> 00:01:52.700]  即係個解決嗰個方法呢
[00:01:52.700 --> 00:01:54.000]  你睇返
[00:01:54.000 --> 00:01:55.500]  當時佢
[00:01:55.500 --> 00:01:58.300]  保羅要Deal with嘅一個最大嘅問題係咩呢
[00:01:58.300 --> 00:02:00.400]  就係佢哋嘅分裂嘅問題
[00:02:00.400 --> 00:02:03.800]  分裂、增敬、屬世、紛爭
[00:02:03.800 --> 00:02:06.400]  咁我哋會簡單好快呢
[00:02:06.400 --> 00:02:07.000]  唔係今日啦
[00:02:07.000 --> 00:02:10.500]  夜晚會睇一睇第一章第十節開始
[00:02:10.500 --> 00:02:12.100]  佢哋嘅問題
[00:02:12.100 --> 00:02:14.700]  而保羅竟然用咗四章聖經呢
