
[00:00:00.000 --> 00:00:08.000]  我相信大家都聽過或者看過一套最近很備受熱捧的一套中國電影
[00:00:08.000 --> 00:00:09.000]  《拿渣2》
[00:00:09.000 --> 00:00:11.000]  大家有沒有看過或者聽過呢?
[00:00:11.000 --> 00:00:18.000]  來到今天這套電影就已經是世界的票房排名第五位
[00:00:18.000 --> 00:00:20.000]  看來還有得上升的趨勢
[00:00:20.000 --> 00:00:22.000]  為什麼我說這套電影?
[00:00:22.000 --> 00:00:29.000]  這套電影的故事裡面有一個情節跟我們今天要說的這個信息很類似
[00:00:29.000 --> 00:00:30.000]  在這套故事裡面
[00:00:30.000 --> 00:00:32.000]  對不起有一點點劇透
[00:00:32.000 --> 00:00:36.000]  如果大家還沒看的話我盡量少一點劇透
[00:00:36.000 --> 00:00:41.000]  在這個故事有某個情節就說到拿渣跟他的好友奧丙
[00:00:41.000 --> 00:00:44.000]  由於某些原因他們需要共用一個
[00:00:44.000 --> 00:00:47.000]  兩個人要共用一個的身體
[00:00:47.000 --> 00:00:50.000]  大家可以想像兩個人共用一個身體的時候
[00:00:50.000 --> 00:00:52.000]  當然有些論盡的情況出現
[00:00:52.000 --> 00:00:54.000]  我想去左邊的時候你又想去右邊
[00:00:54.000 --> 00:00:56.000]  我想走路的時候你又要坐下
[00:00:56.000 --> 00:00:59.000]  最後搞到當他們面對敵人的時候
[00:00:59.000 --> 00:01:02.000]  由於你搞不定的時候
[00:01:02.000 --> 00:01:05.000]  他們發揮不了最大的能力
[00:01:05.000 --> 00:01:06.000]  最後怎樣?
[00:01:06.000 --> 00:01:09.000]  最後當面對強敵的時候
[00:01:09.000 --> 00:01:12.000]  拿渣就要吃回藥丸
[00:01:12.000 --> 00:01:15.000]  吃完藥丸之後他就會睡著覺
[00:01:15.000 --> 00:01:16.000]  睡著覺的時候
[00:01:16.000 --> 00:01:21.000]  這個奧丙他的朋友就能夠完全控制到他的身體
[00:01:21.000 --> 00:01:25.000]  就能夠擊敗敵人
[00:01:25.000 --> 00:01:29.000]  這個情節就很類似我們剛才所說
[00:01:29.000 --> 00:01:32.000]  聖靈與情慾相爭
[00:01:32.000 --> 00:01:34.000]  聖經裡面說的就是
[00:01:34.000 --> 00:01:36.000]  我們好像有兩個力量
[00:01:36.000 --> 00:01:38.000]  用保羅的話
[00:01:38.000 --> 00:01:40.000]  我們好像生命裡面有兩個力量
[00:01:40.000 --> 00:01:42.000]  來控制著我們
[00:01:42.000 --> 00:01:48.000]  這個拿渣吃了藥丸之後
[00:01:48.000 --> 00:01:50.000]  就會奧丙上身
[00:01:50.000 --> 00:01:52.000]  你看到不同的樣子
[00:01:52.000 --> 00:01:54.000]  當奧丙上身的時候
[00:01:54.000 --> 00:01:56.000]  正氣諗言
[00:01:56.000 --> 00:01:59.000]  當這個拿渣控制回身體的時候
[00:01:59.000 --> 00:02:01.000]  大家看到樣子很醜
[00:02:01.000 --> 00:02:06.000]  如果我們想一想
[00:02:06.000 --> 00:02:07.000]  我們被聖靈充滿
