
[00:00:00.000 --> 00:00:01.960]  各位電容姐妹 平安
[00:00:01.960 --> 00:00:04.760]  還有網路上的電容姐妹 平安
[00:00:04.760 --> 00:00:06.560]  歡迎你再次跟我們一起來
[00:00:06.560 --> 00:00:07.760]  清白藏美模特兒組
[00:00:07.760 --> 00:00:10.440]  一同來分享主的話語
[00:00:10.440 --> 00:00:12.240]  保羅在《格林多前書》第一章
[00:00:12.240 --> 00:00:13.600]  31節告訴我們說
[00:00:13.600 --> 00:00:17.680]  誇口的單只做主誇口
[00:00:17.680 --> 00:00:21.120]  人們吹牛或者是誇口自誇
[00:00:21.120 --> 00:00:23.000]  有許多不同的原因
[00:00:23.000 --> 00:00:25.360]  最常見的原因是因為想娛樂自己
[00:00:25.360 --> 00:00:26.920]  或者娛樂他人
[00:00:26.920 --> 00:00:29.840]  或者是想得到別人的認可
[00:00:29.840 --> 00:00:32.280]  或者是引起別人的注意力
[00:00:32.280 --> 00:00:35.120]  有一天老張去看牙醫
[00:00:35.120 --> 00:00:37.280]  發現這個牙醫是個女的
[00:00:37.280 --> 00:00:38.880]  而且長得非常的漂亮
[00:00:38.880 --> 00:00:40.320]  心裡就想說
[00:00:40.320 --> 00:00:43.120]  現代的女孩子都喜歡有錢的人
[00:00:43.120 --> 00:00:44.560]  我一定要把握機會
[00:00:44.560 --> 00:00:46.840]  表現一下自己的實力
[00:00:46.840 --> 00:00:48.960]  然後這個女醫生就走到他面前
[00:00:48.960 --> 00:00:49.640]  告訴他說
[00:00:49.640 --> 00:00:53.120]  你的牙柱壞了 拔掉好嗎
[00:00:53.120 --> 00:00:57.840]  然後老張就裝作故意覺得很緊張的樣子說
[00:00:57.840 --> 00:01:02.600]  拔掉的話會影響我開Ferrari嗎
[00:01:02.600 --> 00:01:05.040]  這個美麗的女醫師就說
[00:01:05.040 --> 00:01:06.320]  不會影響
[00:01:06.320 --> 00:01:11.480]  只是你吹牛的時候有一點漏風
[00:01:11.480 --> 00:01:12.800]  告訴旁邊的人說
[00:01:12.800 --> 00:01:15.000]  不要自誇
[00:01:15.000 --> 00:01:17.840]  誇口的單只做主誇口
[00:01:17.840 --> 00:01:20.440]  知道我們要只做我們的主誇口
[00:01:20.440 --> 00:01:22.400]  的確我們一切的恩典
[00:01:22.400 --> 00:01:24.600]  都是從我們的耶穌基督來的
[00:01:24.600 --> 00:01:26.280]  祂為我們舍身流血
[00:01:26.280 --> 00:01:28.680]  釘死在十字架上赦免我們的罪
[00:01:28.680 --> 00:01:30.080]  給我們新的生命
[00:01:30.080 --> 00:01:31.240]  從世裡復活
[00:01:31.240 --> 00:01:33.240]  把永生的生命賜給我們
[00:01:33.240 --> 00:01:34.040]  不但是如此
[00:01:34.040 --> 00:01:35.160]  祂還應許我們說
[00:01:35.160 --> 00:01:36.280]  祂離開之後
[00:01:36.280 --> 00:01:39.480]  會將寶貴的聖靈賜給我們
[00:01:39.480 --> 00:01:42.360]  叫祂永遠與我們同在
[00:01:42.360 --> 00:01:43.240]  阿們
[00:01:43.240 --> 00:01:45.040]  因此耶穌基督復活之後
[00:01:45.040 --> 00:01:47.360]  生日之前花了40天的時間
[00:01:47.360 --> 00:01:48.880]  和門徒們在一起
[00:01:48.880 --> 00:01:51.000]  講論神國的事情
[00:01:51.000 --> 00:01:52.520]  但是門徒們聽來聽去
[00:01:52.520 --> 00:01:54.520]  他們心中最關心的是
[00:01:54.520 --> 00:01:58.400]  父什麼時候要復興以色列國
[00:01:58.400 --> 00:02:00.120]  看看耶穌怎麼回答他們
[00:02:00.120 --> 00:02:01.360]  在十度宣傳第一章
[00:02:01.360 --> 00:02:02.960]  第七節到第八節
[00:02:02.960 --> 00:02:04.320]  這裡耶穌對他們說
[00:02:04.320 --> 00:02:06.320]  父憑著自己的權柄
[00:02:06.320 --> 00:02:08.120]  鎖定的時候日期
[00:02:08.120 --> 00:02:10.280]  不是你們可以知道的
[00:02:10.280 --> 00:02:11.600]  那你們可知道的是什麼呢
[00:02:11.600 --> 00:02:13.600]  一起來讀第八節
[00:02:13.600 --> 00:02:16.200]  但聖靈降臨在你們身上
[00:02:16.200 --> 00:02:18.360]  你們就必得著能力
[00:02:18.360 --> 00:02:20.120]  並且要在耶路撒冷
[00:02:20.120 --> 00:02:22.200]  猶太權地和撒瑪利亞
[00:02:22.200 --> 00:02:25.400]  直到第幾做我的見證
[00:02:25.400 --> 00:02:26.760]  耶穌在這裡首先回答他們
[00:02:26.760 --> 00:02:28.280]  首先是負面的
[00:02:28.280 --> 00:02:30.440]  所訂的日期跟時候
