
[00:00:00.000 --> 00:00:02.440]  今天的題目叫做「估你唔到」
[00:00:02.440 --> 00:00:05.200]  很明顯不是一個「島」
[00:00:05.200 --> 00:00:06.520]  「估你唔到」
[00:00:06.520 --> 00:00:08.240]  我想問問在當中
[00:00:08.240 --> 00:00:10.760]  在你過往認識上帝
[00:00:10.760 --> 00:00:13.080]  一直經歷上帝的裏面
[00:00:13.080 --> 00:00:15.600]  有沒有經歷過上帝有時真的估他不到
[00:00:15.600 --> 00:00:18.840]  因為你見到「你」字是上帝的「你」
[00:00:18.840 --> 00:00:19.840]  有沒有這樣的經歷呢?
[00:00:19.840 --> 00:00:20.560]  如果有的話
[00:00:20.560 --> 00:00:21.760]  可否舉一舉手?
[00:00:21.760 --> 00:00:23.320]  不是缺字
[00:00:23.320 --> 00:00:24.280]  有啊,是吧?
[00:00:24.280 --> 00:00:25.720]  都很多
[00:00:25.720 --> 00:00:27.920]  可以放下手了
[00:00:27.920 --> 00:00:30.760]  我相信真的有很多人
[00:00:30.760 --> 00:00:32.400]  跟聖經的作者一樣
[00:00:32.400 --> 00:00:33.760]  在經歷上帝
[00:00:33.760 --> 00:00:35.160]  有時真的估他不到
[00:00:35.160 --> 00:00:35.880]  是吧?
[00:00:35.880 --> 00:00:37.440]  聖經裏面有說
[00:00:37.440 --> 00:00:41.240]  在《耳塞夏書》五十五章第八到第九節
[00:00:41.240 --> 00:00:42.520]  那裏這樣說
[00:00:42.520 --> 00:00:43.400]  什麼呢?
[00:00:43.400 --> 00:00:45.400]  「我的道路高過你的道路」
[00:00:45.400 --> 00:00:47.080]  「我的意念高過你的意念」
[00:00:47.080 --> 00:00:48.280]  很明顯,是吧?
[00:00:48.280 --> 00:00:49.960]  即是上帝的心思
[00:00:49.960 --> 00:00:50.960]  真的高過我們
[00:00:50.960 --> 00:00:52.920]  即是估他不到
[00:00:52.920 --> 00:00:54.560]  再看看新約的聖經
[00:00:54.560 --> 00:00:57.320]  哥倫多前書第二章第九節
[00:00:57.320 --> 00:00:59.840]  「神為愛他的人所預備的」
[00:00:59.840 --> 00:01:01.920]  「是眼睛未曾看見」
[00:01:01.920 --> 00:01:02.960]  「耳朵未曾聽見」
[00:01:02.960 --> 00:01:04.520]  「人心都未曾想到」
[00:01:04.520 --> 00:01:06.240]  還不是估他不到?
[00:01:06.240 --> 00:01:07.120]  是吧?
[00:01:07.120 --> 00:01:08.040]  很明顯
[00:01:08.040 --> 00:01:10.280]  真的是估他不到的
[00:01:10.280 --> 00:01:12.320]  但是這個估不到的上帝
[00:01:12.320 --> 00:01:13.920]  除了說他的安排
[00:01:13.920 --> 00:01:15.680]  或者他做事的方法
[00:01:15.680 --> 00:01:16.840]  有時我們發現
[00:01:16.840 --> 00:01:17.800]  他的價值
[00:01:17.800 --> 00:01:18.720]  跟這個世界
[00:01:18.720 --> 00:01:20.840]  或者跟我們平時所想的
[00:01:20.840 --> 00:01:22.920]  所經歷的很不一樣
[00:01:22.920 --> 00:01:25.760]  所以有時我們發現
[00:01:25.760 --> 00:01:27.960]  他的價值真的是估他不到
[00:01:27.960 --> 00:01:29.400]  為何他會這樣想事呢?
[00:01:29.400 --> 00:01:31.160]  而這種想事的價值
[00:01:31.160 --> 00:01:34.080]  是否我們平時有的價值呢?
[00:01:34.080 --> 00:01:35.720]  我們平時所經歷的價值呢?
[00:01:35.720 --> 00:01:36.640]  還是
[00:01:36.640 --> 00:01:38.800]  看來我們也要了解一下
[00:01:38.800 --> 00:01:40.280]  上帝的價值是甚麼
[00:01:40.280 --> 00:01:42.480]  以至於我們能夠可以
[00:01:42.480 --> 00:01:44.560]  活出這種價值
[00:01:44.560 --> 00:01:45.240]  今天
[00:01:45.240 --> 00:01:46.480]  首先大家讀了
[00:01:46.480 --> 00:01:47.240]  很厲害
[00:01:47.240 --> 00:01:49.000]  一到十六節
[00:01:49.000 --> 00:01:51.040]  我們讀了這段經文
[00:01:51.040 --> 00:01:52.960]  這段經文我相信大家都聽過
[00:01:52.960 --> 00:01:55.160]  就是有一個葡萄園主
[00:01:55.160 --> 00:01:58.200]  在《馬太福音》第20章裡面
[00:01:58.200 --> 00:02:00.160]  他去請一些僱傭
[00:02:00.160 --> 00:02:01.120]  傭工
[00:02:01.120 --> 00:02:04.320]  然後就有一個片段
[00:02:04.320 --> 00:02:05.880]  就是出宮前裡面
[00:02:05.880 --> 00:02:08.280]  產生了一些張力
[00:02:08.280 --> 00:02:09.640]  當中裡面
[00:02:09.640 --> 00:02:12.160]  《馬太福音》第20章第一到第二節
[00:02:12.160 --> 00:02:14.480]  就提到有一個家主
[00:02:14.480 --> 00:02:15.360]  有一個葡萄園
[00:02:15.360 --> 00:02:16.600]  葡萄園當然
[00:02:16.600 --> 00:02:18.640]  很客觀地一個葡萄園
[00:02:18.640 --> 00:02:20.520]  也可能是在說甚麼呢?
[00:02:20.520 --> 00:02:22.360]  可能是在說以色列
[00:02:22.360 --> 00:02:24.120]  甚至葡萄園的時候
[00:02:24.120 --> 00:02:24.920]  大家都知道了
[00:02:24.920 --> 00:02:27.280]  可能是在指上帝的地方
[00:02:27.280 --> 00:02:28.800]  在大清早裡面
[00:02:28.800 --> 00:02:30.960]  原文裡面是六點
[00:02:30.960 --> 00:02:33.000]  他們就從六點開始
