
[00:00:00.000 --> 00:00:03.860]  大陸的聖誕節
[00:00:03.860 --> 00:00:08.960]  聖誕節對我們基督徒來說是一個很矛盾的時間
[00:00:08.960 --> 00:00:13.940]  聖誕節對我們基督徒來講是一個很矛盾的時間
[00:00:13.940 --> 00:00:18.140]  很多人來到12月就覺得整個月都是買東西的
[00:00:18.140 --> 00:00:20.900]  很多人覺得到了12月就是來買東西的
[00:00:20.900 --> 00:00:25.460]  首先我要澄清我不想你們買東西
[00:00:25.460 --> 00:00:28.180]  首先我澄清不是說不需要你們去買東西
[00:00:28.180 --> 00:00:30.180]  買東西沒問題的
[00:00:30.180 --> 00:00:31.020]  買東西沒問題
[00:00:31.020 --> 00:00:32.180]  有一天我兒子都跟我說
[00:00:32.180 --> 00:00:34.820]  為甚麼你們經常買東西 到聖誕節前
[00:00:34.820 --> 00:00:35.980]  我兒子經常問我
[00:00:35.980 --> 00:00:38.140]  到聖誕節你們為甚麼經常去買東西呢
[00:00:38.140 --> 00:00:41.340]  我跟他說因為聖誕節前經常減價
[00:00:41.340 --> 00:00:43.940]  我說那個因為經常減價
[00:00:43.940 --> 00:00:47.380]  一個精明的消費者當然是趁低吸納的了是不是
[00:00:47.380 --> 00:00:50.500]  一個精明的消費者當然是趁低來做
[00:00:50.500 --> 00:00:52.380]  反正那些東西都是要用的
[00:00:52.380 --> 00:00:54.060]  反正東西要用
[00:00:54.060 --> 00:00:55.100]  都是要買的
[00:00:55.100 --> 00:00:56.260]  都是要買的
[00:00:56.260 --> 00:00:58.260]  聖誕節我們內心裡都知道
[00:00:58.260 --> 00:01:03.100]  實際上不是買東西為目的的一個節日
[00:01:03.100 --> 00:01:04.900]  聖誕節我們從心裡都知道
[00:01:04.900 --> 00:01:07.140]  不是一個買東西的季節
[00:01:07.140 --> 00:01:08.420]  所以進入聖誕節
[00:01:08.420 --> 00:01:11.260]  基督徒其實有一種很強烈的矛盾心態
[00:01:11.260 --> 00:01:12.460]  所以進入聖誕節
[00:01:12.460 --> 00:01:14.700]  基督徒都有一個很矛盾的心態
[00:01:14.700 --> 00:01:18.140]  耶穌基督來到這個世界其實都很矛盾的
[00:01:18.140 --> 00:01:20.820]  耶穌基督來到這個世界也很矛盾
[00:01:20.820 --> 00:01:24.780]  聖誕我們知道耶穌降生的紀念日
[00:01:24.780 --> 00:01:26.300]  在這段期間
[00:01:26.300 --> 00:01:28.980]  我們知道聖誕是耶穌降生的這個期間
[00:01:28.980 --> 00:01:31.140]  如果你和我是耶穌的話
[00:01:31.140 --> 00:01:33.260]  如果你和我是耶穌的話
[00:01:33.260 --> 00:01:36.540]  如果你沒降生之前知道我將要去死的
[00:01:36.540 --> 00:01:39.300]  如果你沒有降生之前知道你要去死
[00:01:39.300 --> 00:01:41.980]  還是要為一幫罪人而死的話
[00:01:41.980 --> 00:01:43.340]  還是為罪人而死
[00:01:43.340 --> 00:01:44.740]  真是矛盾至極
[00:01:44.740 --> 00:01:45.940]  真是矛盾
[00:01:45.940 --> 00:01:50.660]  你願不願意為一個不斷亂去揮霍的人去還他的債
[00:01:50.660 --> 00:01:54.100]  你願不願意為一個不斷揮霍的人去還他的債呢
[00:01:54.100 --> 00:01:56.460]  很矛盾耶穌來到這個世界
[00:01:56.460 --> 00:01:58.660]  很矛盾耶穌來到這個世界
[00:01:58.660 --> 00:02:00.780]  人生就充滿矛盾
[00:02:00.780 --> 00:02:02.540]  人生就充滿了矛盾
[00:02:02.540 --> 00:02:05.460]  今天我希望更加的長命百歲
[00:02:05.460 --> 00:02:07.780]  今天我希望能夠長命百歲
[00:02:07.780 --> 00:02:10.660]  但是你要明知是不可能長命百歲
[00:02:10.660 --> 00:02:13.020]  但是明知道不可能是長命百歲
[00:02:13.020 --> 00:02:14.740]  特別我們做基督徒
[00:02:14.740 --> 00:02:18.060]  在這個時間矛盾的程度應該更加高
[00:02:18.060 --> 00:02:21.380]  在這個時間基督徒是矛盾程度更加高
[00:02:21.380 --> 00:02:25.100]  我不能代表所有基督徒 不過我只能代表我自己這樣說
[00:02:25.100 --> 00:02:28.220]  我不能代表所有基督徒 只能代表我自己來說
[00:02:28.220 --> 00:02:31.420]  我的性格是比較黑白分明的人
[00:02:31.420 --> 00:02:34.460]  我是一個比較黑白分明的人
[00:02:34.460 --> 00:02:38.620]  所以我人生有兩件事很困難去接受的
[00:02:38.620 --> 00:02:41.020]  人生裏有兩件事我很難接受
[00:02:41.020 --> 00:02:43.220]  不是 我其實都是在學習的
[00:02:43.220 --> 00:02:44.300]  其實我還是一段不斷的在學習
[00:02:44.300 --> 00:02:45.860]  第一件事就是甚麼呢
[00:02:45.860 --> 00:02:46.780]  第一件事呢
[00:02:46.780 --> 00:02:48.660]  就是叫做好心做壞事
[00:02:48.660 --> 00:02:50.380]  就是好心做壞事
[00:02:50.380 --> 00:02:53.220]  原來好心會做錯了事?
[00:02:53.220 --> 00:02:55.340]  原來好心還會做錯事嗎?
[00:02:55.340 --> 00:02:58.460]  另一件事我是很難接受的呢
[00:02:58.460 --> 00:03:00.060]  另外一件事很難接受呢
[00:03:00.060 --> 00:03:02.420]  有時惡人成為英雄
[00:03:02.420 --> 00:03:04.100]  就是惡人成為英雄
[00:03:04.100 --> 00:03:10.580]  有一次我去家裏附近一間中國人的雜燧店
[00:03:10.580 --> 00:03:14.420]  有一次我去家附近的一個中國人開了一個雜貨店
[00:03:14.420 --> 00:03:18.980]  你知道啦 我住那些小房子的
[00:03:18.980 --> 00:03:23.260]  那個地方有很多中國人開餐館
[00:03:23.260 --> 00:03:25.060]  我是住在一個小的地方
[00:03:25.060 --> 00:03:27.220]  那個中國人開了一個餐館
[00:03:27.220 --> 00:03:30.940]  那我就把握很多機會同樣傳福音
[00:03:30.940 --> 00:03:33.900]  我把握時間跟別人傳福音
[00:03:33.900 --> 00:03:36.180]  那間其實都已經進步了
[00:03:36.180 --> 00:03:40.140]  不只是賣雜燧 它有炒河粉
[00:03:40.140 --> 00:03:45.140]  那間食鋪它有賣炒河粉
[00:03:45.140 --> 00:03:48.460]  那我說炒一碟乾炒牛河要多久?
[00:03:48.460 --> 00:03:51.060]  我就問他這個乾炒牛河要多長時間?
[00:03:51.060 --> 00:03:52.460]  他說都要15分鐘
[00:03:52.460 --> 00:03:53.500]  都要15分鐘
[00:03:53.500 --> 00:03:55.620]  我其實希望它長一點
[00:03:55.620 --> 00:03:57.020]  我希望那段時間長一點
[00:03:57.020 --> 00:03:59.940]  因為可以在這裏跟他講多點東西
[00:03:59.940 --> 00:04:01.740]  可以多聊天
[00:04:01.740 --> 00:04:05.140]  那他說好啊 你炒個乾炒牛河給我
[00:04:05.140 --> 00:04:06.740]  我叫一個乾炒牛河
[00:04:06.740 --> 00:04:09.180]  我就跟他聊天
[00:04:09.180 --> 00:04:11.100]  那個老闆就這樣跟我說
[00:04:11.100 --> 00:04:12.100]  老闆這樣說
[00:04:12.100 --> 00:04:15.900]  他說這個世界黑白顛倒
[00:04:15.900 --> 00:04:16.820]  黑白顛倒
[00:04:16.820 --> 00:04:19.380]  他就引用我以前讀書很熟的那句
[00:04:19.380 --> 00:04:21.980]  他又引用我以前讀書很熟的那句
[00:04:21.980 --> 00:04:23.940]  他就說世雖道微
[00:04:23.940 --> 00:04:24.900]  世雖道微
[00:04:24.900 --> 00:04:27.700]  邪說暴行有作
[00:04:27.700 --> 00:04:29.300]  別說暴行有作
[00:04:29.300 --> 00:04:31.780]  我讀了這麼多年中國文學
[00:04:31.780 --> 00:04:33.540]  我讀了這麼多的中國文學
[00:04:33.540 --> 00:04:36.420]  沒有這句東西比第二句更深刻的了
[00:04:36.420 --> 00:04:38.340]  沒有比這一句更深刻的了
[00:04:38.340 --> 00:04:41.300]  這句話出自於《孟子騰文公篇》
[00:04:41.300 --> 00:04:43.700]  這句話出自《孟子騰文公篇》
[00:04:43.700 --> 00:04:45.620]  我飛了半個地球
[00:04:45.620 --> 00:04:46.900]  我飛了半個地球
[00:04:46.900 --> 00:04:48.780]  來到加拿大一個小鮑仔
[00:04:48.780 --> 00:04:50.060]  來到加拿大一個小地方
[00:04:50.060 --> 00:04:51.780]  稱之為叫做Aurora
[00:04:51.780 --> 00:04:52.820]  叫Aurora
[00:04:52.820 --> 00:04:54.940]  竟然有一個人引經據典
[00:04:54.940 --> 00:04:57.660]  跟我說這個世界世雖道微
