
[00:00:00.000 --> 00:00:03.320]  各位弟兄姊妹,午安!處內平安!
[00:00:03.320 --> 00:00:09.000]  很感恩今天可以在實體的崇拜當中和大家分享訊息
[00:00:09.000 --> 00:00:14.560]  亦歡迎在網上參與崇拜的弟兄姊妹
[00:00:14.560 --> 00:00:19.800]  我記得看過一個訪問
[00:00:19.800 --> 00:00:26.480]  那個訪問的被訪者是一位麵包師傅
[00:00:26.480 --> 00:00:33.440]  他在香港開了一間西式的麵包店
[00:00:33.440 --> 00:00:36.200]  他本身是一位瑞士人
[00:00:36.200 --> 00:00:42.600]  本來他在港島區開了一間麵包店
[00:00:42.600 --> 00:00:46.440]  有很多人很喜歡吃,可能當中大家都有去過
[00:00:46.440 --> 00:00:51.520]  之後他在尖沙咀這個地方也開了
[00:00:51.520 --> 00:00:55.560]  我記得他曾經說過
[00:00:55.560 --> 00:01:00.560]  他說:首先大家要知道
[00:01:00.560 --> 00:01:07.840]  做麵包我們要知道要落成份、材料、怎樣去做
[00:01:07.840 --> 00:01:09.520]  要有一套的知識
[00:01:09.520 --> 00:01:12.400]  這套知識要知道怎樣去做
[00:01:12.400 --> 00:01:14.720]  然後就要去做出來
[00:01:14.720 --> 00:01:16.800]  真的要做到出來
[00:01:16.800 --> 00:01:21.480]  然後就是味道是怎樣、口感是怎樣
[00:01:21.480 --> 00:01:28.440]  我最記得他說過這個手藝
[00:01:28.440 --> 00:01:33.440]  這個手藝,那個訪問是拍著他的一雙手
[00:01:33.440 --> 00:01:39.720]  這個手藝是他去到任何的地方
[00:01:39.720 --> 00:01:42.760]  就算任何的時候
[00:01:42.760 --> 00:01:45.400]  他都可以用這雙手
[00:01:45.400 --> 00:01:49.640]  運用他自己對做麵包的知識
[00:01:49.640 --> 00:01:52.640]  他可以做出來
[00:01:52.640 --> 00:01:54.360]  就是這個手藝
[00:01:54.360 --> 00:01:58.040]  即是在經歷任何的時代
[00:01:58.040 --> 00:02:02.640]  都仍然可以去創造出來
[00:02:02.640 --> 00:02:06.240]  在這裏我們可以說是
[00:02:06.240 --> 00:02:10.800]  保羅他在《爾忽所書》這裏
[00:02:10.800 --> 00:02:16.440]  很詳細地說出神對教會的心意
[00:02:16.440 --> 00:02:20.800]  因為《爾忽所書》可以說是一卷很出名
[00:02:20.800 --> 00:02:24.520]  是講到教會論的一卷的書卷
[00:02:24.520 --> 00:02:29.800]  就是神職、基督成就的救贖的工作
[00:02:29.800 --> 00:02:33.320]  就是令到背景不同的信徒
[00:02:33.320 --> 00:02:38.240]  成為一個得著新生命的群體
[00:02:38.240 --> 00:02:42.120]  在書卷的第一至三章是
[00:02:42.120 --> 00:02:45.400]  神去為我們的工作
[00:02:45.400 --> 00:02:50.200]  是教義和理論上的神學的基礎
[00:02:50.200 --> 00:02:53.400]  接著去到第四至六章
[00:02:53.400 --> 00:03:00.640]  就是講到我們應該怎樣去為神去工作
[00:03:00.640 --> 00:03:03.960]  就是我們應該怎樣去回應
[00:03:03.960 --> 00:03:08.320]  以及落實神對我們的教導
[00:03:08.320 --> 00:03:16.680]  有一個詞語是「貫穿著爾忽所書」
[00:03:16.680 --> 00:03:21.840]  中文大概的翻譯是「行事」或者「行事為人」
[00:03:21.840 --> 00:03:26.520]  在前兩章出現了有兩次
[00:03:26.520 --> 00:03:30.200]  就是「你們在其中行事為人」
[00:03:30.200 --> 00:03:35.840]  接著亦有「神所預備叫我們行的」
[00:03:35.840 --> 00:03:39.480]  接著去到第四章開始
[00:03:39.480 --> 00:03:45.200]  到第五章就一共用了五次
[00:03:45.200 --> 00:03:50.520]  有「行事為人」就當與蒙照的恩相稱
[00:03:50.520 --> 00:03:57.400]  你們行事不要再像外邦人全虛妄的心行事
[00:03:57.400 --> 00:04:00.240]  也要憑愛心行事
[00:04:00.240 --> 00:04:04.640]  行事為人就當像光明的子女
[00:04:04.640 --> 00:04:07.840]  你們要謹慎行事
[00:04:07.840 --> 00:04:14.560]  我們可以看到在經文裡出現了很多行事為人
