
[00:00:00.000 --> 00:00:04.800]  丙始媒《詩歌奇音典》的作者
[00:00:04.800 --> 00:00:07.600]  約翰·紐頓曾經講過
[00:00:07.600 --> 00:00:11.600]  他說有三件令他非常震撼的事情
[00:00:11.600 --> 00:00:13.200]  第一件
[00:00:13.200 --> 00:00:15.000]  去到天堂的時候
[00:00:15.000 --> 00:00:17.000]  我想著這個人一定在天堂
[00:00:17.000 --> 00:00:19.600]  竟然見不到他
[00:00:19.600 --> 00:00:22.600]  第二件令他震撼的就是
[00:00:22.600 --> 00:00:24.800]  我想都想不到那個人
[00:00:24.800 --> 00:00:26.200]  會在天堂的時候
[00:00:26.200 --> 00:00:27.600]  即是不可能在天堂
[00:00:27.600 --> 00:00:29.800]  竟然見到他
[00:00:29.800 --> 00:00:32.800]  但最令自己震撼的
[00:00:32.800 --> 00:00:33.800]  他說
[00:00:33.800 --> 00:00:37.800]  我竟然能夠在天堂裏面有份
[00:00:37.800 --> 00:00:39.800]  所以他能夠體會
[00:00:39.800 --> 00:00:41.800]  這份是神給自己
[00:00:41.800 --> 00:00:44.800]  一份奇異的恩典
[00:00:44.800 --> 00:00:46.800]  丙始媒如果
[00:00:46.800 --> 00:00:48.800]  有個新聞說
[00:00:48.800 --> 00:00:51.800]  現在很恐怖的組織
[00:00:51.800 --> 00:00:54.800]  伊斯蘭國一些的成員
[00:00:54.800 --> 00:00:56.800]  他們公開說
[00:00:56.800 --> 00:00:59.800]  要離開這個邪惡組織
[00:00:59.800 --> 00:01:01.800]  悔改認罪
[00:01:01.800 --> 00:01:04.800]  決置信耶穌
[00:01:04.800 --> 00:01:09.800]  你會有什麼想法?
[00:01:09.800 --> 00:01:10.800]  你可能會說
[00:01:10.800 --> 00:01:14.800]  這班人實死無生
[00:01:14.800 --> 00:01:15.800]  可能你會說
[00:01:15.800 --> 00:01:17.800]  沒可能的
[00:01:17.800 --> 00:01:20.800]  除非月亮是方的
[00:01:20.800 --> 00:01:22.800]  那就有可能
[00:01:22.800 --> 00:01:23.800]  又或者你會說
[00:01:23.800 --> 00:01:26.800]  上帝不可能接受這些人
[00:01:26.800 --> 00:01:28.800]  他們曾經是殘酷不仁
[00:01:28.800 --> 00:01:32.800]  人神共憤的一班人渣
[00:01:32.800 --> 00:01:34.800]  可能你會說
[00:01:34.800 --> 00:01:35.800]  上帝啊
[00:01:35.800 --> 00:01:36.800]  你終於動手了
[00:01:36.800 --> 00:01:38.800]  我站了很久
[00:01:38.800 --> 00:01:39.800]  不過太遲了
[00:01:39.800 --> 00:01:43.800]  這班人已經殺了很多無辜的人
[00:01:43.800 --> 00:01:44.800]  又或者你會說
[00:01:44.800 --> 00:01:46.800]  神啊我感謝你
[00:01:46.800 --> 00:01:48.800]  太奇妙了
[00:01:48.800 --> 00:01:51.800]  福音真是你的大能
[00:01:51.800 --> 00:01:52.800]  丙始媒
[00:01:52.800 --> 00:01:54.800]  剛才我說的那些新聞
[00:01:54.800 --> 00:01:57.800]  是一個假設性的問題
[00:01:57.800 --> 00:01:59.800]  丙始媒你願不願意
[00:01:59.800 --> 00:02:00.800]  或者你相不相信
[00:02:00.800 --> 00:02:03.800]  這些事情會有機會發生?
[00:02:03.800 --> 00:02:05.800]  你是不是真的相信
[00:02:05.800 --> 00:02:07.800]  福音真是神的大能?
[00:02:07.800 --> 00:02:09.800]  你是不是真的相信
[00:02:09.800 --> 00:02:13.800]  這班今天被視為殘酷不仁
[00:02:13.800 --> 00:02:15.800]  基督教的敵人
[00:02:15.800 --> 00:02:16.800]  他們有一天
[00:02:16.800 --> 00:02:18.800]  可能都蒙上帝的恩典
[00:02:18.800 --> 00:02:21.800]  決置信主呢?
[00:02:21.800 --> 00:02:23.800]  或許你都會像剛才所說的
[00:02:23.800 --> 00:02:24.800]  一些回應
[00:02:24.800 --> 00:02:26.800]  可能都是你的心聲
[00:02:26.800 --> 00:02:28.800]  你會覺得沒有可能
[00:02:28.800 --> 00:02:29.800]  你會懷疑上帝
[00:02:29.800 --> 00:02:31.800]  會不會真的接壞這班人
[00:02:31.800 --> 00:02:32.800]  你甚至很感恩
[00:02:32.800 --> 00:02:35.800]  福音真是神的大能
[00:02:35.800 --> 00:02:36.800]  請問
[00:02:36.800 --> 00:02:38.800]  你認識的上帝
[00:02:38.800 --> 00:02:42.800]  是一位怎樣的上帝呢?
[00:02:42.800 --> 00:02:43.800]  你所傳的福音
[00:02:43.800 --> 00:02:45.800]  有一個怎樣的福音?
[00:02:45.800 --> 00:02:49.800]  這是今天我們要思想的事情
[00:02:49.800 --> 00:02:52.800]  在約拿書一章九節
[00:02:52.800 --> 00:02:54.800]  聖經記載到約拿
[00:02:54.800 --> 00:02:57.800]  他對那班船上的人說
[00:02:57.800 --> 00:03:02.800]  神是創造滄海旱地天上的神
[00:03:02.800 --> 00:03:06.800]  這是約拿他對上帝的認識
[00:03:06.800 --> 00:03:07.800]  雖然如此
[00:03:07.800 --> 00:03:10.800]  這個認知不能幫助約拿
[00:03:10.800 --> 00:03:14.800]  去免除遺命的道路
[00:03:14.800 --> 00:03:18.800]  因為他對創天造地的上帝的認識
[00:03:18.800 --> 00:03:20.800]  仍然很有限
[00:03:20.800 --> 00:03:22.800]  正如受苦的約白
[00:03:22.800 --> 00:03:26.800]  他說以前只不過是風聞上帝而已
[00:03:26.800 --> 00:03:29.800]  他還沒有真正的認識上帝
[00:03:29.800 --> 00:03:32.800]  其實我們對上帝的認識
[00:03:32.800 --> 00:03:35.800]  豈不是一樣供不足夠嗎?
[00:03:35.800 --> 00:03:40.800]  究竟上帝是公義還是慈愛呢?
[00:03:40.800 --> 00:03:43.800]  初約記三十四章六至七節這樣記載
[00:03:43.800 --> 00:03:46.800]  要說在他面前宣告說
[00:03:46.800 --> 00:03:50.800]  是有憐憫有恩典的神
[00:03:50.800 --> 00:03:52.800]  不輕易發怒
[00:03:52.800 --> 00:03:55.800]  並有豐盛的慈愛和誠實
[00:03:55.800 --> 00:03:57.800]  為知民人存留慈愛
[00:03:57.800 --> 00:04:01.800]  赦免罪孽 過犯和罪惡
[00:04:01.800 --> 00:04:04.800]  萬不以有罪為無罪
[00:04:04.800 --> 00:04:06.800]  必追討他的罪
[00:04:06.800 --> 00:04:10.800]  至父及子直到三四代
[00:04:10.800 --> 00:04:15.800]  這個宣告是上帝在沙利山對摩西所宣告
[00:04:15.800 --> 00:04:19.800]  或者是向整個以色列民族所宣告
[00:04:19.800 --> 00:04:23.800]  神是既公義又有慈愛
[00:04:23.800 --> 00:04:27.800]  我想問 上帝的公義多些
[00:04:27.800 --> 00:04:29.800]  還是上帝的慈愛多些呢?
[00:04:29.800 --> 00:04:31.800]  似乎很矛盾
[00:04:31.800 --> 00:04:33.800]  公義又怎樣是慈愛呢?
[00:04:33.800 --> 00:04:35.800]  慈愛又怎樣是公義呢?
[00:04:35.800 --> 00:04:37.800]  真是考起了
[00:04:37.800 --> 00:04:42.800]  今天讓我們藉著約拿第三章的記載
[00:04:42.800 --> 00:04:47.800]  一起來多些了解這位創天造地的上帝
[00:04:47.800 --> 00:04:49.800]  和祂真實的愛
[00:04:49.800 --> 00:04:52.800]  真神之愛第一個特徵
[00:04:52.800 --> 00:04:54.800]  根據這段經文給我的體會
[00:04:54.800 --> 00:04:59.800]  就是不離不棄 忍耐等候
[00:04:59.800 --> 00:05:06.800]  請大家根據螢幕參考和修本的聖經
[00:05:06.800 --> 00:05:07.800]  我們一起重讀 好嗎?
[00:05:07.800 --> 00:05:10.800]  第一二節 接著第四節 預備起
[00:05:10.800 --> 00:05:14.800]  又或者說第二節臨到約拿
[00:05:14.800 --> 00:05:18.800]  說 起來到利利眉大城去
[00:05:18.800 --> 00:05:20.800]  把我告訴你的信息
[00:05:20.800 --> 00:05:23.800]  向其中的居民宣告
[00:05:23.800 --> 00:05:26.800]  宣告說 再過四十天
[00:05:26.800 --> 00:05:28.800]  利利眉要傾覆了
[00:05:28.800 --> 00:05:30.800]  這裡和和本有些不同
[00:05:30.800 --> 00:05:33.800]  和本就說二節 都不知道說什麼
[00:05:33.800 --> 00:05:35.800]  其實意思是第二節
[00:05:35.800 --> 00:05:37.800]  其實上帝第一節
[00:05:37.800 --> 00:05:41.800]  是叫約拿去宣告一個審判的信息
[00:05:41.800 --> 00:05:44.800]  上帝說 他們的惡已經去到我面前
[00:05:44.800 --> 00:05:48.800]  我忍不住了 請你去宣告審判
[00:05:48.800 --> 00:05:52.800]  但是這裡 上帝再一次呼籲約拿
[00:05:52.800 --> 00:05:55.800]  你向這個城的人說
[00:05:55.800 --> 00:05:59.800]  宣告我給你的信息
[00:05:59.800 --> 00:06:03.800]  溫柔了很多 不過仍然要宣告
[00:06:03.800 --> 00:06:05.800]  不要忘記在一章第五節
[00:06:05.800 --> 00:06:08.800]  當約拿領受第一次的呼籲的時候
[00:06:08.800 --> 00:06:11.800]  他是逃避
[00:06:11.800 --> 00:06:13.800]  在約帕那裡 馬了一艘船
[00:06:13.800 --> 00:06:16.800]  逃走 去到他支
[00:06:16.800 --> 00:06:19.800]  有那麼遠 得那麼遠
[00:06:19.800 --> 00:06:21.800]  從今天的角度來說
[00:06:21.800 --> 00:06:25.800]  約拿是一個不忠心的人
[00:06:25.800 --> 00:06:29.800]  他違抗作先知的責任
[00:06:29.800 --> 00:06:32.800]  和來自神的命令
[00:06:32.800 --> 00:06:36.800]  所以俗語說 一次不忠
[00:06:36.800 --> 00:06:40.800]  就百次不容
[00:06:40.800 --> 00:06:44.800]  我們不要想這樣
[00:06:44.800 --> 00:06:48.800]  這句話是來自一個西風的戲劇
[00:06:48.800 --> 00:06:50.800]  意思就是說 如果一個人
[00:06:50.800 --> 00:06:53.800]  只有一次不守信用
[00:06:53.800 --> 00:06:55.800]  以後的人就不會信他了
[00:06:55.800 --> 00:06:57.800]  都很慘
[00:06:57.800 --> 00:07:01.800]  就好像一個人留了案底
