
[00:00:00.000 --> 00:00:06.860]  上一次和大家思想聖靈的真理
[00:00:06.860 --> 00:00:13.020]  我們發現可以說聖經裡說到關乎聖靈的工作
[00:00:13.020 --> 00:00:19.020]  最大或者概括而言就是聖靈的感動
[00:00:19.020 --> 00:00:23.420]  所以在祝福 牧師祝福
[00:00:23.420 --> 00:00:26.220]  在崇拜最後祝福文的時候
[00:00:26.220 --> 00:00:28.900]  提到耶穌基督的恩惠
[00:00:28.900 --> 00:00:32.300]  這就是我們最大感受到主耶穌給我們的救恩
[00:00:32.300 --> 00:00:34.100]  天父給我們的慈愛
[00:00:34.100 --> 00:00:36.800]  這是最寶貴 永遠不改變
[00:00:36.800 --> 00:00:39.300]  這就是所有我們基督教的源頭
[00:00:39.300 --> 00:00:41.000]  就是神的愛
[00:00:41.000 --> 00:00:43.900]  然後就說到聖靈的什麼
[00:00:43.900 --> 00:00:46.800]  聖靈的感動
[00:00:46.800 --> 00:00:50.700]  所以我們知道聖靈最大的工作就是感動我們
[00:00:50.700 --> 00:00:54.700]  感動我們來到有很多方面
[00:00:54.700 --> 00:01:00.100]  上一次講到的時候也提過這些重要的
[00:01:00.100 --> 00:01:03.100]  聖經裡告訴我們聖靈感動我們的地方
[00:01:03.100 --> 00:01:05.100]  今天我們來看看
[00:01:05.100 --> 00:01:10.900]  在聖經裡 神藉著聖靈最大幫助我們就是
[00:01:10.900 --> 00:01:12.500]  聖靈給我們的感動
[00:01:12.500 --> 00:01:14.500]  但是我們要做什麼呢
[00:01:14.500 --> 00:01:16.300]  我們怎樣去配合呢
[00:01:16.300 --> 00:01:19.700]  所以在聖經裡告訴我們很重要的
[00:01:19.700 --> 00:01:25.300]  在我們信徒或者屬神的兒女 有聖靈的人
[00:01:25.300 --> 00:01:29.100]  去配合聖靈的感動就是要什麼
[00:01:29.100 --> 00:01:32.900]  要
[00:01:32.900 --> 00:01:37.300]  這麼大一個字也看不到 要什麼
[00:01:37.300 --> 00:01:43.200]  好 現在好像終於醒了
[00:01:43.200 --> 00:01:47.300]  所以神要我們配合的就是要被聖靈充滿
[00:01:47.300 --> 00:01:51.700]  你留意聖經裡這個字眼
[00:01:51.700 --> 00:01:57.100]  究竟是被動還是主動
[00:01:57.100 --> 00:02:00.700]  誰是被動
[00:02:00.700 --> 00:02:06.200]  不是 誰你贊成是被動的舉手
[00:02:06.200 --> 00:02:09.900]  誰贊成是主動
[00:02:09.900 --> 00:02:15.700]  究竟是主動還是被動
[00:02:15.700 --> 00:02:18.100]  被聖靈充滿是什麼
[00:02:18.100 --> 00:02:19.100]  是被動
[00:02:19.100 --> 00:02:22.100]  因為我們需要給聖靈充滿我們
[00:02:22.100 --> 00:02:26.100]  我們不可以自己去拿到
