
[00:00:00.000 --> 00:00:01.720]  弟兄姊妹大家好嗎?
[00:00:01.720 --> 00:00:02.760]  (大家好)
[00:00:02.760 --> 00:00:09.080]  今天我們要講舊約創世紀約瑟的故事
[00:00:09.080 --> 00:00:12.360]  在講這個故事前跟大家講一件新聞
[00:00:12.360 --> 00:00:17.200]  在座當中如果有一些在香港來的弟兄姊妹
[00:00:17.200 --> 00:00:21.400]  有一定的人生歷練都會聽過這件新聞
[00:00:21.400 --> 00:00:24.200]  就是一個甚麼新聞呢?
[00:00:24.200 --> 00:00:28.520]  就是在1985年
[00:00:28.520 --> 00:00:31.160]  有些弟兄姊妹說我還未出世
[00:00:31.160 --> 00:00:34.760]  1985年在香港有一個很轟動的新聞
[00:00:34.760 --> 00:00:39.160]  就是有一對英國籍的年輕子女
[00:00:39.160 --> 00:00:42.280]  大概十六、七、八歲的一對小情侶
[00:00:42.280 --> 00:00:44.200]  叫Kenneth和Nicola
[00:00:44.200 --> 00:00:47.880]  他們在寶馬山被殺害
[00:00:47.880 --> 00:00:49.600]  當他們被發現的時候
[00:00:49.600 --> 00:00:51.880]  屍體被發現的時候
[00:00:51.880 --> 00:00:57.000]  男的Kenneth發現他兩隻雙手被反綁
[00:00:57.000 --> 00:01:01.240]  全身上上下下有百多處的傷痕
[00:01:01.240 --> 00:01:03.400]  而女的死者Nicola
[00:01:03.400 --> 00:01:05.160]  當她被發現屍體的時候
[00:01:05.160 --> 00:01:07.240]  全身差不多是赤裸的
[00:01:07.240 --> 00:01:10.880]  而她左眼的眼球是掉了出來的
[00:01:10.880 --> 00:01:12.600]  下顎被打碎
[00:01:12.600 --> 00:01:17.160]  全身數過大概有五百多個的傷處
[00:01:17.160 --> 00:01:18.960]  還有報紙這樣形容
[00:01:18.960 --> 00:01:21.880]  說她發現屍體的時候表情是痛苦的
[00:01:21.880 --> 00:01:25.640]  還有驗了之後估計她是先遭強姦
[00:01:25.640 --> 00:01:27.840]  再被虐打凌辱
[00:01:27.840 --> 00:01:30.920]  掙扎幾個小時之後才死的
[00:01:30.920 --> 00:01:34.160]  是一個很殘忍的事情
[00:01:34.160 --> 00:01:37.000]  後來警方就拘捕了五個人
[00:01:37.000 --> 00:01:40.080]  有三個人就判終身監禁
[00:01:40.080 --> 00:01:41.080]  其實應該是死刑的
[00:01:41.080 --> 00:01:44.080]  但是沒有死刑就是終身監禁
[00:01:44.080 --> 00:01:46.080]  但其中有兩個
[00:01:46.080 --> 00:01:48.480]  當時他犯案的時候
[00:01:48.480 --> 00:01:50.960]  未成年未夠十八歲未成年
[00:01:50.960 --> 00:01:52.880]  就不可以這樣判他們的
[00:01:52.880 --> 00:01:55.800]  當時就要等候
[00:01:55.800 --> 00:01:58.600]  因為以前是英國殖民地
[00:01:58.600 --> 00:02:02.920]  香港就需要等候英女皇的發落
[00:02:02.920 --> 00:02:04.640]  一路等一路等
[00:02:04.640 --> 00:02:07.040]  等到九七回歸之後
[00:02:07.040 --> 00:02:08.320]  就不是英女皇了
[00:02:08.320 --> 00:02:11.360]  就等候香港的特首發落
[00:02:11.360 --> 00:02:13.360]  在一九九八年回歸之後一年
[00:02:13.360 --> 00:02:14.760]  終於就確定了
[00:02:14.760 --> 00:02:19.560]  這兩個當時未成年的人的刑期
[00:02:19.560 --> 00:02:22.000]  一個就判監三十五年
[00:02:22.000 --> 00:02:25.200]  另外一個就判監二十八年
[00:02:25.200 --> 00:02:26.400]  計算一下
[00:02:26.400 --> 00:02:29.640]  由拘捕他們到最後判監的時候
