
[00:00:00.000 --> 00:00:08.000]  我相信大家都看過一套很經典的電影系列
[00:00:08.000 --> 00:00:10.000]  英文是《Law of the Rings》
[00:00:10.000 --> 00:00:13.000]  中文翻譯是《魔戒》
[00:00:13.000 --> 00:00:16.000]  這套電影系列有三集
[00:00:16.000 --> 00:00:20.000]  不知道大家是否記得最後一集的戲名是甚麼呢
[00:00:20.000 --> 00:00:25.000]  那套戲名是《王者在臨》
[00:00:25.000 --> 00:00:27.000]  《Return of the King》
[00:00:27.000 --> 00:00:33.000]  這套電影系列的故事大概是講述一個王國被毀滅
[00:00:33.000 --> 00:00:38.000]  王位的繼承者從此浪跡天涯
[00:00:38.000 --> 00:00:47.000]  最後他要面對很多罪惡邪惡勢力所發動的戰爭
[00:00:47.000 --> 00:00:51.000]  要去對付王位繼承者
[00:00:51.000 --> 00:00:57.000]  一路排除萬難進入自己的王國
[00:00:57.000 --> 00:00:59.000]  重整這個國家
[00:00:59.000 --> 00:01:03.000]  帶來這個國家的和平和昌盛
[00:01:03.000 --> 00:01:09.000]  這套電影充滿了基督教的味道
[00:01:09.000 --> 00:01:13.000]  也充滿了很多舊恩的影子
[00:01:13.000 --> 00:01:15.000]  今天我們所讀的經文中
[00:01:15.000 --> 00:01:18.000]  神童撒加利亞說
[00:01:18.000 --> 00:01:23.000]  「我為錫安心裡極其火熱」
[00:01:23.000 --> 00:01:26.000]  「我現在就回到錫安」
[00:01:26.000 --> 00:01:30.000]  「要住在耶路撒冷這個城的裡面」
[00:01:30.000 --> 00:01:35.000]  今天的講道題目是「聖城必要復興」
[00:01:35.000 --> 00:01:37.000]  大家要明白
[00:01:37.000 --> 00:01:43.000]  復興的原因不是因為這班回歸的百姓
[00:01:43.000 --> 00:01:46.000]  他們有很穩定的政治條件
[00:01:46.000 --> 00:01:49.000]  又或者他們有很充足的資源
[00:01:49.000 --> 00:01:52.000]  他們的財政相當理想
[00:01:52.000 --> 00:01:56.000]  這些都不是成復興的原因
[00:01:56.000 --> 00:02:00.000]  復興的原因是因為這段經文的開始
[00:02:00.000 --> 00:02:03.000]  講到王會回來
[00:02:03.000 --> 00:02:07.000]  「王者再臨」的應許
[00:02:07.000 --> 00:02:13.000]  不是撒加利亞和當時百姓說的
