
[00:00:00.000 --> 00:00:05.800]  我唔知大家有冇畀人畫過你嘅樣呀?
[00:00:05.800 --> 00:00:09.800]  有冇有啲畫過自己嘅樣呀?
[00:00:09.800 --> 00:00:12.600]  有冇呀?唔知畫得似唔似呢?
[00:00:12.600 --> 00:00:18.400]  我唔知大家有冇睇過呢一幅畫?
[00:00:18.400 --> 00:00:21.800]  有冇呀?知唔知邊個畫㗎?
[00:00:21.800 --> 00:00:27.800]  有人一估就估到呀
[00:00:27.800 --> 00:00:31.400]  呢一個係畢加索所畫嘅畫
[00:00:31.400 --> 00:00:38.200]  畢加索係上一世紀一個好出名嘅畫家
[00:00:38.200 --> 00:00:47.200]  呢個畫家好少畫家喺再生嘅時候就成名
[00:00:47.200 --> 00:00:52.000]  好多人嘅畫係死咗之後先值錢
[00:00:52.000 --> 00:00:53.600]  但畢加索好唔同
[00:00:53.600 --> 00:00:59.400]  喺再生之前佢嘅畫就已經佢嘅名已經好出名
[00:00:59.400 --> 00:01:04.400]  佢嘅畫喺1967年有一幅畫賣50萬美金
[00:01:04.400 --> 00:01:08.800]  即係67年嘅時候50萬美金天文數字
[00:01:08.800 --> 00:01:11.200]  當然而家畢加索嘅畫
[00:01:11.200 --> 00:01:13.600]  我諗幅幅都過億
[00:01:13.600 --> 00:01:16.400]  真係都好緊要
[00:01:16.400 --> 00:01:20.600]  有一次畢加索睇一位出名嘅女畫家
[00:01:20.600 --> 00:01:23.200]  女作家畫佢嘅畫像
[00:01:23.200 --> 00:01:25.400]  有一個朋友咁講
[00:01:25.400 --> 00:01:29.000]  你畫好靚但一點唔似佢
[00:01:29.000 --> 00:01:32.400]  畢加索好幽默
[00:01:32.400 --> 00:01:33.600]  佢話冇關係
[00:01:33.600 --> 00:01:37.000]  佢慢慢就會似呢幅畫㗎啦
[00:01:37.000 --> 00:01:48.200]  我諗起我太太叫我影相嘅時候
[00:01:48.200 --> 00:01:51.800]  特定提我你唔好影我太得太肥呀咁樣
[00:01:51.800 --> 00:01:53.400]  即係我嘅技術唔好呀
[00:01:53.400 --> 00:01:55.600]  佢咁瘦影佢肥呀
[00:01:55.600 --> 00:01:59.800]  不過現代啲技術都有科技補充
[00:01:59.800 --> 00:02:04.000]  你影相教一個人像嘅形式
[00:02:04.000 --> 00:02:07.000]  將你變咗瓜子面
[00:02:07.000 --> 00:02:11.600]  好多人其實睇唔懂畢加索嘅畫
[00:02:11.600 --> 00:02:14.600]  有啲人批評畢加索畫好似細蚊仔
[00:02:14.600 --> 00:02:17.200]  即係猶圖畫咁樣
[00:02:17.200 --> 00:02:19.800]  畢加索佢點回應呢
[00:02:19.800 --> 00:02:22.000]  佢話15歲嘅時間
[00:02:22.000 --> 00:02:23.600]  我所畫嘅畫
[00:02:23.600 --> 00:02:25.200]  即係好似大家右邊咁樣
[00:02:25.200 --> 00:02:26.600]  畫得似唔似呀
[00:02:26.600 --> 00:02:28.200]  好似呀
[00:02:28.200 --> 00:02:30.800]  好似嗰個人
[00:02:30.800 --> 00:02:34.400]  但係佢話15歲嘅時候
[00:02:34.400 --> 00:02:36.600]  即係我嘅畫
[00:02:36.600 --> 00:02:40.400]  可以媲美一啲好出名嘅畫家
[00:02:40.400 --> 00:02:45.400]  不過佢話佢一輩子一生
[00:02:45.400 --> 00:02:51.200]  佢先能夠畫到好似細蚊仔畫公仔咁樣
[00:02:51.200 --> 00:02:53.400]  係高超
[00:02:53.400 --> 00:02:56.800]  我哋以為畫得似
[00:02:56.800 --> 00:02:57.600]  就咩呀
