
[00:00:00.000 --> 00:00:02.000]  貞子妹,早晨!
[00:00:02.000 --> 00:00:06.000]  很感謝牧師的介紹
[00:00:06.000 --> 00:00:12.000]  我都很感激教會邀請我來跟大家一齊敬拜
[00:00:12.000 --> 00:00:18.000]  年輕的時候,我曾經在多倫多讀書、工作
[00:00:18.000 --> 00:00:20.000]  以及在這裏信主
[00:00:20.000 --> 00:00:24.000]  所以之前回到香港其實都幾十年了
[00:00:24.000 --> 00:00:28.000]  想不到上帝在此時此刻,在今年的時候
[00:00:28.000 --> 00:00:30.000]  就帶領我回來這個城市
[00:00:30.000 --> 00:00:33.000]  所以對我來說不是去多倫多
[00:00:33.000 --> 00:00:35.000]  而是回來多倫多的
[00:00:35.000 --> 00:00:41.000]  兩個月之前,我剛剛上任加拿大華人順學院多倫多的院長
[00:00:41.000 --> 00:00:44.000]  其實回來都是正在適應的
[00:00:44.000 --> 00:00:48.000]  不過我覺得教會有一個特點
[00:00:48.000 --> 00:00:54.000]  就是很簡單,就是因為我們信同一位的主
[00:00:54.000 --> 00:00:57.000]  只要你是基督徒,我們就是弟兄姊妹了
[00:00:57.000 --> 00:00:59.000]  我們都是一家人
[00:00:59.000 --> 00:01:04.000]  所以回來這個城市,我都覺得很有親切感
[00:01:04.000 --> 00:01:08.000]  今日教會給我一段經文
[00:01:08.000 --> 00:01:12.000]  記載在《出海及記》二十五章一至八節
[00:01:12.000 --> 00:01:18.000]  這裏正正講出我們這位上帝是一位很特別的創造主
[00:01:18.000 --> 00:01:21.000]  他不是一位抽離的神
[00:01:21.000 --> 00:01:25.000]  而是他要住在他的百姓當中
[00:01:25.000 --> 00:01:30.000]  亦都因為他,我們就被連結、焦聚在一起
[00:01:30.000 --> 00:01:36.000]  在舊約的時代,當時以色列人跟著摩西出埃及去到曠野
[00:01:36.000 --> 00:01:43.000]  去到《出海及記》第二十五章至三十一章這個大段落
[00:01:43.000 --> 00:01:48.000]  這個段落一直都被認為無論在組織還是內容上面
[00:01:48.000 --> 00:01:50.000]  都是完整的一個段落
[00:01:50.000 --> 00:01:55.000]  它裏面是記載著耶和華上主向以色列民指示
[00:01:55.000 --> 00:01:57.000]  他們要怎樣去敬拜他
[00:01:57.000 --> 00:02:01.000]  你記得在舊約世界裏面周圍很多的外邦人
[00:02:01.000 --> 00:02:05.000]  他們用他們自己的方法去敬拜他們的神明
[00:02:05.000 --> 00:02:10.000]  包括獻他們的兒女,給那些神明
[00:02:10.000 --> 00:02:16.000]  耶和華上帝要他的百姓是分別出來的,是不同的
[00:02:16.000 --> 00:02:21.000]  所以在這一段的段落裏面,記載著神很細心
[00:02:21.000 --> 00:02:26.000]  要他們怎樣在過程當中來興建一個
[00:02:26.000 --> 00:02:33.000]  他能夠臨在,住在他們中間的一個回眸
[00:02:33.000 --> 00:02:37.000]  大家剛才讀過的經文二十五章一至八節
[00:02:37.000 --> 00:02:41.000]  其實就是這個大段落的開始
[00:02:41.000 --> 00:02:45.000]  二十五章之前都有上文
[00:02:45.000 --> 00:02:51.000]  四章裏面其實講述摩西剛剛從西賴山去面見耶和華之後
[00:02:51.000 --> 00:02:58.000]  回來,然後那個段落之後就是開始了這個很長的篇幅
[00:02:58.000 --> 00:03:02.000]  形容要怎樣興建這個回眸的經文
[00:03:02.000 --> 00:03:06.000]  中間這裏就好像連接點那樣
[00:03:06.000 --> 00:03:09.000]  讓讀的人都會知道回眸的細節
[00:03:09.000 --> 00:03:14.000]  其實都是上主他親自去指示的
[00:03:14.000 --> 00:03:19.000]  二十五章一至八節這個段落
[00:03:19.000 --> 00:03:24.000]  在裏面摩西就叫百姓送禮物來
[00:03:24.000 --> 00:03:27.000]  目的就在第八節那裏講了
[00:03:27.000 --> 00:03:31.000]  目的就是要為上主去做聖所
[00:03:31.000 --> 00:03:34.000]  讓上帝可以住在他們中間
[00:03:34.000 --> 00:03:40.000]  二十五章二節這裏講的是獻禮物給神
[00:03:40.000 --> 00:03:44.000]  英文聖經NIV就譯為offering
[00:03:44.000 --> 00:03:47.000]  原文是奉獻的意思
[00:03:47.000 --> 00:03:50.000]  也就是一種敬拜上帝的行動
[00:03:50.000 --> 00:03:54.000]  和感恩喜樂的一種表達
[00:03:54.000 --> 00:03:57.000]  所以是甘心樂意的
[00:03:57.000 --> 00:04:00.000]  就好像我們今天來崇拜的時候
