
[00:00:00.000 --> 00:00:03.940]  多謝師父讓我們預備聽到與先同心的禱告
[00:00:03.940 --> 00:00:06.580]  讓我們預備聽到與先同心的禱告
[00:00:06.580 --> 00:00:14.320]  多謝師父讓我們能夠再次回到您的說話上
[00:00:14.320 --> 00:00:16.320]  同心的學習 同心的研讀
[00:00:16.320 --> 00:00:18.680]  我們能夠聚在一起
[00:00:18.680 --> 00:00:21.460]  這已經是您莫大的恩典
[00:00:21.460 --> 00:00:24.000]  讓我們珍惜這段時間
[00:00:24.000 --> 00:00:27.120]  縱然教會不是一個完美的地方
[00:00:27.120 --> 00:00:32.660]  但是卻是一個追求更貼近完美的主的群體
[00:00:32.660 --> 00:00:34.660]  求祢與我們同在
[00:00:34.660 --> 00:00:37.920]  讓這個觀念厚厚實實地
[00:00:37.920 --> 00:00:39.920]  再重在我們每一個人的生命當中
[00:00:39.920 --> 00:00:41.920]  求主祢與我們同在
[00:00:41.920 --> 00:00:45.740]  親愛的恩主感謝祢給我們能夠再次打開您的說話
[00:00:45.740 --> 00:00:48.860]  能夠一同來到領受當中的教訓
[00:00:48.860 --> 00:00:51.860]  很求主祢幫助我們
[00:00:51.860 --> 00:00:56.260]  讓我們明白到縱然教會並不是一個完美的地方
[00:00:56.260 --> 00:01:06.020]  但是教會卻是一群能夠一同追求那位創造完美的主的地方
[00:01:06.020 --> 00:01:09.640]  讓我們一同在一個不完美的世界裏面
[00:01:09.640 --> 00:01:13.820]  我們渴望來到跟隨一位完美的主
[00:01:13.820 --> 00:01:15.820]  我們打高封主耶穌的名稱
[00:01:15.820 --> 00:01:17.820]  Amen
[00:01:17.820 --> 00:01:22.100]  早幾年我曾經回過香港去探親
[00:01:22.100 --> 00:01:33.380]  曾經和一班弟兄姊妹一起到廣東省北部河源市的地區去傳福音
[00:01:33.380 --> 00:01:35.380]  當時見證主
[00:01:35.380 --> 00:01:38.220]  到廣東的北部河源市去傳福音
[00:01:38.220 --> 00:01:46.100]  當時要坐巴士由深圳羅湖的巴士站
[00:01:46.100 --> 00:01:49.660]  要通過深圳羅湖巴士站
[00:01:49.660 --> 00:01:53.820]  要坐車去河源市大約五個小時
[00:01:53.820 --> 00:01:56.380]  大概到河源市要五個小時
[00:01:56.380 --> 00:01:59.380]  讓我有很大的開眼界
[00:01:59.380 --> 00:02:01.380]  讓我很開眼界
[00:02:01.380 --> 00:02:06.180]  發覺原來中國大陸的交通網絡發展是這麼發達的
[00:02:06.180 --> 00:02:09.420]  因為中國大陸的交通非常發達
[00:02:09.420 --> 00:02:12.300]  整條柏油路都很平
[00:02:12.300 --> 00:02:15.540]  整個柏油路非常平坦
[00:02:15.540 --> 00:02:19.140]  比多倫多的街道更加漂亮
[00:02:19.140 --> 00:02:21.340]  比多倫多的街道更加漂亮
[00:02:21.340 --> 00:02:23.340]  收費也更加方便
[00:02:23.340 --> 00:02:24.340]  收費更加方便
[00:02:24.340 --> 00:02:25.860]  走過去就收到錢了
[00:02:25.860 --> 00:02:27.860]  走過去就收到錢了
[00:02:27.860 --> 00:02:29.860]  連攝影機都不用
[00:02:29.860 --> 00:02:31.860]  連攝影機都不需要
[00:02:31.860 --> 00:02:33.860]  有很多攝影機跟蹤著你拍攝
[00:02:33.860 --> 00:02:36.860]  有很多攝影機都已經跟隨你拍攝了
[00:02:36.860 --> 00:02:39.860]  因為路途這麼平坦
[00:02:39.860 --> 00:02:43.860]  所以和同隊的弟兄姊妹好好談
[00:02:43.860 --> 00:02:49.860]  因為路途這麼平坦所以和同隊的弟兄姊妹好好談
[00:02:49.860 --> 00:02:55.860]  其中聽見有些弟兄姊妹在中國國內的工廠裏做高科技產品
[00:02:55.860 --> 00:02:59.860]  其中聽見有些弟兄姊妹在中國國內的工廠裏做高科技產品
[00:02:59.860 --> 00:03:05.860]  當時在中國大陸裏流行了一種電腦產品
[00:03:05.860 --> 00:03:09.860]  當時在中國大陸流行一種電腦產品
[00:03:09.860 --> 00:03:13.860]  叫做Netbook小型微型電腦
[00:03:13.860 --> 00:03:15.860]  叫做微型電腦
