
[00:00:00.000 --> 00:00:02.800]  感謝神今天可以和大家一起敬拜
[00:00:02.800 --> 00:00:06.000]  我們敬拜之先我們去做一個禱告
[00:00:06.000 --> 00:00:08.500]  請求上帝我們能夠在祢面前
[00:00:08.500 --> 00:00:11.200]  一同去用詩歌讚美祢
[00:00:11.200 --> 00:00:14.400]  我們願意祢自己的話語進入我們的心
[00:00:14.400 --> 00:00:16.800]  成為我們的亮光 成為我們的力量
[00:00:16.800 --> 00:00:18.600]  讓我們靠著祢的話語
[00:00:18.600 --> 00:00:20.600]  能夠行出祢自己的真理
[00:00:20.600 --> 00:00:22.400]  我們將有一天時間
[00:00:22.400 --> 00:00:24.100]  我們求主祢與我們同在
[00:00:24.100 --> 00:00:26.100]  禱告奉主名求 阿們
[00:00:27.200 --> 00:00:34.000]  感謝主我們今天能夠繼續在雅各書裏學習祂的真理
[00:00:34.000 --> 00:00:35.600]  領受神的話
[00:00:35.600 --> 00:00:38.600]  無論在過去的靈修或讀經
[00:00:38.600 --> 00:00:42.600]  我相信你都對雅各書有一定的印象
[00:00:42.600 --> 00:00:46.100]  雅各書裏有很多寶貴的信息
[00:00:46.100 --> 00:00:47.200]  很有智慧的
[00:00:47.200 --> 00:00:48.700]  譬如祂說
[00:00:48.700 --> 00:00:51.500]  你祈求的時候不要懷疑
[00:00:51.500 --> 00:00:57.000]  因為這樣的人不要想在主裏得到什麼
[00:00:57.000 --> 00:00:58.600]  即使你有信心
[00:00:58.600 --> 00:00:59.900]  你說我有信心祈求
[00:00:59.900 --> 00:01:01.400]  但如果你沒有行為
[00:01:01.400 --> 00:01:04.200]  祂又說你的信心是死的
[00:01:04.200 --> 00:01:07.100]  甚至祂說要各人要快快的聽
[00:01:07.100 --> 00:01:09.600]  慢慢的說 慢慢的動腦
[00:01:09.600 --> 00:01:11.600]  這個絕對不容易做
[00:01:11.600 --> 00:01:15.100]  今天你親近神 神就親近你
[00:01:15.100 --> 00:01:18.100]  裏面有很多的智慧 很多的真理
[00:01:18.100 --> 00:01:21.400]  很實用讓我們去學習
[00:01:21.400 --> 00:01:25.100]  但你有沒有想過這些這麼多的智慧 這麼多的教導
[00:01:25.100 --> 00:01:28.300]  其實雅各是寫給什麼人的呢?
[00:01:28.300 --> 00:01:30.200]  你會說 當然是寫給我們
[00:01:30.200 --> 00:01:31.700]  我們是直接用的
[00:01:31.700 --> 00:01:34.500]  但其實如果你看雅各書一章一節
[00:01:34.500 --> 00:01:36.700]  很明顯地說
[00:01:36.700 --> 00:01:42.900]  其實是寫給散居在各地的十二支派的猶太人
[00:01:42.900 --> 00:01:45.400]  當然這只不過是一個種族的問題
[00:01:45.400 --> 00:01:49.200]  如果你仔細去看整本雅各書
[00:01:49.200 --> 00:01:50.800]  或者你去留意
[00:01:50.800 --> 00:01:54.800]  你會發覺雅各常常提到有兩種人
[00:01:54.800 --> 00:01:57.300]  第一種人就是卑微的人
[00:01:57.300 --> 00:01:59.800]  第二種人就是富裕的人
[00:01:59.800 --> 00:02:00.800]  貧富
[00:02:00.800 --> 00:02:05.800]  是雅各一個很重要的背景題材
[00:02:05.800 --> 00:02:09.700]  說到卑微和富裕
[00:02:09.700 --> 00:02:11.200]  我就想問你
[00:02:11.200 --> 00:02:16.000]  你覺得雅各書裏面更多信息是給卑微的人
[00:02:16.000 --> 00:02:18.400]  還是給富裕的人呢?
[00:02:18.400 --> 00:02:19.900]  如果你真的看過
[00:02:19.900 --> 00:02:22.200]  你會發覺其實雅各更多的提醒
[00:02:22.200 --> 00:02:26.400]  更多的教導是給富裕的人
[00:02:26.400 --> 00:02:28.200]  富裕的人有些特徵
[00:02:28.200 --> 00:02:30.100]  富裕的人首先會說到
[00:02:30.100 --> 00:02:35.400]  他們很容易忘記榮華會轉眼消失
[00:02:35.400 --> 00:02:37.900]  榮華富貴很快就沒有
[00:02:37.900 --> 00:02:39.200]  第一章已經說
[00:02:39.200 --> 00:02:43.400]  因為他如同草上的花必要過去
[00:02:43.400 --> 00:02:44.700]  花必凋謝
[00:02:44.700 --> 00:02:47.300]  他的美容就消失了
[00:02:47.300 --> 00:02:54.100]  同樣富裕的人也必在他奔波經營中這樣衰落
[00:02:54.100 --> 00:02:56.300]  當你一路奔波經營的時候
[00:02:56.300 --> 00:02:58.500]  其實他很快就可能會消失
[00:02:58.500 --> 00:03:01.600]  富裕的人會往往忘記這件事情
[00:03:01.600 --> 00:03:03.200]  不過這個疫情
[00:03:03.200 --> 00:03:05.300]  或者疫情的過去之後
[00:03:05.300 --> 00:03:06.500]  或者現在
[00:03:06.500 --> 00:03:09.100]  有富裕人當你看回他的投資帳戶
[00:03:09.100 --> 00:03:10.500]  他的401K
[00:03:10.500 --> 00:03:12.200]  他的退休等等
[00:03:12.200 --> 00:03:14.200]  他都會明白這個真理
[00:03:14.200 --> 00:03:18.500]  富貴榮華是會轉眼消失
