
[00:00:00.000 --> 00:00:04.680]  非常開心可以跟大家分享一個很特別的課題
[00:00:04.680 --> 00:00:06.000]  這個課題是什麼呢?
[00:00:06.000 --> 00:00:12.060]  就是會講中國傳統的教導和聖經的教導
[00:00:12.060 --> 00:00:17.500]  有沒有一些相同或者不同的地方呢?
[00:00:17.500 --> 00:00:21.060]  其實我們跟別人傳福音的時候
[00:00:21.060 --> 00:00:24.080]  最重要是找到一些接觸點
[00:00:24.080 --> 00:00:26.880]  很簡單舉個例子
[00:00:26.880 --> 00:00:31.020]  現在有一個牧師也做了議員
[00:00:31.020 --> 00:00:35.340]  基督教是要中國化和本色化
[00:00:35.340 --> 00:00:39.100]  你留意到本色化和中國化是兩回事
[00:00:39.100 --> 00:00:42.040]  完全認同我們是要本色化
[00:00:42.040 --> 00:00:44.680]  就是吸納到當地的文化
[00:00:44.680 --> 00:00:46.880]  然後融入信仰裡面
[00:00:46.880 --> 00:00:48.400]  這是很重要的
[00:00:48.400 --> 00:00:51.120]  你留意到中國人經常都說拜佛
[00:00:51.120 --> 00:00:52.340]  信佛教
[00:00:52.340 --> 00:00:54.320]  但佛教其實不是中國的東西
[00:00:54.320 --> 00:00:56.120]  道教才是中國的東西
[00:00:56.120 --> 00:00:57.620]  佛教是什麼呢?
[00:00:57.620 --> 00:00:59.980]  就是印度傳過來的
[00:00:59.980 --> 00:01:03.020]  它剛剛傳過來的時候
[00:01:03.020 --> 00:01:06.020]  如果你看歷史是中國人拒絕的
[00:01:06.020 --> 00:01:09.460]  但是後來它就吸納到中國的文化
[00:01:09.460 --> 00:01:11.240]  很簡單 西遊記
[00:01:11.240 --> 00:01:13.560]  孫悟空是偷偷教教的
[00:01:13.560 --> 00:01:18.080]  搞不定的時候就是如來佛祖去控制他
[00:01:18.080 --> 00:01:19.080]  如來佛祖是什麼?
[00:01:19.080 --> 00:01:20.960]  是印度人來的 是不是?
[00:01:20.960 --> 00:01:23.080]  它就吸納了中國的文化
[00:01:23.080 --> 00:01:27.080]  其實中國人對基督教有時候以為是洋教
[00:01:27.080 --> 00:01:28.080]  這個是錯的
[00:01:28.080 --> 00:01:31.080]  我們應該要找一些相同的地方
[00:01:31.080 --> 00:01:33.520]  然後去跟他們分享
[00:01:33.520 --> 00:01:34.520]  這樣就容易很多了
[00:01:34.520 --> 00:01:36.160]  譬如很簡單舉個例子
[00:01:36.160 --> 00:01:40.320]  一些中國的傳統和聖經的教導相同的是什麼呢?
[00:01:40.320 --> 00:01:44.320]  少壯不努力 老大徒傷悲
[00:01:44.320 --> 00:01:46.420]  這個是我家常常教我的
[00:01:46.420 --> 00:01:48.080]  小孩子我讀書的時候
[00:01:48.080 --> 00:01:49.580]  你用心讀書啊
[00:01:49.580 --> 00:01:51.180]  如果你不用心讀書的時候
[00:01:51.180 --> 00:01:53.180]  將來你做乞丐了
[00:01:53.180 --> 00:01:55.420]  好了 你留意到的時候
[00:01:55.420 --> 00:01:57.920]  他就說到你要用心讀書
[00:01:57.920 --> 00:01:58.720]  好好努力
[00:01:58.720 --> 00:02:00.520]  其實這個是對的
[00:02:00.520 --> 00:02:02.720]  我們要怎麼樣呢?
[00:02:02.720 --> 00:02:06.220]  看看聖經它怎麼教導我們
[00:02:06.220 --> 00:02:09.720]  原來它叫我們要把握著我們的時間
[00:02:09.720 --> 00:02:11.520]  特別是青少年的時候
[00:02:11.520 --> 00:02:15.020]  更加要好好的 勤力一點去面對 去學習
[00:02:15.020 --> 00:02:18.520]  《執言》第六章第九到第十一節
[00:02:18.520 --> 00:02:21.520]  他說懶惰人啊 你要睡到什麼時候呢?
[00:02:21.520 --> 00:02:24.520]  你什麼時候來睡醒呢?
[00:02:24.520 --> 00:02:26.520]  你再睡遍時的時候
[00:02:26.520 --> 00:02:29.520]  打盪遍時 抱著手躺臥遍時
[00:02:29.520 --> 00:02:33.520]  你的貧窮就必如強盜出來
[00:02:33.520 --> 00:02:37.520]  你的缺乏彷彿就是拿著兵器的人來到
[00:02:37.520 --> 00:02:39.520]  這是什麼意思呢?
[00:02:39.520 --> 00:02:42.520]  就是有時候我們小時候懶惰
[00:02:42.520 --> 00:02:44.520]  不去好好的讀書
[00:02:44.520 --> 00:02:48.520]  將來你就真的賺錢就辛苦很多了
[00:02:48.520 --> 00:02:51.520]  當然這個不是百分之一百的
[00:02:51.520 --> 00:02:54.520]  因為可能有些人
[00:02:54.520 --> 00:02:58.520]  他們小時候在家裡不是很有錢
[00:02:58.520 --> 00:03:02.520]  沒辦法好好的去管教他們
[00:03:02.520 --> 00:03:03.520]  為什麼呢?
[00:03:03.520 --> 00:03:06.520]  我剛剛才在永善聯誼講了
[00:03:06.520 --> 00:03:07.520]  就是考DSE
