
[00:00:00.000 --> 00:00:03.000]  讓我們今日一齊來到敬拜神的時候
[00:00:03.000 --> 00:00:06.000]  都來一齊去祈禱
[00:00:06.000 --> 00:00:09.000]  我們將以下的時間交託給主
[00:00:09.000 --> 00:00:14.000]  天父上帝我們多謝祢
[00:00:14.000 --> 00:00:18.000]  祢賜給我們這份寶貴的恩典
[00:00:18.000 --> 00:00:20.000]  讓我們成為祢的兒女
[00:00:20.000 --> 00:00:24.000]  我們來敬拜這位創天造地的真神
[00:00:24.000 --> 00:00:27.000]  神啊求祢去帶領我們以下的時間
[00:00:27.000 --> 00:00:30.000]  與我們同在引導我們的心思意念
[00:00:30.000 --> 00:00:32.000]  當我們去敬拜祢
[00:00:32.000 --> 00:00:33.000]  讀祢的話語
[00:00:33.000 --> 00:00:35.000]  讓我們認識祢更多
[00:00:35.000 --> 00:00:36.000]  明白祢的心意
[00:00:36.000 --> 00:00:39.000]  我們一齊同心獻上我們的祈禱
[00:00:39.000 --> 00:00:41.000]  是奉主耶穌基督的聖名祈求
[00:00:41.000 --> 00:00:42.000]  Amen
[00:00:42.000 --> 00:00:46.000]  按照教會的編定的經文
[00:00:46.000 --> 00:00:48.000]  今天就會和大家去看
[00:00:48.000 --> 00:00:51.000]  士徒行傳十七章二十二至三十一節
[00:00:51.000 --> 00:00:53.000]  我給它的主題叫做
[00:00:53.000 --> 00:00:55.000]  活有你奶有我
[00:00:55.000 --> 00:00:58.000]  很想大家和我一齊去讀這段經文
[00:00:58.000 --> 00:01:01.000]  我就去讀雙節
[00:01:01.000 --> 00:01:03.000]  請大家讀藍色的單節
[00:01:03.000 --> 00:01:04.000]  我先開始
[00:01:04.000 --> 00:01:07.000]  保羅贊載阿略巴古當中說
[00:01:07.000 --> 00:01:09.000]  眾位雅典人啊
[00:01:09.000 --> 00:01:12.000]  我看你們凡事很敬畏鬼神
[00:01:25.000 --> 00:01:28.000]  創造宇宙和其中萬物的神
[00:01:28.000 --> 00:01:29.000]  既是天地的主
[00:01:29.000 --> 00:01:32.000]  就不住人手所造的電
[00:01:32.000 --> 00:01:43.000]  他從一本造出萬俗的人
[00:01:43.000 --> 00:01:45.000]  住在全地上
[00:01:45.000 --> 00:01:49.000]  並且預先定准他們的年限和所住的疆界
[00:01:56.000 --> 00:02:00.000]  我們生活動作存留都在乎他
[00:02:00.000 --> 00:02:03.000]  就如你們作詩的有人說
[00:02:03.000 --> 00:02:05.000]  我們也是他所生的
[00:02:05.000 --> 00:02:17.000]  世人蒙昧無知的時候
[00:02:17.000 --> 00:02:19.000]  神並不監察
[00:02:19.000 --> 00:02:23.000]  如今卻吩咐各處的人都要悔改
[00:02:25.000 --> 00:02:27.000]  如今卻吩咐各處的人都要悔改
[00:02:27.000 --> 00:02:29.000]  如今卻吩咐各處的人都要悔改
[00:02:29.000 --> 00:02:31.000]  如今卻吩咐各處的人都要悔改
[00:02:31.000 --> 00:02:33.000]  如今卻吩咐各處的人都要悔改
[00:02:33.000 --> 00:02:35.000]  如今卻吩咐各處的人都要悔改
[00:02:35.000 --> 00:02:37.000]  如今卻吩咐各處的人都要悔改
[00:02:37.000 --> 00:02:39.000]  如今卻吩咐各處的人都要悔改
[00:02:39.000 --> 00:02:41.000]  如今卻吩咐各處的人都要悔改
[00:02:41.000 --> 00:02:43.000]  如今卻吩咐各處的人都要悔改
[00:02:43.000 --> 00:02:45.000]  如今卻吩咐各處的人都要悔改
[00:02:45.000 --> 00:02:47.000]  如今卻吩咐各處的人都要悔改
[00:02:47.000 --> 00:02:49.000]  如今卻吩咐各處的人都要悔改
[00:02:49.000 --> 00:02:56.000]  如今卻吩咐各處的人都要悔改
[00:02:56.000 --> 00:02:58.000]  如今卻吩咐各處的人都要悔改
[00:02:58.000 --> 00:03:00.000]  如今卻吩咐各處的人都要悔改
