
[00:00:00.000 --> 00:00:02.760]  OK,今天跟大家講的題目是什麼呢?
[00:00:02.760 --> 00:00:05.680]  講古術靈爭智的大後方
[00:00:05.680 --> 00:00:07.820]  給個圖片給大家看看
[00:00:07.820 --> 00:00:10.740]  先看看圖片
[00:00:10.740 --> 00:00:17.540]  不知你見到這個魔鬼的醜惡面孔的時候
[00:00:17.540 --> 00:00:19.100]  你有什麼反應呢?
[00:00:19.100 --> 00:00:21.120]  見到這張照片比較好
[00:00:21.120 --> 00:00:23.260]  如果魔鬼真的在我們眼前出現的時候
[00:00:23.260 --> 00:00:26.220]  不知你又會有什麼不同的回應
[00:00:26.220 --> 00:00:28.620]  可能我們會很緊張,握緊拳頭
[00:00:28.620 --> 00:00:31.620]  要不就跟他拼了,要不就掉頭就走
[00:00:31.620 --> 00:00:34.300]  如果魔鬼在這個時候說
[00:00:34.300 --> 00:00:36.240]  你幫我做些偷騙的事
[00:00:36.240 --> 00:00:39.080]  或者說這些你當然不會聽
[00:00:39.080 --> 00:00:42.080]  不如,你跟我離開上帝吧
[00:00:42.080 --> 00:00:44.360]  會不會聽呢?
[00:00:44.360 --> 00:00:47.820]  如果魔鬼對你這樣說,你當然不會聽
[00:00:47.820 --> 00:00:49.940]  聽我講都傻了
[00:00:49.940 --> 00:00:55.260]  但聖經說,如果魔鬼扮作光明的天使
[00:00:55.260 --> 00:00:58.380]  下一張是光明的天使
[00:00:58.820 --> 00:01:00.460]  聖經說得很清楚
[00:01:00.460 --> 00:01:02.860]  豈不知魔鬼要幫我做光明的天使
[00:01:02.860 --> 00:01:05.800]  他跟你們說,下星期過年了
[00:01:05.800 --> 00:01:09.780]  過年,每個人都以為農曆新年對我們中國人來說很重要
[00:01:09.780 --> 00:01:11.320]  回家過年吧
[00:01:11.320 --> 00:01:16.000]  但老闆說,不行,現在生活艱難
[00:01:16.000 --> 00:01:17.700]  可不可以加班
[00:01:17.700 --> 00:01:20.460]  我給你雙倍加班薪金
[00:01:20.460 --> 00:01:23.140]  老闆跟你這樣說
[00:01:23.140 --> 00:01:24.800]  那你接不接呢?
[00:01:24.800 --> 00:01:29.440]  多兩倍薪金又可以討你老闆的高興
[00:01:29.440 --> 00:01:33.840]  而且陪家人過年,那就晚點了
[00:01:33.840 --> 00:01:37.100]  不一定要在年初一
[00:01:37.100 --> 00:01:38.640]  那你會不會接呢?
[00:01:38.640 --> 00:01:41.120]  如果是你的話,老闆跟你這樣說
[00:01:41.120 --> 00:01:43.740]  你會不會接老闆給你的offer呢?
[00:01:43.740 --> 00:01:46.720]  有沒有人點頭呢?
[00:01:46.720 --> 00:01:50.320]  我猜你有吧,心裏面點吧
[00:01:50.320 --> 00:01:52.760]  陪家人是可以的
[00:01:52.760 --> 00:01:56.160]  不一定要那個時間,找別的時間都可以
[00:01:56.160 --> 00:02:01.520]  但後來發覺,不單單是過農曆新年
[00:02:01.520 --> 00:02:06.280]  所有的長週末、春假、寒假
[00:02:06.280 --> 00:02:08.040]  你都要加班
[00:02:08.040 --> 00:02:12.900]  很多時候,我們落在這樣的情況下
[00:02:12.900 --> 00:02:16.160]  你就會發覺,沒錯,賺到一些錢
[00:02:16.160 --> 00:02:19.800]  但跟家人的時間就越來越少
[00:02:19.800 --> 00:02:25.280]  所以自然是什麼呢? 陪家人的時間越來越瘋狂
[00:02:25.280 --> 00:02:29.160]  再過一段時間
[00:02:29.160 --> 00:02:33.120]  你的家人、朋友就會對你定性
[00:02:33.120 --> 00:02:34.720]  定性什麼呢?
[00:02:34.720 --> 00:02:37.280]  You are a workaholic
[00:02:37.280 --> 00:02:43.480]  你是一個工作狂
[00:02:43.480 --> 00:02:44.960]  而對我們來說
[00:02:44.960 --> 00:02:49.020]  我們連陪家人、照顧他們的時間都沒有
[00:02:49.020 --> 00:02:51.020]  雖然我們相信耶穌
[00:02:51.020 --> 00:02:54.000]  但我們哪有時間去傳福音
[00:02:54.000 --> 00:02:57.040]  哪有時間去供奉上帝呢?
[00:02:57.040 --> 00:02:59.740]  所以我們發覺有些人
[00:02:59.740 --> 00:03:01.740]  基督徒,我們暮色這麼久
[00:03:01.740 --> 00:03:02.840]  有時候很熱心的
[00:03:02.840 --> 00:03:05.800]  但到了某一個階段
[00:03:05.800 --> 00:03:07.800]  就停下來了
[00:03:07.800 --> 00:03:12.240]  我們以為我們只是在傳福音和供奉神的戰場上
[00:03:12.240 --> 00:03:14.240]  暫時休戰
[00:03:15.600 --> 00:03:20.480]  誰不知魔鬼原來跟以色列學了一個很好的功課
[00:03:20.480 --> 00:03:23.320]  1967年中東發生了什麼事呢?
[00:03:23.320 --> 00:03:25.320]  老人家當然會知道
[00:03:25.320 --> 00:03:27.980]  六日戰爭,你沒聽過六日戰爭嗎?
[00:03:27.980 --> 00:03:32.080]  1967年的時間,埃及為首
[00:03:32.080 --> 00:03:38.760]  帶著約旦、敘利亞和阿拉伯聯軍四國圍攻
[00:03:38.760 --> 00:03:41.260]  突襲以色列
[00:03:41.260 --> 00:03:43.880]  希望一舉將以色列殲滅
[00:03:43.880 --> 00:03:45.880]  以後就不要再以色列過了
[00:03:45.880 --> 00:03:47.880]  誰不知
[00:03:47.880 --> 00:03:50.400]  以色列的特種部隊
[00:03:50.400 --> 00:03:54.500]  偷偷繞到敘利亞的大後方
[00:03:54.500 --> 00:03:56.500]  切斷了他們的後門
[00:03:56.500 --> 00:03:59.460]  結果短短六日
[00:03:59.460 --> 00:04:01.460]  以色列一個很不小的國家
[00:04:01.460 --> 00:04:04.020]  打敗了四國的聯軍
[00:04:04.020 --> 00:04:06.020]  大家記不記得這個故事
