
[00:00:00.000 --> 00:00:01.760]  頂住妹主女平安
[00:00:01.760 --> 00:00:06.160]  很高興見到越來越多人回來教會
[00:00:06.160 --> 00:00:09.160]  所以如果你們仍然是網上崇拜的
[00:00:09.160 --> 00:00:10.660]  我都鼓勵你回來
[00:00:10.660 --> 00:00:13.160]  因為我們今天開始都不隔行坐了
[00:00:13.160 --> 00:00:16.960]  所以可以坐足夠位置給大家回來
[00:00:16.960 --> 00:00:22.360]  想和大家溫一溫今年我們教會的大方向和主題是什麼
[00:00:23.600 --> 00:00:30.060]  是靈女禱告尋主道然後連結世代作燈台
[00:00:30.060 --> 00:00:33.860]  如果大家記得一月份的時候我們用了四次的講壇
[00:00:33.860 --> 00:00:36.860]  和大家分享有關祈禱的訊息
[00:00:36.860 --> 00:00:39.060]  接著我們將會在七月
[00:00:39.060 --> 00:00:40.860]  我們由今個星期開始
[00:00:40.860 --> 00:00:46.360]  我們用三個星期在講壇上和大家分享有關聖靈的訊息
[00:00:46.360 --> 00:00:48.860]  曾經有頂姐妹跟我講
[00:00:48.860 --> 00:00:52.860]  牧師我們好像很少講聖靈
[00:00:52.860 --> 00:00:56.860]  而引至一人誤會我們是不著重聖靈的
[00:00:56.860 --> 00:00:58.860]  我不知道大家會不會是這樣
[00:00:58.860 --> 00:00:59.860]  我希望不是
[00:00:59.860 --> 00:01:03.860]  又或者我們過去對於靈因
[00:01:03.860 --> 00:01:06.360]  靈因這個詞是較為敏感的
[00:01:06.360 --> 00:01:10.860]  又好像我們振信會這個傳統我們不是講方言的
[00:01:10.860 --> 00:01:14.860]  好像一靈因就和方言很有直接的關係
[00:01:14.860 --> 00:01:17.860]  這些似乎都是我們對聖靈
[00:01:17.860 --> 00:01:23.860]  是有少少的偏差有少少的不是絕對正確的一個看法
[00:01:23.860 --> 00:01:27.360]  我希望藉著我們這幾次的講壇訊息
[00:01:27.360 --> 00:01:30.360]  我們可以對聖靈多一些的了解和認識
[00:01:30.360 --> 00:01:32.860]  在聖經裏面
[00:01:32.860 --> 00:01:37.360]  舊約和新約對聖靈的講述都有不同的重點
