
[00:00:00.000 --> 00:00:03.420]  今天我想和大家分享一個小故事
[00:00:03.420 --> 00:00:08.300]  話說有一位農夫耕田後回家
[00:00:08.300 --> 00:00:11.560]  回家路上撿到一隻蛋
[00:00:11.560 --> 00:00:14.680]  相信是鳥蛋
[00:00:14.680 --> 00:00:16.320]  但不知道是什麼鳥蛋
[00:00:16.320 --> 00:00:23.520]  他撿了回家放進母雞的巢裏
[00:00:23.520 --> 00:00:27.780]  後來母雞和所有蛋一起孵
[00:00:27.780 --> 00:00:29.780]  孵出了這隻鳥蛋
[00:00:30.040 --> 00:00:35.220]  孵出了之後發現原來是一隻小鷹
[00:00:35.220 --> 00:00:41.080]  小鷹和其他小雞一起生活,一起長大
[00:00:41.080 --> 00:00:49.820]  一起去雞園裏面找穀物,找小蟲吃
[00:00:49.820 --> 00:00:53.300]  有一天母雞突然很緊張
[00:00:53.300 --> 00:00:57.660]  趕走所有小雞,趕他們進去雞屋裏面
[00:00:58.100 --> 00:01:02.460]  原來有一隻大鷹在空中盤旋
[00:01:02.460 --> 00:01:06.740]  小鷹第一次看到大鷹
[00:01:06.740 --> 00:01:08.740]  很羨慕
[00:01:08.740 --> 00:01:14.160]  在想如果我能夠飛上天空就真是很好了
[00:01:14.160 --> 00:01:17.820]  但其他小雞就催他
[00:01:17.820 --> 00:01:22.040]  快點走吧,我們只是雞,不可能飛上天的
[00:01:22.040 --> 00:01:24.040]  快點,不要做白日夢了
[00:01:24.040 --> 00:01:29.740]  快點回家,否則你會被人帶去做小鷹的晚餐
[00:01:29.740 --> 00:01:35.120]  小鷹和其他小雞一起回到雞屋
[00:01:35.120 --> 00:01:42.400]  以後繼續在雞園裏面找穀物,找小蟲吃
[00:01:42.400 --> 00:01:46.880]  這個故事提醒我們
[00:01:46.880 --> 00:01:50.200]  即使我們可能是一隻有潛能的
[00:01:50.200 --> 00:01:53.700]  可以在空中飛翔的鷹
[00:01:54.360 --> 00:01:57.780]  但如果我們生活在雞群當中
[00:01:57.780 --> 00:01:59.780]  以為自己是小雞
[00:01:59.780 --> 00:02:02.460]  那就是誤解了自己的身份
[00:02:02.460 --> 00:02:06.700]  也不可能發揮到自己的潛能
[00:02:06.700 --> 00:02:11.780]  上星期我們已經思想過哥羅西書第一章和第二章
[00:02:11.780 --> 00:02:14.280]  提到基督是至尊
[00:02:14.280 --> 00:02:16.280]  提到有了基督就足夠
[00:02:16.280 --> 00:02:19.120]  我們不需要再有其他東西
[00:02:19.120 --> 00:02:22.300]  我們不需要遵守舊約的規條
