
[00:00:00.000 --> 00:00:04.480]  很高興再次在港台上和大家見面
[00:00:04.480 --> 00:00:06.280]  每個星期都見到大家
[00:00:06.280 --> 00:00:08.880]  都有新的面孔、舊的面孔
[00:00:08.880 --> 00:00:10.040]  又很熟悉的
[00:00:10.040 --> 00:00:12.880]  有些已經認識我們幾十年
[00:00:12.880 --> 00:00:15.000]  有些認識了幾天而已
[00:00:15.000 --> 00:00:16.640]  見過幾次
[00:00:16.640 --> 00:00:18.240]  大家無論如何
[00:00:18.240 --> 00:00:19.160]  住在內一家
[00:00:19.160 --> 00:00:21.000]  很高興回到神的家
[00:00:21.000 --> 00:00:23.080]  我們一起有這個敬拜的時間
[00:00:23.080 --> 00:00:25.120]  特別是這個Swingdon的地方
[00:00:25.120 --> 00:00:28.520]  這個town沒什麼出名的
[00:00:28.520 --> 00:00:29.760]  最出名就是我們教會
[00:00:29.760 --> 00:00:30.440]  知不知道
[00:00:30.440 --> 00:00:32.360]  我們有這個中文的教會
[00:00:32.360 --> 00:00:34.400]  經常都挺自豪的
[00:00:34.400 --> 00:00:37.080]  有自己神給我們的地方
[00:00:37.080 --> 00:00:39.680]  所以這個是有一個屬靈的家
[00:00:39.680 --> 00:00:43.600]  可以給我們有崇拜、團契
[00:00:43.600 --> 00:00:45.240]  有很多不同的活動
[00:00:45.240 --> 00:00:47.480]  這個神的恩典是很大的
[00:00:47.480 --> 00:00:51.120]  記得我讀大學的時候
[00:00:51.120 --> 00:00:53.400]  有一年的暑假
[00:00:53.400 --> 00:00:55.960]  我就去加拿大探親
[00:00:55.960 --> 00:00:56.760]  跟我父母
[00:00:56.760 --> 00:01:00.400]  我媽媽有些姐姐在溫哥華的地方
[00:01:00.400 --> 00:01:03.480]  他們都是很虔誠的基督徒
[00:01:03.480 --> 00:01:04.520]  我的姨媽
[00:01:04.520 --> 00:01:06.000]  從小看到我長大
[00:01:06.000 --> 00:01:07.360]  不過分開了很久
[00:01:07.360 --> 00:01:09.720]  因為他們很早期已經移民到加拿大
[00:01:09.720 --> 00:01:12.240]  我記得我姨媽問我
[00:01:12.240 --> 00:01:13.760]  她說你讀了醫生
[00:01:13.760 --> 00:01:16.000]  你是不是撞傷信神?
[00:01:16.000 --> 00:01:18.240]  會不會因為你的學識多了
[00:01:18.240 --> 00:01:20.080]  對科學認識、認知多了
[00:01:20.080 --> 00:01:23.440]  覺得這個宗教就是一個迷信?
[00:01:23.440 --> 00:01:24.440]  我就說非也
[00:01:24.440 --> 00:01:28.960]  我讀這麼多書更加覺得有神的同在
[00:01:28.960 --> 00:01:30.680]  有神的存在
[00:01:30.680 --> 00:01:32.440]  當我再研究人體
[00:01:32.440 --> 00:01:39.040]  我覺得神的創造是很奇妙很奇妙
[00:01:39.040 --> 00:01:42.200]  最近我的眼睛不太好
[00:01:42.200 --> 00:01:43.680]  其實我的眼睛也不太好
[00:01:43.680 --> 00:01:45.760]  傳道不只是你的眼睛不太好
[00:01:45.760 --> 00:01:48.880]  不過沒有過一個星期在台上說
[00:01:48.880 --> 00:01:49.760]  說笑而已
[00:01:49.760 --> 00:01:50.680]  真的不太好
[00:01:50.680 --> 00:01:52.440]  等著看醫生
[00:01:52.440 --> 00:01:55.440]  驗眼近視也很深
[00:01:55.440 --> 00:02:01.480]  近視深的人年紀大了會出現很多毛病
[00:02:01.480 --> 00:02:05.440]  所以我覺得眼睛是非常珍貴的
[00:02:05.440 --> 00:02:06.800]  不過讀人體學的時候
[00:02:06.800 --> 00:02:09.600]  他們的眼睛神比我們很出奇
[00:02:09.600 --> 00:02:11.880]  當今天看東西不太清楚的時候
[00:02:11.880 --> 00:02:14.320]  發覺原來這麼多年我看東西
[00:02:14.320 --> 00:02:15.200]  雖然都要眼鏡
[00:02:15.200 --> 00:02:16.800]  但起碼看得很清楚
[00:02:16.800 --> 00:02:19.800]  我們習慣了不覺得是一個恩典
[00:02:19.800 --> 00:02:21.200]  覺得是必然的
[00:02:21.200 --> 00:02:23.320]  我看到東西是對的
[00:02:23.320 --> 00:02:26.560]  睡醒後睜大眼睛看到東西是應該正常的
[00:02:26.560 --> 00:02:27.360]  就算看不到東西
[00:02:27.360 --> 00:02:29.040]  你拿眼鏡也能看到
[00:02:29.040 --> 00:02:31.760]  但當你戴了眼鏡仍然覺得還是差一點
[00:02:31.760 --> 00:02:32.880]  有點蒙蒙的
[00:02:32.880 --> 00:02:34.240]  不是很自在的
[00:02:34.240 --> 00:02:35.320]  不是很精神的
[00:02:35.320 --> 00:02:36.040]  那你知道了
