
[00:00:00.000 --> 00:00:03.000]  我們一起感恩 一起祈禱
[00:00:30.000 --> 00:00:33.000]  讓我們明白 讓我們懂得的行出來
[00:00:33.000 --> 00:00:35.000]  多謝您帶領我們 奉主明給
[00:01:00.000 --> 00:01:03.000]  今天我們來調查 也不一定是基督徒
[00:01:03.000 --> 00:01:07.000]  調查的結果也值得我們看看
[00:01:07.000 --> 00:01:10.000]  當中活躍的基督徒
[00:01:10.000 --> 00:01:15.000]  我的意思是定期崇拜的基督徒
[00:01:15.000 --> 00:01:23.000]  原來只有57%的人相信聖經所說的
[00:01:23.000 --> 00:01:26.000]  耶穌是怎樣復活的這件事
[00:01:26.000 --> 00:01:34.000]  另外亦有36%的人相信耶穌復活
[00:01:34.000 --> 00:01:39.000]  不過他們所相信的不是聖經所描述的耶穌復活
[00:01:39.000 --> 00:01:42.000]  即是怎樣呢? 我就不知道
[00:01:42.000 --> 00:01:44.000]  另一樣值得留意的是
[00:01:44.000 --> 00:01:49.000]  所有不管是活躍也好 非活躍的基督徒也好
[00:01:49.000 --> 00:01:55.000]  有23%的人 即是大約四分之一的人
[00:01:55.000 --> 00:01:58.000]  是不相信耶穌復活的
[00:01:58.000 --> 00:02:01.000]  聽到這些數字 我不知道你覺得怎樣
[00:02:01.000 --> 00:02:05.000]  相信耶穌復活 曾經與死去復活
[00:02:05.000 --> 00:02:10.000]  以及相信聖經的內容是真確無誤
[00:02:10.000 --> 00:02:15.000]  這兩件事都是我們基督教的教義裏
[00:02:15.000 --> 00:02:19.000]  很重要 我們必須承認的部分
[00:02:19.000 --> 00:02:22.000]  當很多自稱為信徒的人
[00:02:22.000 --> 00:02:25.000]  不再相信耶穌復活
[00:02:25.000 --> 00:02:32.000]  這代表很多信徒還未完全相信真理
[00:02:32.000 --> 00:02:39.000]  同樣有很多信徒還未按聖經所描述去相信
[00:02:39.000 --> 00:02:43.000]  這代表他們對聖經內的真理
[00:02:43.000 --> 00:02:55.000]  一是懷疑無誤 二是相信的程度與非信徒並不相差很遠
