
[00:00:00.000 --> 00:00:06.240]  撒姆爾大衛傳第九講
[00:00:06.240 --> 00:00:09.760]  今天要講的是撒姆爾上的二十八章
[00:00:09.760 --> 00:00:11.040]  三十一章
[00:00:11.040 --> 00:00:14.200]  以及歷代至上的第十章
[00:00:14.200 --> 00:00:16.840]  我已經有好幾個星期沒有講到
[00:00:16.840 --> 00:00:18.680]  我回到香港
[00:00:18.680 --> 00:00:21.880]  在香港又去了大陸旅遊
[00:00:21.880 --> 00:00:24.000]  但我都有敬拜神
[00:00:24.000 --> 00:00:29.840]  第一個星期我去到灣朝朕這個教會敬拜神
[00:00:29.840 --> 00:00:33.440]  在灣仔的潮語朕信會
[00:00:33.440 --> 00:00:36.480]  你說 牧師你不是潮州人
[00:00:36.480 --> 00:00:38.880]  為何你會去潮語朕信會
[00:00:38.880 --> 00:00:40.960]  因為我有一個很好的朋友在那裡
[00:00:40.960 --> 00:00:42.440]  我去探訪他
[00:00:42.440 --> 00:00:48.120]  第二個星期我去了尖沙咀的朕信會
[00:00:48.120 --> 00:00:51.400]  又是去探訪我的一位好朋友
[00:00:51.400 --> 00:00:54.200]  第三個星期在飛機上高
[00:00:54.200 --> 00:00:56.120]  所以不能夠敬拜神
[00:00:56.120 --> 00:00:59.280]  在那裡回來的途中
[00:00:59.280 --> 00:01:02.040]  我今天要跟大家講的訊息
[00:01:02.040 --> 00:01:05.680]  是有關掃羅最後的事蹟
[00:01:05.680 --> 00:01:10.480]  他交軌 他的失敗 他的死亡
[00:01:10.480 --> 00:01:14.720]  其實撒姆爾上這本書很有趣
[00:01:14.720 --> 00:01:18.040]  我們見到撒姆爾上一開始的時候
[00:01:18.040 --> 00:01:20.680]  是講一個人的誕生
[00:01:20.680 --> 00:01:25.040]  在撒姆爾上的結束是講一個人的死亡
[00:01:25.040 --> 00:01:28.640]  在說撒姆爾上開始的時候是誰的誕生
[00:01:28.640 --> 00:01:30.840]  是撒姆爾的誕生
[00:01:30.840 --> 00:01:34.000]  但是在撒姆爾上最後結束的時候
[00:01:34.000 --> 00:01:36.720]  是掃羅的死亡
[00:01:36.720 --> 00:01:39.760]  在撒姆爾上開始的時候
[00:01:39.760 --> 00:01:43.640]  神是給他的旨意給撒姆爾
