
[00:00:00.000 --> 00:00:02.140]  各位大英姊妹,新年快樂!
[00:00:02.140 --> 00:00:04.440]  (新年快樂!)
[00:00:04.440 --> 00:00:08.400]  各位大英姊妹,身體健康, 祝福滿滿!
[00:00:08.400 --> 00:00:15.320]  大家去拜年,通常第一句會說什麼?
[00:00:15.320 --> 00:00:18.920]  在疫情中,有些親戚來拜年時,
[00:00:18.920 --> 00:00:22.080]  我的弟弟就會說「百毒不侵!」
[00:00:22.080 --> 00:00:26.320]  我們這些祝福語,是唸口王,
[00:00:26.320 --> 00:00:31.640]  還是你真的覺得很想得到這份祝福呢?
[00:00:31.640 --> 00:00:35.480]  我們祝福的源頭是來自哪裡呢?
[00:00:35.480 --> 00:00:37.680]  今天跟大家看看經文,
[00:00:37.680 --> 00:00:42.680]  有個主角要走上一條祝福的路,
[00:00:42.680 --> 00:00:46.720]  祝福的源頭是從上帝那裡來的,
[00:00:46.720 --> 00:00:50.480]  祂是來自一個富裕的地方,
[00:00:50.480 --> 00:00:53.320]  那裡是不缺乏的,有水源,
[00:00:53.320 --> 00:00:56.520]  祂很有家財,亦有些福氣,
[00:00:56.520 --> 00:01:01.240]  但祂願意甘心樂意地踏上一條祝福的路。
[00:01:01.240 --> 00:01:03.160]  先介紹一下祂的名字,
[00:01:03.160 --> 00:01:07.520]  祂叫阿伯蘭,祂的父親叫他拉,
[00:01:07.520 --> 00:01:11.440]  祂有兩個兄弟,就是娜赫和哈蘭,
[00:01:11.440 --> 00:01:14.640]  祂有一位太太,叫薩萊,
[00:01:14.640 --> 00:01:16.720]  比較熟悉他們的名字,
[00:01:16.720 --> 00:01:19.640]  後來到他們再年老一點的時候,
[00:01:19.640 --> 00:01:23.320]  神就幫這對夫婦說了一個新名字,
[00:01:23.320 --> 00:01:26.840]  就是阿伯蘭改名為阿伯拉罕,
[00:01:26.840 --> 00:01:30.160]  薩萊就改名為薩拉,
[00:01:30.160 --> 00:01:32.280]  有點頂尖,謝謝你們!
[00:01:32.280 --> 00:01:37.760]  他們有一個侄,就叫羅德,
[00:01:37.760 --> 00:01:40.680]  在《創世紀》十二章,
[00:01:40.680 --> 00:01:42.840]  今天我們會看經文的時候,
[00:01:42.840 --> 00:01:48.320]  其實阿伯蘭和薩萊都是年老了,
[00:01:48.320 --> 00:01:51.880]  阿伯蘭已經七十五歲,他們有一個侄,
[00:01:51.880 --> 00:01:54.960]  但是他們自己就沒有兒子,
