
[00:00:00.000 --> 00:00:04.000]  最近香港的文化博物館有一個展覽
[00:00:04.000 --> 00:00:09.500]  展出126件法國羅浮宮珍藏的展品
[00:00:09.500 --> 00:00:11.000]  大家有去看嗎?
[00:00:11.000 --> 00:00:14.000]  如果有時間應該值得去看看
[00:00:14.000 --> 00:00:22.000]  當中包括了一件從來未在羅浮宮以外的地方展覽過的展品
[00:00:22.000 --> 00:00:28.000]  這個展品是拿破崙曾經使用過的地毯
[00:00:28.000 --> 00:00:36.000]  不過可惜的是有鎮館之寶之稱的展品今次沒有獲得
[00:00:36.000 --> 00:00:41.000]  大家知不知道羅浮宮的鎮館之寶是甚麼?
[00:00:41.000 --> 00:00:45.000]  嘩!你們真厲害
[00:00:45.000 --> 00:00:48.000]  就是這幅《蒙羅麗莎》
[00:00:48.000 --> 00:00:53.000]  蒙羅麗莎之所以出名除了畫功出色之外
[00:00:53.000 --> 00:00:55.000]  還有一些原因
[00:00:55.000 --> 00:00:57.000]  其中一個原因是很有歷史價值
[00:00:57.000 --> 00:01:02.000]  這幅畫是十六世紀初的作品
[00:01:02.000 --> 00:01:05.000]  當時是文藝復興時代
[00:01:05.000 --> 00:01:07.000]  距離現在已超過五百年
[00:01:07.000 --> 00:01:09.000]  很有歷史價值
[00:01:09.000 --> 00:01:14.000]  另一個原因是這幅畫很有內涵
[00:01:14.000 --> 00:01:16.000]  你不會看不明白
[00:01:16.000 --> 00:01:18.000]  你一看便知道它在說甚麼
[00:01:18.000 --> 00:01:21.000]  不過蒙羅麗莎的微笑
[00:01:21.000 --> 00:01:23.000]  你也不知道它是否微笑
[00:01:23.000 --> 00:01:25.000]  是似笑非笑
[00:01:25.000 --> 00:01:28.000]  到底畫家想表達甚麼呢?
[00:01:28.000 --> 00:01:32.000]  其實一直都引起很多想像
[00:01:32.000 --> 00:01:35.000]  給人有很多想像空間
[00:01:35.000 --> 00:01:38.000]  本來這幅畫其實是寂寂無名的
[00:01:38.000 --> 00:01:42.000]  但在1911年發生了一件事
[00:01:42.000 --> 00:01:46.000]  就是當時這幅畫被人偷了
[00:01:46.000 --> 00:01:50.000]  後來找回羅浮宮
[00:01:50.000 --> 00:01:55.000]  兩日內吸引了十萬人來參觀
[00:01:55.000 --> 00:01:59.000]  從此奠定了這幅畫的地位
[00:01:59.000 --> 00:02:02.000]  所謂人怕出名豬怕肥
[00:02:02.000 --> 00:02:06.000]  這幅畫亦引起了很多討論
[00:02:06.000 --> 00:02:11.000]  例如到底畫中人的身份是誰呢?
[00:02:11.000 --> 00:02:16.000]  亦有人說這幅畫有不同的版本
[00:02:16.000 --> 00:02:23.000]  有人說達文西曾經畫過一幅年青版的蒙羅麗莎
[00:02:23.000 --> 00:02:29.000]  亦有人用一些超高倍數的放大鏡
[00:02:29.000 --> 00:02:32.000]  來發現畫中人的眼睛裏面
[00:02:32.000 --> 00:02:37.000]  有一些肉眼都看不到的字母和數字
[00:02:37.000 --> 00:02:42.000]  這就是這幅畫隱藏的密碼
[00:02:42.000 --> 00:02:45.000]  藝術品之中有這幅蒙羅麗莎
[00:02:45.000 --> 00:02:47.000]  帶給人很多想像空間
[00:02:47.000 --> 00:02:50.000]  並成為無數研究的題材
[00:02:50.000 --> 00:02:53.000]  聖經裏也有一本書
[00:02:53.000 --> 00:02:55.000]  這本書是啟示錄
[00:02:55.000 --> 00:02:59.000]  同樣帶給人很多想像空間
[00:02:59.000 --> 00:03:04.000]  尤其是裏面有很多奇異的景象
[00:03:04.000 --> 00:03:09.000]  這些特別的異象到底是否對末世的預言呢?
[00:03:09.000 --> 00:03:12.000]  到底這些預言應驗了嗎?
[00:03:12.000 --> 00:03:19.000]  這些問題使啟示錄成為帶有神秘感的聖經書卷
[00:03:19.000 --> 00:03:26.000]  並且曾經成為無數電影、小說和藝術品的素材
[00:03:26.000 --> 00:03:29.000]  由今天開始至八月尾
[00:03:29.000 --> 00:03:35.000]  本堂的教務同工會在主日崇拜的講壇上
[00:03:35.000 --> 00:03:37.000]  來教導這本書
[00:03:37.000 --> 00:03:43.000]  今天我會和大家一起看剛才主席所讀的第一章一至八節
[00:03:43.000 --> 00:03:48.000]  其實也會看一章其餘的一章節
[00:03:48.000 --> 00:03:53.000]  我們今天會從這本書的表達形式和內容
[00:03:53.000 --> 00:04:00.000]  來看看到底神藉著約翰這個男子所賜下的啟示
[00:04:00.000 --> 00:04:04.000]  對我們今天的信徒來說有甚麼意義
[00:04:04.000 --> 00:04:06.000]  在剛才所讀的一段經文裏
[00:04:06.000 --> 00:04:09.000]  有三個字值得我們留意
[00:04:09.000 --> 00:04:14.000]  這三個字能夠幫助我們來理解這本書的表達形式和內容
[00:04:14.000 --> 00:04:16.000]  第一個字就是啟示
[00:04:16.000 --> 00:04:18.000]  我們一起讀這一節
[00:04:18.000 --> 00:04:23.000]  耶穌基督的啟示就是神賜給他
[00:04:23.000 --> 00:04:28.000]  叫他將必要拜成的是指示他的眾僕人
[00:04:28.000 --> 00:04:33.000]  他就差顯示者曉遇他的僕人約翰
[00:04:33.000 --> 00:04:40.000]  經原文這句聖經的第一個字就是啟示
[00:04:40.000 --> 00:04:44.000]  換句話說整本啟示錄的第一個字就是啟示
[00:04:44.000 --> 00:04:46.000]  也是因為這個緣故
