
[00:00:00.000 --> 00:00:05.940]  過去和大家查過聖經裏面 特別是舊約裏面的祈禱
[00:00:05.940 --> 00:00:11.000]  所以在新的刊輯書裏面 我會和大家去看新約
[00:00:11.000 --> 00:00:14.180]  我自己很深的體會到 作為一個基督徒
[00:00:14.180 --> 00:00:19.240]  我們絕對不應該停留在一個吃奶的嬰孩的階段
[00:00:19.240 --> 00:00:24.900]  我經常都這樣說 聖經裏面提到我們不要再做吃奶嬰孩
[00:00:24.900 --> 00:00:29.300]  教會裏面有很多屬靈的小飛俠
[00:00:29.300 --> 00:00:34.280]  或者屬靈的大雄 大家明白我的意思嗎?
[00:00:34.280 --> 00:00:37.940]  你沒有留意到小飛俠這麼多年 都是沒有成長的
[00:00:37.940 --> 00:00:40.840]  都是小飛俠來的 大雄這麼多年
[00:00:40.840 --> 00:00:43.400]  大雄都是這個樣子的
[00:00:43.400 --> 00:00:47.240]  我們可能信得住 很多年都是一個屬靈的嬰孩
[00:00:47.240 --> 00:00:50.840]  但是我們需要來大雄怎樣呢? 要去盡心的
[00:00:50.840 --> 00:00:55.700]  所以我們對神的話語裏面 要好好的來大雄去研讀
[00:00:55.700 --> 00:00:59.140]  而我們要持守著神的教導
[00:00:59.140 --> 00:01:04.440]  但是要有開放的思維去接受一些新的挑戰
[00:01:04.440 --> 00:01:07.140]  但是不只是我們個人
[00:01:07.140 --> 00:01:10.300]  所以為什麼我們要有教會 要有團體呢?
[00:01:10.300 --> 00:01:14.100]  就是我們能夠彼此的關心 互動 交流 盡心
[00:01:14.100 --> 00:01:16.240]  所以求神來幫助我們
[00:01:16.240 --> 00:01:22.740]  我們這次會來大雄去看耶穌基督登山變象
[00:01:22.740 --> 00:01:27.740]  為什麼耶穌基督登山變象對我們這麼重要呢?
[00:01:27.740 --> 00:01:32.840]  那如果你想一想 耶穌祂登山的時候
[00:01:32.840 --> 00:01:36.640]  帶著一幫門徒去上山
[00:01:36.640 --> 00:01:41.640]  那時候祂突然之間的形象變了
[00:01:41.640 --> 00:01:44.240]  還有就是 哪兩個人呢?
[00:01:44.240 --> 00:01:47.040]  摩西和以利亞出現
[00:01:47.040 --> 00:01:49.240]  為什麼是摩西和以利亞呢?
[00:01:49.240 --> 00:01:54.240]  為什麼又不是以西傑或者以諾呢?
[00:01:54.240 --> 00:02:00.240]  這個登山變象和耶穌的死亡又有什麼關係呢?
[00:02:00.240 --> 00:02:04.740]  所以我們這次會用大概10次左右
[00:02:04.740 --> 00:02:08.840]  我們分開就是登山變象前傳
[00:02:08.840 --> 00:02:11.940]  那個變臉前傳
[00:02:11.940 --> 00:02:14.940]  這個就好像電影一樣
[00:02:14.940 --> 00:02:16.740]  接著我們又會有正傳
[00:02:16.740 --> 00:02:18.540]  就是說耶穌登山變象
[00:02:18.540 --> 00:02:20.240]  接著有後傳
[00:02:20.240 --> 00:02:23.540]  就是下山之後面對什麼挑戰呢?
[00:02:23.540 --> 00:02:27.540]  我們看看耶穌基督登山變象那個記載
[00:02:27.540 --> 00:02:31.040]  就在《馬太福音》第16章開始
[00:02:31.040 --> 00:02:34.540]  不過我們先看第17章的第一節
[00:02:34.540 --> 00:02:37.340]  我們請Doris跟我們讀出來 好嗎?
[00:02:37.340 --> 00:02:39.540]  約翰剛剛過了六天
[00:02:39.540 --> 00:02:45.340]  耶穌帶著彼得、雅各和雅各的兄弟上了高山
[00:02:45.340 --> 00:02:48.840]  好 耶穌基督過了六天了
[00:02:48.840 --> 00:02:53.640]  耶穌帶著彼得、雅各和雅各的兄弟約翰
[00:02:53.640 --> 00:02:55.840]  暗暗地上了高山
[00:02:55.840 --> 00:03:00.340]  這個六天之前究竟發生了什麼事情呢?
[00:03:00.340 --> 00:03:04.340]  因為這件事是直接影響著這件事
[00:03:04.340 --> 00:03:06.940]  所以今天我們的題目就是
[00:03:06.940 --> 00:03:08.740]  請問我是誰?
[00:03:08.740 --> 00:03:11.340]  大家知不知道有一套電影
[00:03:11.340 --> 00:03:17.340]  其實我喜歡那些電影名字改做我的講道
[00:03:17.340 --> 00:03:20.340]  譬如我有講到《頭昏腦海》
