
[00:00:00.000 --> 00:00:03.500]  主的命是應當去稱頌
[00:00:03.500 --> 00:00:06.000]  我們每人來到敬拜
[00:00:06.000 --> 00:00:10.000]  就是要稱頌這位獨一的真神
[00:00:10.000 --> 00:00:14.000]  主耶穌為我們去犧牲祂的生命
[00:00:14.000 --> 00:00:18.000]  這份犧牲的愛是罕有
[00:00:18.000 --> 00:00:21.000]  是最珍貴
[00:00:21.000 --> 00:00:23.000]  聖經這樣說
[00:00:23.000 --> 00:00:25.000]  正如基督愛教會
[00:00:25.000 --> 00:00:28.000]  為教會捨己
[00:00:28.000 --> 00:00:31.000]  因著主愛人
[00:00:31.000 --> 00:00:35.000]  祂願意附上祂的生命
[00:00:35.000 --> 00:00:38.000]  是一份無價的禮物
[00:00:38.000 --> 00:00:41.000]  不是我們配得
[00:00:41.000 --> 00:00:45.000]  乃是當我們還作罪人的時候
[00:00:45.000 --> 00:00:49.000]  耶穌基督就為我們死
[00:00:49.000 --> 00:00:53.000]  聖的愛就是這樣顯明
[00:00:53.000 --> 00:00:57.000]  這份的愛是無條件
[00:00:57.000 --> 00:01:01.000]  也不是憑著我們有什麼努力
[00:01:01.000 --> 00:01:04.000]  功德可以賺取
[00:01:04.000 --> 00:01:09.000]  是神白白的送給我們每一個
[00:01:09.000 --> 00:01:13.000]  這份愛正正顯示這位主
[00:01:13.000 --> 00:01:15.000]  對我們每一個
[00:01:15.000 --> 00:01:18.000]  那份莫大的愛
[00:01:18.000 --> 00:01:21.000]  所以我們每一個人
[00:01:21.000 --> 00:01:23.000]  蒙神的恩典
[00:01:23.000 --> 00:01:26.000]  沒有什麼可誇耀
[00:01:26.000 --> 00:01:31.000]  因為主白白給這份禮物我們
[00:01:31.000 --> 00:01:33.000]  我們可以謙卑去接受
[00:01:33.000 --> 00:01:36.000]  這份無價的禮物
[00:01:36.000 --> 00:01:40.000]  深深的、存著感恩的心
[00:01:40.000 --> 00:01:43.000]  去頌讚這位主
[00:01:43.000 --> 00:01:49.000]  記不記得你什麼時候受浸教的教會
[00:01:49.000 --> 00:01:52.000]  我自己是1973年
[00:01:52.000 --> 00:01:56.000]  已經44年前
[00:01:56.000 --> 00:01:59.000]  在過去的聖誕節
[00:01:59.000 --> 00:02:03.000]  弟兄姊妹都是很歡欣
[00:02:03.000 --> 00:02:06.000]  看到有弟兄姊妹受浸
[00:02:06.000 --> 00:02:08.000]  加入教會
[00:02:08.000 --> 00:02:12.000]  這的確是很開心的事情
[00:02:12.000 --> 00:02:17.000]  到底誰帶領你來到柴灣浸信會呢?
[00:02:17.000 --> 00:02:23.000]  或者誰讓你去認識這位真神?
[00:02:23.000 --> 00:02:30.000]  讓我們都是謹記神這份厚愛
[00:02:30.000 --> 00:02:34.000]  在這份所說四章一至六節
[00:02:34.000 --> 00:02:36.000]  提到教會的合一
[00:02:36.000 --> 00:02:42.000]  是藉著聖靈在我們內心裡邊的
[00:02:42.000 --> 00:02:47.000]  感動、忍志才可以達成
[00:02:47.000 --> 00:02:49.000]  靈裡的合一
[00:02:49.000 --> 00:02:53.000]  其實在這裡可能有三百多人
[00:02:53.000 --> 00:02:57.000]  我們每一個有自己的個性
[00:02:57.000 --> 00:03:01.000]  我們成長的背景都可以很不同
[00:03:01.000 --> 00:03:08.000]  怎樣可以合一呢?
[00:03:08.000 --> 00:03:14.000]  讓我們在團契、在小組裡邊
[00:03:14.000 --> 00:03:16.000]  或者在茶經班
[00:03:16.000 --> 00:03:18.000]  都給我們有更多的機會
[00:03:18.000 --> 00:03:22.000]  彼此來學習神的話
[00:03:22.000 --> 00:03:27.000]  彼此相交、彼此成長
[00:03:27.000 --> 00:03:31.000]  我們成為柴灣浸信會一份子
[00:03:31.000 --> 00:03:34.000]  不單單我們自己會有
[00:03:34.000 --> 00:03:38.000]  其實也有一些未受浸教育教會
[00:03:38.000 --> 00:03:40.000]  也有一些來賓
[00:03:40.000 --> 00:03:44.000]  同樣都是柴灣浸信會一份子
[00:03:44.000 --> 00:03:47.000]  我們有不同的個性
[00:03:47.000 --> 00:03:52.000]  唯有聖靈可以將我們帶到神的面前
[00:03:52.000 --> 00:03:56.000]  讓我們來到他的殿裡邊
[00:03:56.000 --> 00:04:00.000]  一起去敬拜他、尊崇他
[00:04:00.000 --> 00:04:08.000]  幫助我們學校主耶穌基督的謙虛、溫柔、忍耐
[00:04:08.000 --> 00:04:12.000]  對人那份愛心的體諒
[00:04:12.000 --> 00:04:17.000]  用一個和平的態度跟人去相處
[00:04:17.000 --> 00:04:23.000]  都可以幫助我們學校主耶穌的品格
[00:04:23.000 --> 00:04:26.000]  塑造我們的生命
[00:04:26.000 --> 00:04:32.000]  除去我們的陋習建立一個新人的性情
[00:04:32.000 --> 00:04:38.000]  讓我們在靈裡面繼續成長
[00:04:38.000 --> 00:04:42.000]  這個真是有賴聖靈在我們當中的引導
[00:04:42.000 --> 00:04:46.000]  我們願意去信服聖靈自己的帶領
[00:04:46.000 --> 00:04:49.000]  注目在神話語的上面
[00:04:49.000 --> 00:04:53.000]  可以更新我們每一個的生命
[00:04:53.000 --> 00:04:57.000]  學校與主同行同在
[00:04:57.000 --> 00:05:03.000]  因為這位主就是教會的元首
[00:05:03.000 --> 00:05:07.000]  教會保持合一的方法
[00:05:07.000 --> 00:05:11.000]  就是去實踐主耶穌的愛
[00:05:11.000 --> 00:05:16.000]  用一個和平的態度去跟人相處
[00:05:16.000 --> 00:05:18.000]  去接納別人
[00:05:18.000 --> 00:05:21.000]  因為教會就是一個整體
[00:05:21.000 --> 00:05:23.000]  不是我們自己個別
[00:05:23.000 --> 00:05:26.000]  不是我們自己的喜好
[00:05:26.000 --> 00:05:30.000]  所以我們被稱為柴灣浸信會的會友
[00:05:30.000 --> 00:05:32.000]  或者是來賓
[00:05:32.000 --> 00:05:35.000]  這個都是很寶貴的
[00:05:35.000 --> 00:05:37.000]  在四章七節
[00:05:37.000 --> 00:05:39.000]  我們各人蒙恩
[00:05:39.000 --> 00:05:43.000]  都是照基督所量給各人的恩賜
[00:05:43.000 --> 00:05:47.000]  這個恩賜是神伯伯賜給我們的恩典
[00:05:47.000 --> 00:05:53.000]  因為神積著基督為我們犧牲
[00:05:53.000 --> 00:05:57.000]  伯伯賜給我們這份禮物
