
[00:00:00.000 --> 00:00:01.880]  再和大家說一聲早安
[00:00:01.880 --> 00:00:06.160]  很高興今天再和大家分享上帝的話語
[00:00:06.160 --> 00:00:10.000]  大家看到我可能會以為今天會說尼西米記
[00:00:10.000 --> 00:00:13.520]  但是今天我就跳出了尼西米記
[00:00:13.520 --> 00:00:18.480]  我們留待第一週,即是主餐崇拜那天再說
[00:00:18.480 --> 00:00:23.360]  很想和大家說一個我們這段日子都很關心的課題
[00:00:23.360 --> 00:00:24.400]  崇拜
[00:00:24.400 --> 00:00:29.520]  其實我們教會推行這個土鎮2021五年計劃
[00:00:29.520 --> 00:00:31.720]  其中一個很重要的目標
[00:00:31.720 --> 00:00:33.520]  特別是今年2017年的目標
[00:00:33.520 --> 00:00:35.280]  是要崇拜更新
[00:00:35.280 --> 00:00:40.400]  是去提升我們弟兄姊妹在崇拜那份認識
[00:00:40.400 --> 00:00:42.720]  我們要明白崇拜的意義
[00:00:42.720 --> 00:00:45.360]  當我們發覺我們要更新崇拜的時候
[00:00:45.360 --> 00:00:47.200]  除了我們台上的侍奉行為
[00:00:47.200 --> 00:00:49.280]  我們都要做好我們的本份
[00:00:49.280 --> 00:00:51.360]  將最好的侍奉呈獻給主
[00:00:51.360 --> 00:00:54.240]  其實每一個坐在這裡的弟兄姊妹
[00:00:54.240 --> 00:00:56.640]  我們都是一樣在侍奉上帝
[00:00:56.640 --> 00:00:59.760]  其實崇拜Worship英文這個意思
[00:00:59.760 --> 00:01:01.520]  也帶著侍奉的意思
[00:01:01.520 --> 00:01:05.200]  你回到教會其實就是侍奉主
[00:01:05.200 --> 00:01:07.840]  當我們要將崇拜更新的時候
[00:01:07.840 --> 00:01:11.280]  我們必須要更深的明白崇拜的意義
[00:01:11.280 --> 00:01:14.720]  所以我們用了幾個月的時間
[00:01:14.720 --> 00:01:18.400]  去撰寫在你們的周刊夾著這份黃色的
[00:01:18.400 --> 00:01:20.960]  叫做《土鎮崇拜宣言》
[00:01:20.960 --> 00:01:25.120]  一會兒我也會抽當初的經文和幾段
[00:01:25.120 --> 00:01:26.800]  跟大家分享
[00:01:26.800 --> 00:01:31.200]  所以願意我們學習如何崇拜更新
[00:01:31.200 --> 00:01:33.440]  當然我自己本人也要學習
[00:01:33.440 --> 00:01:35.920]  所以這段時間也看了很多關於崇拜的書
[00:01:35.920 --> 00:01:39.520]  其中一本作者叫做Thomas G. Norn
[00:01:39.520 --> 00:01:40.640]  《朗格》
[00:01:40.640 --> 00:01:42.400]  他有一個引言挺吸引我的
[00:01:42.400 --> 00:01:45.120]  很想和大家分享這個引言
[00:01:45.120 --> 00:01:49.200]  這個引言是說作者當他八歲的時候
[00:01:49.200 --> 00:01:54.560]  他們兩兄弟在母親節的星期日早上
[00:01:54.560 --> 00:01:57.360]  他很想給爸爸媽媽一個驚喜
[00:01:57.360 --> 00:02:00.320]  所以他們決定要做一個早餐給爸爸媽媽
[00:02:00.320 --> 00:02:03.280]  因為經常都是媽媽一早起床做早餐給他們吃
[00:02:03.280 --> 00:02:06.800]  他們很想做個早餐給爸爸媽媽
