
[00:00:00.000 --> 00:00:03.500]  OK,那麼今天我們來到一個新的講道的系列
[00:00:03.500 --> 00:00:06.500]  但是其實這不是一個新的系列
[00:00:06.500 --> 00:00:09.500]  其實我們這三個系列都是同一個系列
[00:00:09.500 --> 00:00:12.500]  因為我們是一直都在看哥羅西書
[00:00:12.500 --> 00:00:15.500]  從第一章開始一直看到結束為止
[00:00:15.500 --> 00:00:19.000]  所以今天我們會看到哥羅西書的第三章
[00:00:19.000 --> 00:00:23.500]  十一到十二節,十一到大概十七節
[00:00:23.500 --> 00:00:25.500]  因為上次我們看到第十一節停
[00:00:25.500 --> 00:00:29.500]  那麼在上禮拜因為我不在這邊講道
[00:00:29.500 --> 00:00:31.500]  我在Tri-Valley那邊講道
[00:00:31.500 --> 00:00:33.500]  我有跟大家介紹過說
[00:00:33.500 --> 00:00:35.500]  到了第三章是一個轉折點
[00:00:35.500 --> 00:00:42.500]  因為西書是寶羅寫給在哥羅西教會的信徒
[00:00:42.500 --> 00:00:46.500]  那麼通常他寫的信裡面是分兩部分
[00:00:46.500 --> 00:00:51.500]  通常寶羅第一部分是先介紹一些神學的觀念
[00:00:51.500 --> 00:00:53.500]  就是你們所信的這個信仰
[00:00:53.500 --> 00:00:56.500]  主耶穌是誰,祂為你做過什麼
[00:00:56.500 --> 00:00:58.500]  祂能夠繼續為你做什麼
[00:00:58.500 --> 00:01:01.500]  那為什麼你要信祂,他解釋很清楚
[00:01:01.500 --> 00:01:04.500]  那麼通常到了第三章就是後半部
[00:01:04.500 --> 00:01:08.500]  寶羅就會開始從這些神學的觀念
[00:01:08.500 --> 00:01:11.500]  開始轉到一個應用的層面
[00:01:11.500 --> 00:01:15.500]  就是現在你知道你所信的耶穌基督是誰了
[00:01:15.500 --> 00:01:18.500]  祂為你做過什麼,為什麼你需要信祂
[00:01:18.500 --> 00:01:20.500]  那接下來他就告訴你說
[00:01:20.500 --> 00:01:26.500]  既然信了祂,你的生活方式應該做出些什麼樣的改變
[00:01:26.500 --> 00:01:28.500]  比方說在上禮拜,因為不在這邊講到
[00:01:28.500 --> 00:01:30.500]  所以稍微複習一下
[00:01:30.500 --> 00:01:33.500]  上禮拜在講到第三章開始的時候
[00:01:33.500 --> 00:01:36.500]  三章八節,寶羅開始跟他們講說
[00:01:36.500 --> 00:01:39.500]  你們信了主之後,生活方式有些東西需要除掉
[00:01:39.500 --> 00:01:42.500]  就是有些壞習慣,不好的生活方式
[00:01:42.500 --> 00:01:46.500]  那其中一點他提到是比方說淫亂跟汙穢
[00:01:46.500 --> 00:01:49.500]  那麼因為當時候在羅馬帝國
[00:01:49.500 --> 00:01:55.500]  其實是一個性文化很開放的一個帝國
[00:01:55.500 --> 00:01:58.500]  那麼以前除了猶太人還比較講究說
[00:01:58.500 --> 00:02:01.500]  什麼尊重婚姻,因為是猶太人的觀念
[00:02:01.500 --> 00:02:03.500]  從舊約開始來
[00:02:03.500 --> 00:02:05.500]  但是外邦人就是除了猶太人以外
[00:02:05.500 --> 00:02:07.500]  其他無論是任何一個民族的人
[00:02:07.500 --> 00:02:10.500]  外邦人其實在當時是非常
[00:02:10.500 --> 00:02:13.500]  或是一個非常淫亂的一個世代
[00:02:13.500 --> 00:02:17.500]  他們是很少,就是有點像今天中國大陸
[00:02:17.500 --> 00:02:20.500]  就是見面不是問你吃飯沒
[00:02:20.500 --> 00:02:22.500]  見面就問你說你離婚了沒
[00:02:22.500 --> 00:02:25.500]  因為他們覺得如果你是很成功的人
[00:02:25.500 --> 00:02:27.500]  應該養得起兩三頭家
[00:02:27.500 --> 00:02:30.500]  所以你還沒有離婚表示你事業一般
[00:02:30.500 --> 00:02:33.500]  所以先問你,如果沒離婚這麼失敗
[00:02:33.500 --> 00:02:36.500]  現在的婚外情也是很普遍
[00:02:36.500 --> 00:02:37.500]  那麼當時也是一樣
[00:02:37.500 --> 00:02:42.500]  當時無論是三妻四妾,然後婚外情
[00:02:42.500 --> 00:02:45.500]  甚至當時的同性戀比現在厲害
[00:02:45.500 --> 00:02:47.500]  我們以為現在美國同性戀
[00:02:47.500 --> 00:02:49.500]  我們什麼立法,以為是很開放
[00:02:49.500 --> 00:02:53.500]  但其實以前羅馬帝國對同性戀比現在開放
[00:02:53.500 --> 00:02:57.500]  以前同性戀在羅馬帝國是被接受的
[00:02:57.500 --> 00:02:59.500]  甚至一些很高層次的人
[00:02:59.500 --> 00:03:01.500]  包括我最佩服的那個亞歷山大大帝
[00:03:01.500 --> 00:03:05.500]  他雖然是33歲統治歐亞非三州
[00:03:05.500 --> 00:03:06.500]  統治全世界
[00:03:06.500 --> 00:03:11.500]  可是亞歷山大大帝是他是個雙性戀的人
[00:03:11.500 --> 00:03:12.500]  他女生也搞男生也搞
[00:03:12.500 --> 00:03:14.500]  最後他是得病死的
[00:03:14.500 --> 00:03:15.500]  所以他33歲就死了
[00:03:15.500 --> 00:03:18.500]  所以以前是那些很高位置的人
[00:03:18.500 --> 00:03:20.500]  都是亂搞
[00:03:20.500 --> 00:03:21.500]  私生活都是很糜爛
[00:03:21.500 --> 00:03:24.500]  所以以前是他們的風俗就是這樣
[00:03:24.500 --> 00:03:25.500]  所以保羅跟他們說
[00:03:25.500 --> 00:03:29.500]  你們新的主軸就不要跟隨這些風俗
[00:03:29.500 --> 00:03:31.500]  我記得前一陣子
[00:03:31.500 --> 00:03:35.500]  Tim Keller在Google講marriage
[00:03:35.500 --> 00:03:36.500]  講婚姻
[00:03:36.500 --> 00:03:38.500]  那麼其中很多人問他說
[00:03:38.500 --> 00:03:40.500]  因為很多年輕人不想結婚
[00:03:40.500 --> 00:03:41.500]  就說其實不需要結婚
[00:03:41.500 --> 00:03:44.500]  因為只是那張紙而已
[00:03:44.500 --> 00:03:46.500]  那不代表什麼
[00:03:46.500 --> 00:03:50.500]  我喜歡Tim Keller的解釋說那張紙很重要
[00:03:50.500 --> 00:03:51.500]  為什麼那張紙重要
[00:03:51.500 --> 00:03:55.500]  也是因為所有人際的關係分兩種
[00:03:55.500 --> 00:03:58.500]  他說第一種就是叫做客戶關係
[00:03:58.500 --> 00:04:00.500]  Customer relationship
[00:04:00.500 --> 00:04:03.500]  就像你跟Safeway的關係
[00:04:03.500 --> 00:04:06.500]  你跟Cafe Latte的關係
[00:04:06.500 --> 00:04:08.500]  就是如果你的東西好喝
[00:04:08.500 --> 00:04:10.500]  價錢也不錯
[00:04:10.500 --> 00:04:11.500]  那我繼續來
[00:04:11.500 --> 00:04:14.500]  但是你不會跟Cafe Latte說
[00:04:14.500 --> 00:04:16.500]  我跟你立個約
[00:04:16.500 --> 00:04:19.500]  無論你以後的奶茶好喝不好喝
[00:04:19.500 --> 00:04:21.500]  價錢公不公道
[00:04:21.500 --> 00:04:24.500]  我都會永遠成為你的Customer
[00:04:24.500 --> 00:04:27.500]  直到我得糖尿病那天為止
[00:04:27.500 --> 00:04:28.500]  你不會這樣說
[00:04:28.500 --> 00:04:32.500]  哪一間的店好便宜更好喝
[00:04:32.500 --> 00:04:34.500]  你就會轉到那邊去
[00:04:34.500 --> 00:04:36.500]  聽說最近開了貢茶就跑去排隊
[00:04:36.500 --> 00:04:38.500]  你不會跟Safeway說
[00:04:38.500 --> 00:04:39.500]  你無論價錢怎麼樣
[00:04:39.500 --> 00:04:41.500]  我就幫你到底
[00:04:41.500 --> 00:04:44.500]  不會 Alperson不要便宜
[00:04:44.500 --> 00:04:46.500]  所以這叫客戶關係
[00:04:46.500 --> 00:04:48.500]  因為利益的緣故客戶
[00:04:48.500 --> 00:04:51.500]  這是另外一種關係叫約的關係
[00:04:51.500 --> 00:04:52.500]  這是從就約開始
[00:04:52.500 --> 00:04:55.500]  約的關係比較像是
[00:04:55.500 --> 00:04:57.500]  父母跟孩子的關係
[00:04:57.500 --> 00:04:58.500]  你不會說今天你乖
[00:04:58.500 --> 00:04:59.500]  我是你父母
[00:04:59.500 --> 00:05:01.500]  明天不乖把你踢走
[00:05:01.500 --> 00:05:02.500]  我另外adapt一個
[00:05:02.500 --> 00:05:04.500]  我就換一個乖一點的
