
[00:00:00.000 --> 00:00:04.840]  聖經說,他們專注全心投入和合本的翻譯
[00:00:04.840 --> 00:00:08.300]  全心投入使徒的教訓
[00:00:08.300 --> 00:00:11.540]  彼此的團契,抹餅和祈禱
[00:00:11.540 --> 00:00:17.280]  專注,全心投入,持久的,不停的
[00:00:17.280 --> 00:00:21.520]  你有沒有在這個世界見過一個專注的教會?
[00:00:21.520 --> 00:00:24.240]  如果你有見過,跟我單聲
[00:00:24.240 --> 00:00:26.360]  我也想去看看
[00:00:26.360 --> 00:00:29.920]  三千個,或者幾百個一千個
[00:00:29.920 --> 00:00:34.320]  全心投入背上帝十字架,跟隨主耶穌基督
[00:00:34.320 --> 00:00:37.440]  專注追求上帝的國,上帝的義
[00:00:37.440 --> 00:00:41.320]  會是一個怎樣的教會?你有沒有想過呢?
[00:00:41.320 --> 00:00:43.880]  你可不可以幻想一下呢?
[00:00:43.880 --> 00:00:48.920]  你會不會發白日夢,有一天我們教會都是全心投入,不是一個人
[00:00:48.920 --> 00:00:52.280]  不是黃牧師在這裡全心投入,是全部人在這裡全心投入
[00:00:52.280 --> 00:00:57.720]  你有沒有想過這間教會是怎樣的教會?
[00:00:57.720 --> 00:01:02.680]  早兩年,有一位華人牧者在網上做了一個分享
[00:01:02.680 --> 00:01:06.440]  他其實是一個香港某間神學院的院長
[00:01:06.440 --> 00:01:10.280]  有一次他說,他被應要去歐洲
[00:01:10.280 --> 00:01:16.160]  去歐洲帶一個華人的退休營
[00:01:16.160 --> 00:01:21.840]  他說他在早上很努力去傳講上帝的信息
[00:01:21.840 --> 00:01:28.040]  想挑起大興姊妹的火,大興姊妹都很盡力的去聽
[00:01:28.040 --> 00:01:32.560]  但是這樣覺得有些東西好像不太到位
[00:01:32.560 --> 00:01:36.400]  大興姊妹聽完就差不多這樣了
[00:01:36.400 --> 00:01:39.080]  我說他已經盡力了
[00:01:39.080 --> 00:01:46.680]  到了晚上,有位大興就說,我帶你去吃一頓好的東西,慰勞化你
[00:01:46.680 --> 00:01:50.440]  但重要的東西不是那頓飯,是之後
[00:01:50.440 --> 00:01:54.560]  吃完那頓飯,他帶你去看球賽
[00:01:54.560 --> 00:01:57.880]  他在西班牙,你知道他去看什麼球賽嗎?
[00:01:57.880 --> 00:02:00.120]  巴斯隆納
[00:02:00.120 --> 00:02:01.400]  巴塞隆納
[00:02:01.400 --> 00:02:07.160]  他去到球場,很震撼
[00:02:07.160 --> 00:02:10.400]  首先他想不到原來票這麼貴
[00:02:10.400 --> 00:02:13.040]  原來這麼多一班人,幾萬人
[00:02:13.040 --> 00:02:17.480]  這麼投入,這麼貴的票都肯去買的
[00:02:17.480 --> 00:02:22.240]  第二,去到還沒開始球賽的人在唱歌,又什麼
[00:02:22.240 --> 00:02:27.560]  轉全心的投入
[00:02:27.560 --> 00:02:29.600]  接著球賽開始了
[00:02:29.600 --> 00:02:34.080]  人家在踢球,他就像自己在踢球一樣
[00:02:34.080 --> 00:02:36.680]  他進球,人家進球他很開心
[00:02:36.680 --> 00:02:39.520]  他輸球他又很傷心
[00:02:39.520 --> 00:02:45.840]  好像那些觀眾和球隊以合為一,全心的投入
[00:02:45.840 --> 00:02:52.440]  於是,這個木星在想,為什麼剛才我說的不是這樣呢?
[00:02:52.440 --> 00:02:55.520]  我究竟欠了些什麼?
[00:02:55.520 --> 00:02:58.200]  難道主耶穌基督
[00:02:58.200 --> 00:03:05.280]  沒辦法抗衡世界上KING MAXIM的魔力?
[00:03:05.280 --> 00:03:07.920]  大家都是皇帝
[00:03:07.920 --> 00:03:11.320]  一個球王,一個宇宙的君王
[00:03:11.320 --> 00:03:15.400]  為什麼我們不可以俯伏在上帝面前
[00:03:15.400 --> 00:03:17.240]  好像我們在看球賽一樣
[00:03:17.240 --> 00:03:21.120]  如果今天的教會
[00:03:21.120 --> 00:03:27.280]  是帶著這樣一種心情來星期日崇拜,就不得了了
[00:03:27.280 --> 00:03:30.960]  你可以想像嗎?
[00:03:30.960 --> 00:03:36.160]  七年前我看過,在New York Times有一篇報導
[00:03:36.160 --> 00:03:40.200]  很令我震撼的
[00:03:40.200 --> 00:03:45.720]  我記得星期天早上看到這個故事
[00:03:45.720 --> 00:03:46.960]  覺得真的很非凡
[00:03:46.960 --> 00:03:51.440]  他說"Young Americans Embrace Rigors of Bulljoy"
[00:03:51.440 --> 00:03:52.200]  說什麼呢?
[00:03:52.200 --> 00:03:57.560]  就是有幾個美國仔,美國的小孩
[00:03:57.560 --> 00:04:02.120]  去了俄國的一個芭蕾舞學校叫Bulljoy
