
[00:00:00.000 --> 00:00:01.220]  (主席)好,弟兄姊妹,早晨
[00:00:01.220 --> 00:00:02.220]  (主席)早晨,阿神
[00:00:02.220 --> 00:00:05.020]  (主席)在今天聆聽主導議先讓我們一起
[00:00:05.020 --> 00:00:09.540]  (主席)再次同心低頭,抱怨望我們主的阿神
[00:00:09.540 --> 00:00:11.860]  (主席)慈悲的天父,多謝你
[00:00:11.860 --> 00:00:15.140]  (主席)讓我們每一個能夠學務主理道的人
[00:00:15.140 --> 00:00:18.420]  (主席)都能夠有生命再次來到你的恩前
[00:00:18.420 --> 00:00:20.140]  (主席)打開你的啟示
[00:00:20.140 --> 00:00:23.780]  (主席)來明白當中的教導
[00:00:23.780 --> 00:00:26.260]  (主席)並且讓我們從當中去學會
[00:00:26.260 --> 00:00:29.620]  (主席)怎樣作為一個合神心意的信徒
[00:00:29.620 --> 00:00:32.740]  (主席)為此獻上感恩
[00:00:32.740 --> 00:00:36.380]  (主席)讓我們不要糟蹋這段時間和這些機會
[00:00:36.380 --> 00:00:39.860]  (主席)因為我們知道在這個世界上有很多地方
[00:00:39.860 --> 00:00:42.900]  (主席)同樣想追求主導的人
[00:00:42.900 --> 00:00:44.140]  (主席)我們的弟兄姊妹
[00:00:44.140 --> 00:00:48.900]  (主席)連一本聖經也未能夠得到
[00:00:48.900 --> 00:00:51.380]  (主席)但願主理讓我們能夠
[00:00:51.380 --> 00:00:55.100]  (主席)為這些弟兄姊妹繼續加上禱告
[00:00:55.100 --> 00:00:58.140]  (主席)讓他們在有限的資源之下
[00:00:58.140 --> 00:01:03.700]  (主席)能夠仍然學會怎樣去秉行主理的教訓
[00:01:03.700 --> 00:01:06.060]  (主席)我們知道我們作為信徒
[00:01:06.060 --> 00:01:08.340]  (主席)在地上活著的時間
[00:01:08.340 --> 00:01:10.500]  (主席)雖然我們未必完全明白
[00:01:10.500 --> 00:01:12.940]  (主席)獎得騙上帝你的啟示
[00:01:12.940 --> 00:01:16.460]  (主席)但就讓我們每一個學到多少
[00:01:16.460 --> 00:01:18.220]  (主席)就實踐多少
[00:01:18.220 --> 00:01:19.420]  (主席)求你的帶領
[00:01:19.420 --> 00:01:20.500]  (主席)我們同心的禱告
[00:01:20.500 --> 00:01:23.620]  (主席)奉靠主耶穌基督德性的名字而求
[00:01:23.620 --> 00:01:25.740]  (主席)阿們
[00:01:25.740 --> 00:01:29.620]  (主席)在上個星期的講道裡面
[00:01:29.620 --> 00:01:32.500]  (主席)有一點我是故意留在這個星期
[00:01:32.500 --> 00:01:36.580]  (主席)跟大家一起思想一下的
[00:01:36.580 --> 00:01:39.300]  (主席)就是有關於我們談論到
[00:01:39.300 --> 00:01:47.100]  (主席)猶大他自己的死的問題
[00:01:47.100 --> 00:01:51.780]  (主席)如果大家去看看馬太福音第27章的時候
[00:01:51.780 --> 00:01:55.820]  (主席)我們去到最後的時候看見第十節
[00:01:55.820 --> 00:01:59.740]  (主席)談論到有關於猶大的死的時候
[00:01:59.740 --> 00:02:02.180]  (主席)有一句話在最後說
[00:02:02.180 --> 00:02:07.060]  (主席)是照著主所吩咐我的去說
[00:02:07.060 --> 00:02:08.620]  (主席)說了些什麼?
[00:02:08.620 --> 00:02:11.780]  (主席)原來就在第九節裡面
[00:02:11.780 --> 00:02:15.940]  (主席)記載到原來馬太去記載到
[00:02:15.940 --> 00:02:20.060]  (主席)有關於加略人猶大之死
[00:02:20.060 --> 00:02:26.420]  (主席)是源自於去先知耶利米的說話
[00:02:26.420 --> 00:02:29.740]  (主席)說他們用那三十塊銀錢
[00:02:29.740 --> 00:02:33.020]  (主席)就是被固定之人的價錢
[00:02:33.020 --> 00:02:35.820]  (主席)是以色列人中固定的
[00:02:35.820 --> 00:02:38.900]  (主席)買了饒戶的一塊錢
[00:02:38.900 --> 00:02:40.500]  (主席)在上個禮拜的時候
[00:02:40.500 --> 00:02:42.500]  (主席)我們討論到這段經文
[00:02:42.500 --> 00:02:44.220]  (主席)原來是本身
[00:02:44.220 --> 00:02:50.220]  (主席)是跟《撒加利亞先知書》第十一章裡面的記載
[00:02:50.220 --> 00:02:54.780]  (主席)是完全可以說九成多是吻合的
[00:02:54.780 --> 00:02:57.700]  (主席)上次我們也談論到有關於
[00:02:57.700 --> 00:03:01.580]  (主席)在《撒加利亞先知書》裡面的記載
[00:03:01.580 --> 00:03:04.380]  (主席)主要針對的核心
[00:03:04.380 --> 00:03:13.020]  (主席)是有關於以色列民他們對上帝的慕樣的鄙視
[00:03:13.020 --> 00:03:15.940]  (主席)也都借著《撒加利亞先知書》
[00:03:15.940 --> 00:03:22.420]  (主席)在當時被以色列民那種的看待
[00:03:22.420 --> 00:03:27.820]  (主席)他們要求在這個慕樣裡面
