
[00:00:00.000 --> 00:00:02.500]  我今次揀咗個題目
[00:00:02.500 --> 00:00:03.800]  總題
[00:00:03.800 --> 00:00:05.000]  佢今次冇印出嚟
[00:00:05.000 --> 00:00:06.100]  下次會印埋
[00:00:06.100 --> 00:00:08.800]  就叫做《Amazing Grace》
[00:00:08.800 --> 00:00:11.300]  就奇異因典
[00:00:11.300 --> 00:00:14.000]  奇異因典係破天荒
[00:00:14.000 --> 00:00:16.800]  未試過一首聖詩
[00:00:16.800 --> 00:00:19.100]  可以跨越兩個世紀
[00:00:19.100 --> 00:00:22.500]  同埋差唔多全世界好多語文
[00:00:22.500 --> 00:00:23.700]  都將佢翻譯咗
[00:00:23.700 --> 00:00:25.600]  最稀奇
[00:00:25.600 --> 00:00:27.800]  就竟然上咗流行榜
[00:00:28.800 --> 00:00:30.500]  唔止香港流行榜
[00:00:30.500 --> 00:00:32.800]  喺西方流行榜成日都有
[00:00:32.800 --> 00:00:34.400]  《Amazing Grace》
[00:00:34.400 --> 00:00:35.700]  奇異因典
[00:00:35.700 --> 00:00:38.300]  咁我每次都介紹啲書
[00:00:38.300 --> 00:00:40.900]  佢《Amazing Grace》
[00:00:40.900 --> 00:00:42.900]  個作者係John Newton
[00:00:42.900 --> 00:00:44.600]  John Newton
[00:00:44.600 --> 00:00:46.900]  其實後來影響咗好多人
[00:00:46.900 --> 00:00:49.600]  其中一個佢影響好緊要
[00:00:49.600 --> 00:00:52.100]  係英國好出色嘅國會議員
[00:00:52.100 --> 00:00:54.300]  同埋後來讓英國
[00:00:54.300 --> 00:00:57.900]  好多奴隸不平等嗰啲嘢嘅條例一改咗
[00:00:57.900 --> 00:00:59.600]  叫做《Wilberforce》
[00:00:59.600 --> 00:01:02.100]  咁我line尾就再寫一本書
[00:01:02.100 --> 00:01:02.900]  《Amazing Grace》
[00:01:02.900 --> 00:01:04.100]  就拍咗電影
[00:01:04.100 --> 00:01:05.100]  真係好睇
[00:01:05.100 --> 00:01:06.800]  我去睇嘅時間好感動
[00:01:06.800 --> 00:01:08.000]  唔止睇咗一次
[00:01:08.000 --> 00:01:09.900]  係講呢首歌
[00:01:09.900 --> 00:01:11.800]  同埋呢一個嘅故事
[00:01:11.800 --> 00:01:13.600]  點樣影響咗好多人
[00:01:13.600 --> 00:01:16.400]  其中一個令英國不就一樣
[00:01:16.400 --> 00:01:17.500]  《Wilberforce》
[00:01:17.500 --> 00:01:19.000]  咁當然呢就
[00:01:19.000 --> 00:01:21.100]  另外一本書我都會介紹就
[00:01:21.100 --> 00:01:24.100]  《What's so amazing about Grace》
[00:01:24.100 --> 00:01:26.500]  《What's so amazing about Grace》
[00:01:26.500 --> 00:01:28.800]  呢本書又係好好
[00:01:28.800 --> 00:01:29.900]  因為佢講
[00:01:29.900 --> 00:01:31.500]  講啲咩咁奇異
[00:01:31.500 --> 00:01:32.500]  因典
[00:01:32.500 --> 00:01:34.000]  奇異兩樣嘢
[00:01:34.000 --> 00:01:36.300]  奇異嘅事你估唔到
[00:01:36.300 --> 00:01:37.800]  你一定估唔到
[00:01:37.800 --> 00:01:39.600]  因為啲因典係白白嘅
[00:01:39.600 --> 00:01:40.900]  而且奇異
[00:01:40.900 --> 00:01:43.700]  係喺你未知係因典嘅時間
[00:01:43.700 --> 00:01:44.800]  佢已經出現
[00:01:44.800 --> 00:01:47.400]  咁所以呢個係好重要
[00:01:47.400 --> 00:01:50.700]  咁我今日會有個意外嘅嘉賓畀你
[00:01:50.700 --> 00:01:53.800]  我賣下關子先
[00:01:53.800 --> 00:01:54.700]  我賣下關子
[00:01:54.700 --> 00:01:56.400]  一個你估唔到嘅嘉賓
[00:01:56.400 --> 00:02:00.000]  我呢就好鍾意呢篇詩
[00:02:00.000 --> 00:02:02.000]  嗰篇詩佢講
[00:02:02.000 --> 00:02:03.800]  我心裡要清楚耶和華
[00:02:03.800 --> 00:02:05.800]  反正我裏面都要清楚
[00:02:05.800 --> 00:02:07.000]  我心裡要清楚耶和華
[00:02:07.000 --> 00:02:09.200]  唔好忘記佢一切嘅因為
[00:02:09.200 --> 00:02:11.800]  做人最緊要唔忘因
[00:02:11.800 --> 00:02:14.400]  當然你要知因
[00:02:14.400 --> 00:02:16.700]  好多時間連因都唔知
[00:02:16.700 --> 00:02:19.100]  因係思出嚟嘅
[00:02:19.100 --> 00:02:20.600]  當然我係知道
[00:02:20.600 --> 00:02:22.600]  最大嘅因係從天上嚟
[00:02:22.600 --> 00:02:23.600]  天上嚟
[00:02:23.600 --> 00:02:27.600]  咁而佢呢篇詩就講有四方面嘅因
[00:02:27.600 --> 00:02:28.900]  我今日會講
[00:02:28.900 --> 00:02:31.900]  第一係赦免嘅因
[00:02:31.900 --> 00:02:34.200]  割赦免你一切嘅過犯
[00:02:34.200 --> 00:02:35.600]  呢個第一嘅因
[00:02:35.600 --> 00:02:38.600]  第二就醫治你一切嘅疾病
[00:02:38.600 --> 00:02:39.600]  醫治
[00:02:39.600 --> 00:02:41.800]  第三我救你嘅命
[00:02:41.800 --> 00:02:43.000]  脫離死亡
[00:02:43.000 --> 00:02:44.600]  以恩典同慈愛
[00:02:44.600 --> 00:02:46.200]  嚟到做你嘅冠冕
[00:02:46.200 --> 00:02:47.200]  第三個因
[00:02:47.200 --> 00:02:50.000]  第四我以秘密使你所願嘅德見知足
[00:02:50.000 --> 00:02:51.700]  以至你如鷹返渡還渡
[00:02:51.700 --> 00:02:53.200]  我就分四方面講
[00:02:53.200 --> 00:02:56.000]  講一講第一個因典之後
[00:02:56.000 --> 00:02:57.800]  我就請我嘅嘉賓出場
[00:02:57.800 --> 00:03:03.200]  呢個因典
[00:03:03.200 --> 00:03:06.900]  我今年六十八歲
[00:03:06.900 --> 00:03:11.200]  每一天我都覺得係因典
[00:03:11.200 --> 00:03:13.200]  估唔到
[00:03:13.200 --> 00:03:15.800]  喺六十年前
[00:03:15.800 --> 00:03:18.600]  你睇我幾細
