
[00:00:00.000 --> 00:00:01.320]  請大家一起祈禱
[00:00:01.320 --> 00:00:02.960]  身在鴨北天父親愛主
[00:00:02.960 --> 00:00:05.400]  將以下講到的時間都放上
[00:00:05.400 --> 00:00:07.200]  求主親自向每一位說話
[00:00:07.200 --> 00:00:09.920]  叫他們留心聽到
[00:00:09.920 --> 00:00:12.120]  叫他們留心我們的生命
[00:00:12.120 --> 00:00:15.040]  簡單祈禱奉主命而求
[00:00:15.040 --> 00:00:15.840]  阿們
[00:00:15.840 --> 00:00:18.840]  今天的題目是三個部份
[00:00:18.840 --> 00:00:20.960]  上下齊心
[00:00:20.960 --> 00:00:22.800]  不知道你覺得
[00:00:22.800 --> 00:00:24.800]  在教會
[00:00:24.800 --> 00:00:26.480]  你這麼多年在教會的經歷
[00:00:26.480 --> 00:00:27.320]  生活
[00:00:27.320 --> 00:00:29.400]  多不多經歷
[00:00:29.400 --> 00:00:30.920]  上下齊心
[00:00:30.920 --> 00:00:32.680]  今天
[00:00:32.680 --> 00:00:34.840]  我們是不是又是上下齊心呢
[00:00:34.840 --> 00:00:38.440]  歡喜快樂
[00:00:38.440 --> 00:00:41.200]  其實不信的人見到你
[00:00:41.200 --> 00:00:43.320]  他羨不羨慕你
[00:00:43.320 --> 00:00:45.200]  覺不覺得你歡喜快樂
[00:00:45.200 --> 00:00:47.400]  你照鏡的時候
[00:00:47.400 --> 00:00:50.480]  跟太太吵架的時候
[00:00:50.480 --> 00:00:52.920]  面目猙獰的時候
[00:00:52.920 --> 00:00:54.680]  又歡不歡喜快樂呀
[00:00:56.840 --> 00:00:59.920]  在小組跟弟兄姊妹吵架的時候
[00:00:59.920 --> 00:01:02.520]  你歡不歡喜快樂呀
[00:01:02.520 --> 00:01:06.080]  去到一個安息禮
[00:01:06.080 --> 00:01:09.440]  你會不會歡喜快樂呀
[00:01:09.440 --> 00:01:14.000]  復興
[00:01:14.000 --> 00:01:17.520]  我們有沒有經歷過復興
[00:01:17.520 --> 00:01:19.600]  我們有沒有經歷過復興
[00:01:19.600 --> 00:01:21.240]  你自己
[00:01:21.240 --> 00:01:23.240]  有沒有經歷過復興
[00:01:23.240 --> 00:01:25.240]  我覺得這個值得我們問的問題
[00:01:25.240 --> 00:01:26.480]  我們看尼希米記
[00:01:26.480 --> 00:01:28.960]  我們看了11章
[00:01:28.960 --> 00:01:30.120]  今天是第12章
[00:01:30.120 --> 00:01:31.320]  尼希米記中有多少章
[00:01:31.320 --> 00:01:33.680]  13章
[00:01:33.680 --> 00:01:35.840]  譬如說我去重溫
[00:01:35.840 --> 00:01:37.480]  透過尼希米記
[00:01:37.480 --> 00:01:39.680]  同時間一邊聊一邊看的時候
[00:01:39.680 --> 00:01:40.240]  看一下
[00:01:40.240 --> 00:01:42.800]  究竟這三個的概念
[00:01:42.800 --> 00:01:45.160]  思想的題目
[00:01:45.160 --> 00:01:46.680]  究竟怎麼能夠在尼希米記
[00:01:46.680 --> 00:01:48.120]  以及整本舊約聖經
[00:01:48.120 --> 00:01:49.200]  去串連
[00:01:49.200 --> 00:01:52.560]  很多時候我聽人說
[00:01:53.440 --> 00:01:56.680]  以斯拉就是講到重建聖殿
[00:01:56.680 --> 00:02:00.920]  接著尼希米就是講到重建聖城
[00:02:00.920 --> 00:02:03.000]  以及特別是聖場
[00:02:03.000 --> 00:02:06.560]  但是其實是很明顯
[00:02:06.560 --> 00:02:07.760]  在經文裡面
[00:02:07.760 --> 00:02:09.400]  當我們深刻去看的時候
[00:02:09.400 --> 00:02:11.800]  這兩個都是表面的東西
[00:02:11.800 --> 00:02:17.760]  更加是需要去重建聖文
[00:02:17.760 --> 00:02:22.720]  但是往往我們是會忽略了這部份
[00:02:23.920 --> 00:02:26.640]  就好像我們有時候去婚禮
[00:02:26.640 --> 00:02:28.920]  婚禮我們最緊張的是什麼呢
[00:02:28.920 --> 00:02:33.160]  可能我講了我自己少少的心態
[00:02:33.160 --> 00:02:35.680]  可能就是接著有什麼吃的
[00:02:35.680 --> 00:02:38.760]  最開心快樂的時候是什麼
[00:02:38.760 --> 00:02:41.480]  不是聽到他們講誓言
[00:02:41.480 --> 00:02:44.040]  甚至不是說唱詩
[00:02:44.040 --> 00:02:46.360]  或者不是看到他們簽名
[00:02:46.360 --> 00:02:49.120]  更加是他們講他們的愛情故事
[00:02:49.120 --> 00:02:50.560]  都是簽篇一律的
[00:02:50.560 --> 00:02:51.680]  最開心是什麼
[00:02:52.240 --> 00:02:53.720]  捧了一疊東西出來的時候
[00:02:53.720 --> 00:02:54.520]  如果是中餐
[00:02:54.520 --> 00:02:56.200]  或者是西餐有多少東西吃
[00:02:56.200 --> 00:02:58.360]  有支本末倒置是吧
[00:02:58.360 --> 00:03:00.520]  因為婚禮是慶祝什麼
[00:03:00.520 --> 00:03:03.240]  他們的愛情
[00:03:03.240 --> 00:03:04.240]  那個承諾
[00:03:04.240 --> 00:03:05.040]  那個衛生
[00:03:05.040 --> 00:03:07.600]  但是我們就只看到一些外表的東西
[00:03:07.600 --> 00:03:10.760]  同樣以色列人都是可能以外這樣
[00:03:10.760 --> 00:03:12.240]  他們看到的
[00:03:12.240 --> 00:03:13.960]  就是聖殿
[00:03:13.960 --> 00:03:14.680]  聖城
[00:03:14.680 --> 00:03:15.400]  聖場
[00:03:15.400 --> 00:03:16.280]  聖地
[00:03:16.280 --> 00:03:17.680]  他們的國家被抹
[00:03:17.680 --> 00:03:19.120]  所以他們希望的就是
[00:03:19.120 --> 00:03:21.040]  總之這些回來就可以了
[00:03:21.520 --> 00:03:22.960]  所以這幅回來就可以了
[00:03:22.960 --> 00:03:24.840]  最重要這件事可能是
[00:03:24.840 --> 00:03:27.000]  但是究竟舊約
[00:03:27.000 --> 00:03:28.600]  如果說歷史來說
[00:03:28.600 --> 00:03:33.320]  以以斯拉和尼希米作為一個舊約的結尾的時候
[00:03:33.320 --> 00:03:34.840]  他想帶出去的訊息
[00:03:34.840 --> 00:03:36.200]  是不是這樣
[00:03:36.200 --> 00:03:37.400]  那個問題
[00:03:37.400 --> 00:03:38.760]  是不是這樣
[00:03:38.760 --> 00:03:41.520]  究竟聖殿被毀
[00:03:41.520 --> 00:03:43.360]  聖城是被滅
[00:03:43.360 --> 00:03:46.440]  究竟是一個因還是一個果
[00:03:46.440 --> 00:03:48.040]  值得我們去看
[00:03:48.040 --> 00:03:51.240]  我要再重溫一下的時候
