
[00:00:00.000 --> 00:00:02.440]  今天在人生的過程當中
[00:00:02.440 --> 00:00:07.200]  我們常常面對的不同層面的征戰
[00:00:07.200 --> 00:00:09.920]  有些征戰是從環境而來的
[00:00:09.920 --> 00:00:12.480]  有時候我們面對生活環境的困境
[00:00:12.480 --> 00:00:14.360]  身體的疾病
[00:00:14.360 --> 00:00:18.400]  常常將我們心中充滿了憂慮跟恐懼
[00:00:18.400 --> 00:00:21.600]  有些征戰是從人際關係而來的
[00:00:21.600 --> 00:00:23.960]  當我們面對很多人際關係的衝突
[00:00:23.960 --> 00:00:26.960]  無論在家庭當中 在職場當中
[00:00:26.960 --> 00:00:29.040]  甚至在服飾當中
[00:00:29.040 --> 00:00:34.560]  常常就叫我們心中會落入到苦澀跟不平當中
[00:00:34.560 --> 00:00:38.360]  當然有些征戰從我們自己裡面的罪而來
[00:00:38.360 --> 00:00:41.640]  罪常常叫我們失去心靈的喜樂
[00:00:41.640 --> 00:00:45.320]  而且常常帶來人與人之間的傷害
[00:00:45.320 --> 00:00:50.080]  今天當我們面對很多不同層面的征戰的時候
[00:00:50.080 --> 00:00:52.720]  我們要怎麼來面對呢?
[00:00:52.720 --> 00:00:56.520]  我發現今天很多人在人生的征戰當中
[00:00:56.520 --> 00:00:59.240]  常常是上錯戰場
[00:00:59.240 --> 00:01:01.280]  打錯仗
[00:01:01.280 --> 00:01:03.480]  我們沒有認清楚
[00:01:03.480 --> 00:01:06.640]  神給我們生命的目標是什麼
[00:01:06.640 --> 00:01:11.080]  我們也不明白神在我們生命中的使命是什麼
[00:01:11.080 --> 00:01:16.320]  所以我們常常落入了一些不該打的仗的裡面
[00:01:16.320 --> 00:01:21.120]  反而忽略了神所給我們該打的仗
[00:01:21.120 --> 00:01:24.240]  在今天這段經文當中我們看見保羅
[00:01:24.240 --> 00:01:27.960]  正處在各樣困所的環境當中
[00:01:27.960 --> 00:01:30.320]  事實上當他在寫菲律賓書的時候
[00:01:30.320 --> 00:01:31.840]  他人在哪裡呢?
[00:01:31.840 --> 00:01:34.320]  他人在監獄的裡面
[00:01:34.320 --> 00:01:36.160]  他之所以被關
[00:01:36.160 --> 00:01:39.720]  不是因為他做錯什麼事情或犯了什麼罪
[00:01:39.720 --> 00:01:41.080]  十三節在這裡
[00:01:41.080 --> 00:01:44.520]  甚至說連御靈君的人都知道
[00:01:44.520 --> 00:01:46.000]  他是為什麼原因呢?
[00:01:46.000 --> 00:01:47.640]  是為了福音的緣故
[00:01:47.640 --> 00:01:50.480]  為基督的緣故受苦
[00:01:50.480 --> 00:01:51.680]  換句話說
[00:01:51.680 --> 00:01:54.160]  他是受冤枉的
[00:01:54.160 --> 00:01:55.480]  不但如此
[00:01:55.480 --> 00:01:58.640]  他還面對各樣受批評的環境
[00:01:58.640 --> 00:02:00.200]  十五節這裡說
[00:02:00.200 --> 00:02:02.720]  有的人傳基督是出於基督紛爭
[00:02:02.720 --> 00:02:04.480]  有的出於好意
[00:02:04.480 --> 00:02:05.920]  這一點出於愛心
[00:02:05.920 --> 00:02:07.320]  知道我為福音的緣故
[00:02:07.320 --> 00:02:11.000]  那一等是出於結黨並不誠實
[00:02:11.000 --> 00:02:14.240]  意思要加徵我困所的苦楚
[00:02:14.240 --> 00:02:18.120]  換句話說保羅也是被人誤解的
[00:02:18.120 --> 00:02:20.160]  我們就看見從人的角度來講
[00:02:20.160 --> 00:02:22.800]  其實保羅是很容易
[00:02:22.800 --> 00:02:26.840]  可以投入這些不同的領域來徵戰
[00:02:26.840 --> 00:02:29.440]  而這每一場徵戰都是合情合理
[00:02:29.440 --> 00:02:30.520]  換了你我
[00:02:30.520 --> 00:02:33.200]  我們也為我們自己在那裡爭辯
[00:02:33.200 --> 00:02:34.560]  不是嗎
[00:02:34.560 --> 00:02:36.080]  但感謝神
[00:02:36.080 --> 00:02:40.480]  保羅卻沒有選擇去打這些仗
[00:02:40.480 --> 00:02:45.320]  事實上如果保羅去選擇打任何一場這個戰爭
[00:02:45.320 --> 00:02:49.640]  都要把他捲入一個無止境的漩渦當中
[00:02:49.640 --> 00:02:53.400]  叫他不能夠來專心做神的工作
[00:02:53.400 --> 00:02:54.880]  但是感謝神
[00:02:54.880 --> 00:02:57.880]  保羅並沒有打錯仗
