
[00:00:00.000 --> 00:00:02.520]  在羅馬書第五、第六、第七章
[00:00:02.520 --> 00:00:04.360]  我們所講的是
[00:00:04.360 --> 00:00:07.320]  我們要向神去活,向罪死
[00:00:07.320 --> 00:00:08.960]  接着我們的結論是,是否那麼容易呢?
[00:00:08.960 --> 00:00:09.960]  當然不是那麼容易
[00:00:09.960 --> 00:00:11.440]  所以必須有第七章
[00:00:11.440 --> 00:00:17.040]  第七章的時候,保羅在我們生命裏面不斷地掙扎
[00:00:17.040 --> 00:00:19.960]  最後他靠着基督得勝
[00:00:19.960 --> 00:00:21.200]  但我們的結論是
[00:00:21.200 --> 00:00:22.240]  是否那麼容易呢?
[00:00:22.240 --> 00:00:23.440]  跟你教習弟子說一聲
[00:00:23.440 --> 00:00:24.800]  當然不是那麼容易
[00:00:26.120 --> 00:00:30.680]  在第八章裏面纔有一個圓滿的答案
[00:00:30.680 --> 00:00:33.440]  而第八章裏面除了有一個圓滿的答案之外
[00:00:33.440 --> 00:00:37.840]  也對信仰有幾個問題解構了
[00:00:37.840 --> 00:00:40.880]  我們看看,保羅這裏提到
[00:00:40.880 --> 00:00:44.920]  他說如果我們不能夠靠着律法輕易
[00:00:44.920 --> 00:00:46.640]  或者靠着律法脫罪的話
[00:00:46.640 --> 00:00:50.560]  這是對猶太人來說一個當頭棒漢
[00:00:50.560 --> 00:00:54.560]  也是將猶太民族帶到一個絕望那裏
[00:00:54.760 --> 00:00:57.680]  因爲猶太民族的幾千年的文化裏面
[00:00:57.680 --> 00:00:59.600]  令到他能夠自誇
[00:00:59.600 --> 00:01:01.880]  能夠令到他覺得自傲
[00:01:01.880 --> 00:01:07.400]  是因爲神在西乃沙將十誡直接摩西傳給他們
[00:01:07.400 --> 00:01:09.840]  如果靠律法不能夠被輕易
[00:01:09.840 --> 00:01:11.680]  靠律法不能夠得救的話
[00:01:11.680 --> 00:01:16.360]  即是說他們整個民族就走向絕路和絕望當中
[00:01:16.360 --> 00:01:18.920]  這個又產生另外一個問題
[00:01:18.920 --> 00:01:20.480]  所以這個另外一個問題
[00:01:20.480 --> 00:01:21.680]  在下個禮拜
[00:01:21.680 --> 00:01:23.920]  第九章到十一章
[00:01:23.920 --> 00:01:25.920]  保羅有所解答
[00:01:25.920 --> 00:01:30.440]  用了三章聖經
[00:01:30.440 --> 00:01:32.440]  羅馬書只有十六章
[00:01:32.440 --> 00:01:34.200]  佔了三章
