
[00:00:00.000 --> 00:00:01.340]  各位大英姐妹 你們好
[00:00:01.340 --> 00:00:04.740]  今天我們會查最後一次的大衛
[00:00:04.740 --> 00:00:09.340]  不知不覺原來我們查了三十一次
[00:00:09.340 --> 00:00:10.440]  連同這次
[00:00:10.440 --> 00:00:14.840]  我們今天就會總結看一看大衛的一生
[00:00:14.840 --> 00:00:17.600]  究竟功還是過呢
[00:00:17.600 --> 00:00:21.500]  所以這次的題目叫做「蓋棺定論」
[00:00:21.500 --> 00:00:23.840]  如果我們留意到的時候
[00:00:23.840 --> 00:00:26.440]  聖經除了耶穌基督
[00:00:26.440 --> 00:00:28.040]  是有四福音
[00:00:28.040 --> 00:00:29.940]  就是馬太 馬可 盧加 約翰
[00:00:29.940 --> 00:00:32.600]  來記載祂的生平和言行之外
[00:00:32.600 --> 00:00:36.700]  有哪一個人是佔聖經最多的篇幅呢
[00:00:36.700 --> 00:00:41.500]  我們想摩西 因為摩西不敬
[00:00:41.500 --> 00:00:44.800]  但是多數 比如你留意一下文素記
[00:00:44.800 --> 00:00:47.700]  生命記 或者利美記
[00:00:47.700 --> 00:00:51.640]  都是記載神頒布給子民的律法
[00:00:51.640 --> 00:00:53.540]  祭應該怎樣獻上
[00:00:53.540 --> 00:00:57.900]  就不只是講集中在摩西的生平
[00:00:57.900 --> 00:00:59.300]  祂的言行舉止
[00:00:59.300 --> 00:01:03.400]  有 但是其實第二個多的不是摩西
[00:01:03.400 --> 00:01:04.940]  是大衛
[00:01:04.940 --> 00:01:07.500]  如果你留意到大衛的記載
[00:01:07.500 --> 00:01:10.440]  包括了在撒布爾記上下
[00:01:10.440 --> 00:01:13.740]  就是這次我們那三十次的查經
[00:01:13.740 --> 00:01:15.700]  都是集中在撒布爾記上下
[00:01:15.700 --> 00:01:19.700]  部分的聶王記上和歷代志上
[00:01:19.700 --> 00:01:23.900]  所以你看到大衛其實是一個非常重要的人物
[00:01:23.900 --> 00:01:26.640]  所以和大家一起來分享
[00:01:26.640 --> 00:01:30.100]  聖經就說到大衛作王多少年呢
[00:01:30.100 --> 00:01:35.540]  我們看看聶王記上第二章第十到第十一節
[00:01:35.540 --> 00:01:39.300]  大衛與他列祖同睡 坐在大衛城
[00:01:39.300 --> 00:01:41.700]  大衛作以色列王四十年
[00:01:41.700 --> 00:01:43.740]  載希伯倫作王七年
[00:01:43.740 --> 00:01:47.100]  載耶路撒冷作王三十三年
[00:01:47.100 --> 00:01:51.900]  這裡你留意到就是大衛他開頭那七年
[00:01:51.900 --> 00:01:54.140]  還是南北對峙的
[00:01:54.140 --> 00:01:58.100]  在希伯倫就是猶大的地圖裡面作王
