
[00:00:00.000 --> 00:00:03.100]  如果你有聖經的話,或者是電子版的聖經
[00:00:03.100 --> 00:00:07.300]  請你打開到以賽亞書第九章第六節到第七節
[00:00:07.300 --> 00:00:09.100]  我們一起來念
[00:00:09.100 --> 00:00:14.700]  因為我們而生,有一子賜給我們
[00:00:14.700 --> 00:00:17.600]  政權必擔在他的肩頭上
[00:00:17.600 --> 00:00:21.600]  他名稱為奇妙、測試、全能的神
[00:00:21.600 --> 00:00:24.900]  永在的父、和平的君
[00:00:24.900 --> 00:00:28.800]  他的政權與平安必加徵無窮
[00:00:28.800 --> 00:00:32.600]  他必在大位的寶座上治理他的國
[00:00:32.600 --> 00:00:36.300]  以公平、公義使國堅定穩固
[00:00:36.300 --> 00:00:38.400]  從今直到永遠
[00:00:38.400 --> 00:00:43.400]  萬君之耶和華的熱心必成就這事
[00:00:43.400 --> 00:00:45.500]  我們通常念這一段經文的時候
[00:00:45.500 --> 00:00:47.200]  我們通常只quote
[00:00:47.200 --> 00:00:49.100]  只用第六節
[00:00:49.100 --> 00:00:52.600]  很多時候我們第七節我們就不念了
[00:00:52.600 --> 00:00:56.700]  今天我要把我們弟兄姐妹能夠引到下面一節
[00:00:56.700 --> 00:01:00.300]  他說他的政權與平安必加徵無窮
[00:01:00.300 --> 00:01:03.500]  他必在大位的寶座上治理他的國
[00:01:03.500 --> 00:01:06.900]  以公平、公義使國堅定穩固
[00:01:06.900 --> 00:01:09.400]  從今直到永遠
[00:01:09.400 --> 00:01:15.200]  萬君之耶和華的熱心必成就這事
[00:01:15.200 --> 00:01:17.000]  在這裡他讓我們知道
[00:01:17.000 --> 00:01:19.400]  他說必加徵無窮
[00:01:19.400 --> 00:01:22.600]  然後他說他要坐在大位的寶座上面
[00:01:22.600 --> 00:01:23.900]  治理他的國
[00:01:23.900 --> 00:01:27.200]  以公平、公義使國堅定穩固
[00:01:27.200 --> 00:01:30.700]  直到永遠
[00:01:30.700 --> 00:01:32.700]  童女懷孕生子
[00:01:32.700 --> 00:01:34.800]  天使宣告慶祝
[00:01:34.800 --> 00:01:37.900]  這是在路加福音第二章十三節
[00:01:37.900 --> 00:01:40.700]  他說在至高之處榮耀歸於神
[00:01:40.700 --> 00:01:44.000]  在地上平安歸於他所喜悅的人
[00:01:44.000 --> 00:01:46.100]  我們看見在我們周圍
[00:01:46.100 --> 00:01:50.000]  人也把這個節日裝飾的熱熱鬧鬧的
[00:01:50.000 --> 00:01:51.900]  紅紅綠綠的
[00:01:51.900 --> 00:01:54.000]  我們每次一看到紅紅綠綠的
[00:01:54.000 --> 00:01:57.300]  我們大概就曉得聖誕節快到了
[00:01:57.300 --> 00:02:00.600]  但是剛才我們念的第七節經文
[00:02:00.600 --> 00:02:06.100]  他預言到他將來成了主、成了王
[00:02:06.100 --> 00:02:08.000]  坐在大位的寶座上
[00:02:08.000 --> 00:02:13.100]  以公平、公義使國堅定直到永遠
[00:02:13.100 --> 00:02:16.900]  我們在約翰福音第十七章第一節那邊
[00:02:16.900 --> 00:02:21.400]  我們聽到耶穌他離開這個世界之前的禱告
[00:02:21.400 --> 00:02:23.900]  他也提到他這樣講
[00:02:23.900 --> 00:02:25.900]  他說父啊!時候到了
[00:02:25.900 --> 00:02:27.900]  願你榮耀你的兒子
[00:02:27.900 --> 00:02:29.900]  使兒子也榮耀你
[00:02:29.900 --> 00:02:31.100]  然後第四節
[00:02:31.100 --> 00:02:33.700]  他說我在地上已經榮耀了你
[00:02:33.700 --> 00:02:37.700]  你所託付我的事我已成全了
[00:02:37.700 --> 00:02:39.100]  然後在第五節
[00:02:39.100 --> 00:02:44.100]  他說父啊!求你使我同你享榮耀
[00:02:44.100 --> 00:02:46.400]  就是為有世界以先
[00:02:46.400 --> 00:02:49.900]  我同你所有的榮耀
[00:02:49.900 --> 00:02:51.900]  我們每年慶祝聖誕節
[00:02:51.900 --> 00:02:54.900]  然後我們到聖誕節的時候都很忙對不對
[00:02:54.900 --> 00:02:56.900]  到處買禮物啊
[00:02:56.900 --> 00:02:59.900]  現在比較好一點可以用Amazon
[00:02:59.900 --> 00:03:03.900]  然後人家就用那個Drone送給你
[00:03:03.900 --> 00:03:07.400]  那麼都不需要去跑了
[00:03:07.400 --> 00:03:10.400]  那麼我們應該要慶祝
[00:03:10.400 --> 00:03:11.400]  為什麼呢
[00:03:11.400 --> 00:03:13.400]  因為我們是祂所喜悅的
[00:03:13.400 --> 00:03:15.400]  因為我們是神所檢選的
[00:03:15.400 --> 00:03:16.900]  我們是祂所喜悅的
[00:03:16.900 --> 00:03:19.400]  我們是跟主耶穌一樣
[00:03:19.400 --> 00:03:21.900]  在神的面前是祂的兒子
[00:03:21.900 --> 00:03:23.900]  因為我們信神
[00:03:23.900 --> 00:03:25.900]  藉著耶穌基督所做的事情
[00:03:25.900 --> 00:03:28.900]  所以每年我們慶祝聖誕節的時候
[00:03:28.900 --> 00:03:30.900]  我們要用這個時間
[00:03:30.900 --> 00:03:34.900]  我們真的是不要被周圍的這些東西所困擾
[00:03:34.900 --> 00:03:37.900]  讓我們的眼睛我們的心都定住在
[00:03:37.900 --> 00:03:39.900]  那將來的榮耀
[00:03:39.900 --> 00:03:40.900]  主耶穌已經來了
[00:03:40.900 --> 00:03:42.900]  主耶穌已經誕生了對不對
[00:03:42.900 --> 00:03:44.400]  然後聖經上告訴我們說
[00:03:44.400 --> 00:03:46.400]  祂將來還要得榮耀
[00:03:46.400 --> 00:03:47.900]  祂將來還要再來
[00:03:47.900 --> 00:03:50.900]  所以我們要真的是把我們的眼睛
[00:03:50.900 --> 00:03:52.900]  放在這個將來的榮耀上面
[00:03:52.900 --> 00:03:55.900]  那羅馬書第五章第一節到第二節
[00:03:55.900 --> 00:03:57.900]  它說我們既因信稱義
[00:03:57.900 --> 00:04:01.900]  就藉著主耶穌基督得與神相合
[00:04:01.900 --> 00:04:05.900]  我們因信而且又能夠站在神的恩典當中
[00:04:05.900 --> 00:04:09.900]  並且歡歡喜喜盼望神的榮耀
[00:04:09.900 --> 00:04:12.900]  即使我們現在在這個世界上
[00:04:12.900 --> 00:04:15.900]  我們面對生活中各式各樣的艱難
[00:04:15.900 --> 00:04:18.900]  我們面對生活中各式各樣的困苦
[00:04:18.900 --> 00:04:20.900]  不論是人際關係也好
[00:04:20.900 --> 00:04:22.900]  或者是經濟上的困難也好
[00:04:22.900 --> 00:04:24.900]  也許你現在正好碰到這些事情
[00:04:24.900 --> 00:04:29.900]  或者是在工作上也好
[00:04:29.900 --> 00:04:31.900]  聖經上告訴我們說這些事情
[00:04:31.900 --> 00:04:33.900]  特別是彼得前書裡面告訴我們
[00:04:33.900 --> 00:04:36.900]  這些事情都是為了要試驗我們的信心
[00:04:36.900 --> 00:04:41.900]  好像那個金子被重新再提煉過
[00:04:41.900 --> 00:04:45.900]  聖經上告訴我們金子可以壞的可以朽壞的
[00:04:45.900 --> 00:04:48.900]  但是我們的信心會越來越堅強
[00:04:48.900 --> 00:04:50.900]  使我們能夠配得過
[00:04:50.900 --> 00:04:54.900]  後來要加在我們身上的榮耀
[00:04:54.900 --> 00:04:56.900]  其實主耶穌誕生的事情
[00:04:56.900 --> 00:05:01.900]  然後到祂在世上過了三十多年
