
[00:00:00.000 --> 00:00:06.000]  真愛的天父,我們去到祢自己的私人寶座面前
[00:00:06.000 --> 00:00:09.000]  神啊,我們好想好想見到祢
[00:00:09.000 --> 00:00:13.000]  我們好想聽到神祢的說話,祢的聲音
[00:00:13.000 --> 00:00:17.000]  求祢親自的教導我們
[00:00:17.000 --> 00:00:22.000]  開我們的眼,開我們的耳朵,開我們的心
[00:00:22.000 --> 00:00:27.000]  讓我們聽得到,看得到,我們明白神祢的說話
[00:00:27.000 --> 00:00:32.000]  求神祢的說話成為我們的力量,帶著我們走這條路
[00:00:32.000 --> 00:00:37.000]  感謝天父,禱告奉耶穌,基督性命求,阿們
[00:00:37.000 --> 00:00:42.000]  路是難走,耶穌未正式出來傳道
[00:00:42.000 --> 00:00:47.000]  幾多歲呀?三十歲左右
[00:00:47.000 --> 00:00:50.000]  好奇妙,我也是三十歲開始出來做傳道人
[00:00:50.000 --> 00:00:54.000]  我常常想,會不會只有三年,感謝主,過了十幾年
[00:00:54.000 --> 00:00:57.000]  耶穌在三十歲左右出來傳道
[00:00:57.000 --> 00:01:03.000]  祂被聖靈引導到曠野,面對魔鬼的試探
[00:01:03.000 --> 00:01:11.000]  祂禁食了四十日與夜,四十日與夜之後開始肚餓
[00:01:11.000 --> 00:01:15.000]  魔鬼一連三次來引誘耶穌
[00:01:15.000 --> 00:01:18.000]  但是耶穌就能夠一一擊退魔鬼
[00:01:18.000 --> 00:01:24.000]  今天我們求神幫助我們,聖靈跟我們說話
[00:01:24.000 --> 00:01:26.000]  幫助我們,特別是在這個禦苦期裡
[00:01:26.000 --> 00:01:29.000]  我們如何能夠和主耶穌基督一起走
[00:01:29.000 --> 00:01:32.000]  一起能夠經歷這條人生的路
[00:01:32.000 --> 00:01:37.000]  人生各樣的挑戰、困難、試探、試煉
[00:01:37.000 --> 00:01:42.000]  所以第一件事我們來看看,魔鬼如何試探主耶穌呢?
[00:01:42.000 --> 00:01:44.000]  裡面有什麼內容呢?
[00:01:44.000 --> 00:01:48.000]  如何讀法呢?魔鬼的試探如何厲害呢?
[00:01:48.000 --> 00:01:52.000]  魔鬼不懶惰,比我們積極
[00:01:52.000 --> 00:01:56.000]  因為他一有機會就來試探人,試探耶穌
[00:01:56.000 --> 00:01:59.000]  魔鬼如何試探耶穌呢?
[00:01:59.000 --> 00:02:04.000]  第一件事,他是引誘耶穌看自己的方法
[00:02:04.000 --> 00:02:09.000]  看自己的需要,看重自己的方法和需要
[00:02:09.000 --> 00:02:13.000]  為什麼這樣說呢?我們看看剛才那段經文
[00:02:13.000 --> 00:02:19.000]  我們看看第三節
[00:02:19.000 --> 00:02:22.000]  那試探人的進前來對他說
[00:02:22.000 --> 00:02:28.000]  你若是神的兒子,可以奔赴這些石頭變成食物
[00:02:28.000 --> 00:02:31.000]  你若果是神的兒子
[00:02:31.000 --> 00:02:33.000]  原文是什麼意思呢?
[00:02:33.000 --> 00:02:37.000]  你既然是神的兒子,不是假設
[00:02:37.000 --> 00:02:39.000]  你既然都是神的兒子
[00:02:39.000 --> 00:02:41.000]  你可以的,你這麼厲害
[00:02:41.000 --> 00:02:47.000]  將這些石頭變成食物
[00:02:47.000 --> 00:02:53.000]  第一點就是魔鬼引誘耶穌看重自己的需要和方法
[00:02:53.000 --> 00:02:58.000]  這裡其實是在供耶穌肉體的情慾
[00:02:58.000 --> 00:03:01.000]  我們每一個人都有肉體的情慾
[00:03:01.000 --> 00:03:07.000]  吃,吃東西,色,色情
[00:03:07.000 --> 00:03:10.000]  很多不同的引誘
[00:03:10.000 --> 00:03:14.000]  當耶穌禁食了四十餐之後
[00:03:14.000 --> 00:03:16.000]  肚餓是很正常的,因為祂也是人
[00:03:16.000 --> 00:03:19.000]  祂是神,但在這個世界上也是人
[00:03:19.000 --> 00:03:21.000]  祂會肚餓
[00:03:21.000 --> 00:03:26.000]  魔鬼引誘祂,叫祂將石頭變成食物來醫肚
[00:03:26.000 --> 00:03:28.000]  當然可以,祂是神
[00:03:28.000 --> 00:03:30.000]  五餅二魚的神蹟,祂都做到了
