
[00:00:00.000 --> 00:00:03.340]  今天講第一個題目 首先是婚姻
[00:00:03.340 --> 00:00:06.200]  如何能夠與上帝的愛
[00:00:06.200 --> 00:00:09.200]  或者教會結合呢
[00:00:09.200 --> 00:00:12.020]  所以今天的講題就是
[00:00:12.020 --> 00:00:13.660]  婚姻的奧祕
[00:00:13.660 --> 00:00:18.540]  事實上有一個人叫Mike Mason
[00:00:18.540 --> 00:00:21.200]  他正正是寫了一本書
[00:00:21.200 --> 00:00:24.260]  書名叫The Mystery of Marriage
[00:00:24.260 --> 00:00:27.340]  就是講到婚姻當中的奧祕
[00:00:27.340 --> 00:00:30.180]  他講得很特別
[00:00:30.180 --> 00:00:33.600]  婚姻很多時候就好像客廳裏面有一棵樹
[00:00:33.600 --> 00:00:35.140]  Live Tree
[00:00:35.140 --> 00:00:37.140]  不知道大家有沒有記得
[00:00:37.140 --> 00:00:39.140]  很多年前 應該有超過十年前
[00:00:39.140 --> 00:00:41.140]  Santa Cruz有一家餐廳
[00:00:41.140 --> 00:00:43.140]  真的在餐廳裏面有一棵樹
[00:00:43.140 --> 00:00:45.140]  有沒有人去過
[00:00:45.140 --> 00:00:47.140]  有沒有人去過
[00:00:47.140 --> 00:00:49.140]  沒有啊
[00:00:49.140 --> 00:00:51.140]  現在不知道那棵樹還在不在
[00:00:51.140 --> 00:00:53.140]  總之在餐廳裏面有一棵樹穿頂
[00:00:53.140 --> 00:00:55.140]  當然不會漏水
[00:00:55.140 --> 00:00:58.140]  那些餐桌就圍着那棵樹喫東西
[00:00:58.140 --> 00:01:00.140]  很浪漫的
[00:01:00.140 --> 00:01:02.140]  我記得那時候
[00:01:02.140 --> 00:01:04.140]  應該有二十年
[00:01:04.140 --> 00:01:07.140]  和師母anniversary的時候去過一次
[00:01:07.140 --> 00:01:09.140]  後來再去過兩次
[00:01:09.140 --> 00:01:11.140]  但想起來
[00:01:11.140 --> 00:01:13.140]  Mike Mason說
[00:01:13.140 --> 00:01:15.140]  婚姻的奧祕是什麼呢
[00:01:15.140 --> 00:01:17.140]  就好像你家裏的客廳
[00:01:17.140 --> 00:01:19.140]  有一棵樹
[00:01:19.140 --> 00:01:21.140]  那棵樹在那裏很麻煩的
[00:01:21.140 --> 00:01:23.140]  爲什麼呢 你要去哪裏或者搬什麼的時候
[00:01:23.140 --> 00:01:25.140]  你不能動那棵樹
[00:01:25.140 --> 00:01:27.140]  那棵樹生在那裏
[00:01:27.140 --> 00:01:29.140]  你要去哪裏的時候就要圍着那棵樹
[00:01:29.140 --> 00:01:31.140]  搬東西的時候就要遷就着它
[00:01:31.140 --> 00:01:33.140]  那棵樹就在中間頂着你
[00:01:33.140 --> 00:01:35.140]  你要搬傢俱
[00:01:35.140 --> 00:01:37.140]  要做什麼的時候
[00:01:37.140 --> 00:01:39.140]  你都要圍着它
[00:01:39.140 --> 00:01:41.140]  或者遷就着它
[00:01:41.140 --> 00:01:43.140]  婚姻就是這樣的
[00:01:43.140 --> 00:01:45.140]  很多時候你要記住
[00:01:45.140 --> 00:01:47.140]  那棵樹經常在那裏
[00:01:47.140 --> 00:01:49.140]  你要適應
[00:01:49.140 --> 00:01:51.140]  你會發覺很不方便
[00:01:51.140 --> 00:01:53.140]  因爲它不能動
[00:01:53.140 --> 00:01:55.140]  你只能動來遷就它
[00:01:55.140 --> 00:01:57.140]  但是同時
[00:01:57.140 --> 00:01:59.140]  家裏有一棵這樣的樹
[00:01:59.140 --> 00:02:01.140]  又覺得很特別
[00:02:01.140 --> 00:02:03.140]  很雅緻
[00:02:03.140 --> 00:02:05.140]  很漂亮
[00:02:05.140 --> 00:02:09.140]  所以爲什麼我們會去餐廳呢
[00:02:09.140 --> 00:02:11.140]  就是因爲這樣
[00:02:11.140 --> 00:02:13.140]  哇 多浪漫 多特別
[00:02:13.140 --> 00:02:15.140]  多漂亮
[00:02:15.140 --> 00:02:17.140]  因此我們就去
[00:02:17.140 --> 00:02:19.140]  但原來在婚姻當中
[00:02:19.140 --> 00:02:21.140]  很多時候都會遇到
[00:02:21.140 --> 00:02:23.140]  這樣的問題
[00:02:23.140 --> 00:02:25.140]  婚姻是很神祕的
[00:02:25.140 --> 00:02:27.140]  是不是很神祕
[00:02:27.140 --> 00:02:29.140]  你沒結婚的時候就會很想結婚
[00:02:29.140 --> 00:02:31.140]  沒結婚的時候
[00:02:31.140 --> 00:02:33.140]  你會覺得生活好像欠缺一些東西
[00:02:33.140 --> 00:02:35.140]  無論怎樣都好
[00:02:35.140 --> 00:02:37.140]  好像欠缺一些
[00:02:37.140 --> 00:02:39.140]  有時候說都說不出來
[00:02:39.140 --> 00:02:41.140]  所以很多時候
[00:02:41.140 --> 00:02:43.140]  可能結婚之後會好一點
[00:02:43.140 --> 00:02:45.140]  我想結婚之後
[00:02:45.140 --> 00:02:47.140]  不會那麼枯燥
[00:02:47.140 --> 00:02:49.140]  生活不會那麼乏味
[00:02:49.140 --> 00:02:51.140]  有個人陪在你身邊
[00:02:51.140 --> 00:02:53.140]  所以很多人都想結婚
[00:02:53.140 --> 00:02:57.140]  結婚之後呢
[00:02:57.140 --> 00:02:59.140]  結婚之後你會發現
[00:02:59.140 --> 00:03:01.140]  不是想象當中那樣
[00:03:01.140 --> 00:03:03.140]  有很多東西是適應的
[00:03:03.140 --> 00:03:05.140]  有很多東西
[00:03:05.140 --> 00:03:07.140]  跟以往生活的方式習慣
[00:03:07.140 --> 00:03:09.140]  是完全不一樣的
[00:03:09.140 --> 00:03:11.140]  你爲了婚姻的緣故
[00:03:11.140 --> 00:03:13.140]  你不可以忽略它
[00:03:13.140 --> 00:03:15.140]  你始終都要對着它
[00:03:15.140 --> 00:03:17.140]  很多東西要想多一層
[00:03:17.140 --> 00:03:19.140]  纔可以去做決定
[00:03:19.140 --> 00:03:21.140]  或者去做一些事
[00:03:21.140 --> 00:03:23.140]  否則大家鬧得不愉快的時候
[00:03:23.140 --> 00:03:25.140]  就會令婚姻生活更加痛苦
[00:03:25.140 --> 00:03:27.140]  不是更加痛苦
[00:03:27.140 --> 00:03:29.140]  是很痛苦
[00:03:29.140 --> 00:03:31.140]  會不會更加痛苦呢
[00:03:31.140 --> 00:03:33.140]  都會的,一會兒再說
[00:03:33.140 --> 00:03:35.140]  所以很多時候
[00:03:35.140 --> 00:03:37.140]  這個就是矛盾
[00:03:37.140 --> 00:03:39.140]  不結婚的時候想結婚
[00:03:39.140 --> 00:03:41.140]  結婚之後又會覺得怎麼這麼煩
[00:03:41.140 --> 00:03:43.140]  多了個人在妨礙我工作
[00:03:43.140 --> 00:03:45.140]  其實有時候也很奇怪
[00:03:45.140 --> 00:03:47.140]  在婚姻中的矛盾衝突
[00:03:47.140 --> 00:03:49.140]  那些矛盾衝突的地方
[00:03:49.140 --> 00:03:51.140]  其實很多時候
[00:03:51.140 --> 00:03:53.140]  就是你最需要的地方
[00:03:53.140 --> 00:03:55.140]  不知道大家有沒有留意到
[00:03:55.140 --> 00:03:57.140]  不如現在
[00:03:57.140 --> 00:03:59.140]  有時候我也很頂不住的
[00:03:59.140 --> 00:04:01.140]  爲什麼呢
[00:04:01.140 --> 00:04:03.140]  一晚叫我Honey幾十次
[00:04:03.140 --> 00:04:05.140]  Honey,Honey
[00:04:05.140 --> 00:04:07.140]  在別人的客廳叫過來
[00:04:07.140 --> 00:04:09.140]  不要幾十次,十幾二十次
[00:04:09.140 --> 00:04:11.140]  一晚開到這樣
[00:04:11.140 --> 00:04:13.140]  你給我電話卡,我關火了沒有
[00:04:13.140 --> 00:04:15.140]  我手機放在哪裏
[00:04:15.140 --> 00:04:17.140]  你打電話給誰了沒有
[00:04:17.140 --> 00:04:19.140]  有沒有Send E-mail
[00:04:19.140 --> 00:04:21.140]  我在客廳坐着
[00:04:21.140 --> 00:04:23.140]  Honey,Honey,Honey
[00:04:23.140 --> 00:04:25.140]  Honey
[00:04:25.140 --> 00:04:27.140]  有時候也挺煩的
[00:04:27.140 --> 00:04:29.140]  爲什麼
[00:04:29.140 --> 00:04:31.140]  煩不煩呢
[00:04:31.140 --> 00:04:33.140]  不過你很喜歡叫你Honey
[00:04:33.140 --> 00:04:35.140]  起碼不是叫你Baby
[00:04:35.140 --> 00:04:37.140]  我兒子就叫他老婆Baby
[00:04:37.140 --> 00:04:39.140]  年輕就叫Baby
[00:04:39.140 --> 00:04:41.140]  其實你也喜歡聽
[00:04:41.140 --> 00:04:43.140]  他叫你Honey
[00:04:43.140 --> 00:04:45.140]  幾十年夫妻
[00:04:45.140 --> 00:04:47.140]  他也叫你Honey
[00:04:47.140 --> 00:04:49.140]  我也很感謝他
[00:04:49.140 --> 00:04:51.140]  爲什麼呢
[00:04:51.140 --> 00:04:53.140]  他提醒我,叫我做那些事
[00:04:53.140 --> 00:04:55.140]  其實我是樂意服侍他的
[00:04:55.140 --> 00:04:57.140]  我一點也不介意服侍他
[00:04:57.140 --> 00:04:59.140]  一點也不介意幫他做一樣的事
[00:04:59.140 --> 00:05:01.140]  不過有時
[00:05:01.140 --> 00:05:03.140]  To be honest
[00:05:03.140 --> 00:05:05.140]  有時你覺得我在做事
[00:05:05.140 --> 00:05:07.140]  忽然之間他就打岔進來了
[00:05:07.140 --> 00:05:09.140]  他好像intrude my privacy
[00:05:09.140 --> 00:05:11.140]  你明白我的意思嗎
[00:05:11.140 --> 00:05:13.140]  每個人都有自己的自我空間的時間
[00:05:13.140 --> 00:05:15.140]  但忽然之間
[00:05:15.140 --> 00:05:17.140]  自我空間被他打破了
[00:05:17.140 --> 00:05:19.140]  你就覺得有點不自在
[00:05:19.140 --> 00:05:21.140]  但是你又需要
[00:05:21.140 --> 00:05:23.140]  你又喜歡去服侍他
[00:05:23.140 --> 00:05:25.140]  你又喜歡聽他叫你Honey
[00:05:25.140 --> 00:05:27.140]  你說人是不是很矛盾呢
[00:05:27.140 --> 00:05:29.140]  你說婚姻是不是很矛盾呢
[00:05:29.140 --> 00:05:31.140]  所以我們就說
[00:05:31.140 --> 00:05:33.140]  有沒有這樣的經驗
[00:05:33.140 --> 00:05:37.140]  有沒有這樣的行金舉手
