
[00:00:00.000 --> 00:00:04.000]  (主席)各位弟子妹早晨,節內平安
[00:00:04.000 --> 00:00:13.000]  如果你身染橫疾,餓病在床
[00:00:13.000 --> 00:00:17.000]  在一間公立的醫院裏面
[00:00:17.000 --> 00:00:21.000]  等著做一個生死攸關的重大手術
[00:00:21.000 --> 00:00:26.000]  而你又知道,在這間醫院裏面
[00:00:26.000 --> 00:00:29.000]  只有兩個醫生懂得做這種手術
[00:00:30.000 --> 00:00:35.000]  一個人剛剛做過同樣的手術
[00:00:35.000 --> 00:00:37.000]  不過那個病人死了
[00:00:37.000 --> 00:00:40.000]  另一個就是一個很資深的醫生
[00:00:40.000 --> 00:00:43.000]  做過無數次同樣的手術
[00:00:43.000 --> 00:00:46.000]  而沒有一個病人死亡
[00:00:46.000 --> 00:00:49.000]  你只知道這麼多
[00:00:49.000 --> 00:00:52.000]  你也認得那兩個醫生
[00:00:52.000 --> 00:00:54.000]  只不過你不知道哪一個
[00:00:54.000 --> 00:00:57.000]  這次負責你這個手術
[00:00:57.000 --> 00:01:00.000]  而剛好那個資深醫生
[00:01:00.000 --> 00:01:04.000]  就站在你病床的邊緣
[00:01:04.000 --> 00:01:06.000]  在這個時候
[00:01:06.000 --> 00:01:09.000]  你很可能會問一個問題
[00:01:09.000 --> 00:01:14.000]  就是哪將要來的是你媽
[00:01:14.000 --> 00:01:18.000]  這個是一個生死攸關的問題
[00:01:18.000 --> 00:01:22.000]  小時候住在屋邨
[00:01:22.000 --> 00:01:25.000]  偶然間不知道什麼原因
[00:01:25.000 --> 00:01:28.000]  一個樓層的小朋友
[00:01:28.000 --> 00:01:33.000]  會和另外一個樓層的小朋友衝突起來
[00:01:33.000 --> 00:01:38.000]  有時會發生一些不是很嚴重的嘔鬥
[00:01:38.000 --> 00:01:41.000]  有一次衝突又起
[00:01:41.000 --> 00:01:45.000]  我一個人下單
[00:01:45.000 --> 00:01:51.000]  被另外一個樓層的小朋友一班追著
[00:01:51.000 --> 00:01:53.000]  就走了
[00:01:53.000 --> 00:01:54.000]  很遠很遠
[00:01:54.000 --> 00:02:00.000]  見到另外一班小朋友迎過來
[00:02:00.000 --> 00:02:01.000]  我大約望一望
[00:02:01.000 --> 00:02:03.000]  因為時間很緊迫
[00:02:03.000 --> 00:02:07.000]  其中一個好像是我哥哥
[00:02:07.000 --> 00:02:09.000]  心想的問題就是這樣
[00:02:09.000 --> 00:02:14.000]  哪將要來的是我的哥哥媽
[00:02:14.000 --> 00:02:16.000]  當然時間緊迫
[00:02:16.000 --> 00:02:18.000]  不能確定因為很遠
[00:02:18.000 --> 00:02:21.000]  只能衝過去
[00:02:21.000 --> 00:02:24.000]  這是唯一逃命的機會
[00:02:24.000 --> 00:02:27.000]  走到很近的時候才發覺
[00:02:27.000 --> 00:02:29.000]  死火
[00:02:29.000 --> 00:02:33.000]  原來整班都是另外一個樓層
[00:02:33.000 --> 00:02:37.000]  最後就是四面受敵
[00:02:37.000 --> 00:02:40.000]  孤立無援
[00:02:40.000 --> 00:02:42.000]  被人包住
[00:02:42.000 --> 00:02:45.000]  當然打了一身
[00:02:45.000 --> 00:02:48.000]  任何一個被圍困的人
[00:02:48.000 --> 00:02:51.000]  若有陌生人接近
[00:02:51.000 --> 00:02:54.000]  可能他都會問這個問題
[00:02:54.000 --> 00:02:57.000]  哪將要來的是你媽
[00:02:57.000 --> 00:03:00.000]  當然這個你就是幫助我們
[00:03:00.000 --> 00:03:04.000]  解救我們的人
[00:03:04.000 --> 00:03:06.000]  已經去到21世紀
[00:03:06.000 --> 00:03:08.000]  人類應該很文明
[00:03:08.000 --> 00:03:11.000]  但是人圍捕人的故事
[00:03:11.000 --> 00:03:13.000]  都是經常發生的
[00:03:13.000 --> 00:03:15.000]  剛剛這個星期
[00:03:15.000 --> 00:03:18.000]  緬甸的昂山素姬
[00:03:18.000 --> 00:03:21.000]  就要出席海牙聯合國
[00:03:21.000 --> 00:03:23.000]  國際法院的一個聆訊
[00:03:23.000 --> 00:03:26.000]  她要為羅興亞人受的苦
[00:03:26.000 --> 00:03:28.000]  要做一些辯解
[00:03:28.000 --> 00:03:30.000]  羅興亞人的故事
[00:03:30.000 --> 00:03:32.000]  又是一群人
[00:03:32.000 --> 00:03:35.000]  被另外一群人圍捕的故事
[00:03:35.000 --> 00:03:37.000]  他們孤立無援
[00:03:37.000 --> 00:03:39.000]  四面楚歌
[00:03:39.000 --> 00:03:42.000]  連昂山素姬都承認
[00:03:42.000 --> 00:03:45.000]  官方是對他們
[00:03:45.000 --> 00:03:49.000]  可能使用了過份的武力
[00:03:49.000 --> 00:03:52.000]  對於這些被圍捕的人來說
[00:03:52.000 --> 00:03:54.000]  對於羅興亞人來說
[00:03:54.000 --> 00:03:56.000]  他們所期待的
[00:03:56.000 --> 00:03:58.000]  就是一個解救的人
[00:03:58.000 --> 00:04:01.000]  解救他們出苦難的人
[00:04:01.000 --> 00:04:03.000]  他們心中的問題
[00:04:03.000 --> 00:04:05.000]  應該時時都是這樣
[00:04:05.000 --> 00:04:09.000]  就是哪將要來的是你媽
[00:04:09.000 --> 00:04:12.000]  哪將要來的是那個能夠解救
