
[00:00:00.000 --> 00:00:03.360]  請我們先低頭同心土局
[00:00:03.360 --> 00:00:05.040]  天皇上帝,我們要多謝祢
[00:00:05.040 --> 00:00:07.440]  讓我們今天有美好的清晨
[00:00:07.440 --> 00:00:10.840]  去到祢面前去服侍祢
[00:00:10.840 --> 00:00:13.400]  儘管我們仍然因為疫情的緣故
[00:00:13.400 --> 00:00:17.360]  今天仍然未能夠回到聖殿實體的當中
[00:00:17.360 --> 00:00:19.840]  但透過網路,透過祢給我們的科技
[00:00:19.840 --> 00:00:22.600]  我們能夠繼續去朝見祢,我們獻上感恩
[00:00:22.600 --> 00:00:25.000]  求祢讓我們有尊心去到祢面前
[00:00:25.000 --> 00:00:27.840]  開我們的耳朵,讓我們細心的聆聽
[00:00:27.840 --> 00:00:32.440]  開我們的眼睛,讓我們專心去沾用祢的榮光
[00:00:32.440 --> 00:00:36.240]  又讓我們用行動,用手腳去回應祢的召命
[00:00:36.240 --> 00:00:37.360]  由於僕人口中的言語
[00:00:37.360 --> 00:00:38.960]  頂姐妹之間的心思意念
[00:00:38.960 --> 00:00:41.040]  蒙聖靈的啟迪,蒙主的悅立
[00:00:41.040 --> 00:00:45.360]  禱告奉耶穌基督的名求,阿門
[00:00:45.360 --> 00:00:47.720]  頂姐妹今天和大家分享一個題目是
[00:00:47.720 --> 00:00:50.440]  戰勝魔鬼之道
[00:00:50.440 --> 00:00:54.280]  在這個禦虎期,大齋期這個日子當中
[00:00:54.280 --> 00:00:58.080]  我們更多需要去思考和默想
[00:00:58.080 --> 00:00:59.520]  常駐在我們生命當中
[00:00:59.520 --> 00:01:01.720]  特別是在這個世代、這個時局
[00:01:01.720 --> 00:01:03.120]  擺在我們這個位置
[00:01:03.120 --> 00:01:05.680]  我們應該用甚麼方法去回應
[00:01:05.680 --> 00:01:07.560]  所以今天經課的方書
[00:01:07.560 --> 00:01:12.920]  就正正記載著耶穌怎樣去回應魔鬼的試探
[00:01:12.920 --> 00:01:14.640]  首先我經常都想起一件事
[00:01:14.640 --> 00:01:16.600]  就是很多頂姐妹間中會走來問我
[00:01:16.600 --> 00:01:20.160]  牧師呀牧師,究竟甚麼是試探?
[00:01:20.160 --> 00:01:22.080]  甚麼是試煉?
[00:01:22.080 --> 00:01:25.120]  又或者我們怎樣去面對?
[00:01:25.120 --> 00:01:27.840]  到底試探和試煉這一類的東西在我們身上
[00:01:27.840 --> 00:01:29.240]  我們怎樣可以拿走它
[00:01:29.240 --> 00:01:31.520]  或者我們怎樣可以勝過它
[00:01:31.520 --> 00:01:32.640]  當然今天在這裡
[00:01:32.640 --> 00:01:35.880]  我不打算和大家討論甚麼是試探、試煉
[00:01:35.880 --> 00:01:38.960]  有興趣的話我們可以開始主要學課程慢慢討論
[00:01:38.960 --> 00:01:40.400]  不過你會發現聖經裏面很有趣
[00:01:40.400 --> 00:01:41.480]  其實在翻譯裏面
[00:01:41.480 --> 00:01:43.960]  常常就算同一個字的原文
[00:01:43.960 --> 00:01:47.760]  都會有試探、有試煉不同的翻譯
[00:01:47.760 --> 00:01:51.600]  有人說試探就是來自魔鬼陷阱
[00:01:51.600 --> 00:01:53.720]  想你跌倒的那些就是試探
[00:01:53.720 --> 00:01:55.400]  試煉就是來自上帝的
[00:01:55.400 --> 00:01:56.920]  讓我們可以煉正
[00:01:56.920 --> 00:02:00.120]  這樣就更純正、更好了
[00:02:00.120 --> 00:02:01.880]  無論怎樣理解也好
