
[00:00:00.000 --> 00:00:12.340]  今天所選的經文是《馬太福音》第四章第一節至第十一節
[00:00:12.340 --> 00:00:17.500]  《馬太福音》第四章第一節至十一節
[00:00:17.500 --> 00:00:21.300]  請聽我讀
[00:00:21.300 --> 00:00:25.420]  當時耶穌被聖靈引渡曠野
[00:00:25.420 --> 00:00:27.420]  受魔鬼的試探
[00:00:27.420 --> 00:00:31.420]  他禁食四十晝夜後來就餓了
[00:00:31.420 --> 00:00:34.500]  那試探人的進前來對他說
[00:00:34.500 --> 00:00:36.420]  你若是神的兒子
[00:00:36.420 --> 00:00:39.420]  可以吩咐這些石頭變為食物
[00:00:39.420 --> 00:00:41.420]  耶穌卻回答說
[00:00:41.420 --> 00:00:43.420]  經上記著說
[00:00:43.420 --> 00:00:45.420]  人活著不是單靠食物
[00:00:45.420 --> 00:00:49.420]  乃是靠神口裡所出的一切話
[00:00:49.420 --> 00:00:52.420]  魔鬼就帶他進了聖城
[00:00:52.420 --> 00:00:56.420]  叫他站在墊頂上
[00:00:56.420 --> 00:00:57.420]  對他說
[00:00:57.420 --> 00:00:59.420]  你若是神的兒子
[00:00:59.420 --> 00:01:00.420]  可以跳下去
[00:01:00.420 --> 00:01:02.420]  因為經上記著說
[00:01:02.420 --> 00:01:06.420]  主要為你吩咐他的使者用手托住你
[00:01:06.420 --> 00:01:10.420]  免得你的腳碰在石頭上
[00:01:10.420 --> 00:01:12.420]  耶穌對他說
[00:01:12.420 --> 00:01:14.420]  經上又記著說
[00:01:14.420 --> 00:01:17.420]  不可試探主你的神
[00:01:17.420 --> 00:01:21.420]  魔鬼又帶他上了一座最高的山
[00:01:21.420 --> 00:01:27.420]  將世上的萬國與萬國的榮華都指給他看
[00:01:27.420 --> 00:01:28.420]  對他說
[00:01:28.420 --> 00:01:30.420]  你若苦服拜我
[00:01:30.420 --> 00:01:33.420]  我就把這一切都賜給你
[00:01:33.420 --> 00:01:34.420]  耶穌說
[00:01:34.420 --> 00:01:35.420]  撒旦
[00:01:35.420 --> 00:01:37.420]  撒旦就是敵黨的意思
[00:01:37.420 --> 00:01:39.420]  也是魔鬼的別名
[00:01:39.420 --> 00:01:40.420]  退去吧
[00:01:40.420 --> 00:01:42.420]  因為經上繼續說
[00:01:42.420 --> 00:01:44.420]  當拜主你的神
[00:01:44.420 --> 00:01:46.420]  單要侍奉他
[00:01:46.420 --> 00:01:49.420]  於是魔鬼來了耶穌
[00:01:49.420 --> 00:01:51.420]  有天使來侍候他
[00:01:51.420 --> 00:01:54.420]  願神幫助我們去明白他的話語
[00:01:54.420 --> 00:01:56.420]  又將他的話語藏在我們的心裏
[00:01:56.420 --> 00:01:57.420]  以下是正道的時候
[00:01:57.420 --> 00:01:59.420]  今天很高興有我們教會的牧師
[00:01:59.420 --> 00:02:01.420]  黃梅玲牧師在我們中間
[00:02:01.420 --> 00:02:03.420]  跟我們分享神的訊息
[00:02:03.420 --> 00:02:05.420]  黃牧師講的題目是
[00:02:05.420 --> 00:02:07.420]  直面試探之道
[00:02:07.420 --> 00:02:09.420]  將時間交給黃牧師
[00:02:09.420 --> 00:02:14.420]  各位弟兄姊妹平安
[00:02:14.420 --> 00:02:16.420]  感謝主啊
[00:02:16.420 --> 00:02:17.420]  在風暴之後
[00:02:17.420 --> 00:02:20.420]  保守我們都有平安的腳步
[00:02:20.420 --> 00:02:23.420]  回到神的殿當中去敬拜他
[00:02:23.420 --> 00:02:26.420]  不知道昨天一天
[00:02:26.420 --> 00:02:28.420]  大家都應該在家裏
[00:02:28.420 --> 00:02:30.420]  做了些什麼呢
[00:02:30.420 --> 00:02:32.420]  有沒有讀經啊
[00:02:32.420 --> 00:02:36.420]  有沒有祈禱啊
[00:02:36.420 --> 00:02:38.420]  每次都有
[00:02:38.420 --> 00:02:39.420]  有沒有播劇啊
[00:02:39.420 --> 00:02:44.420]  是不是播韓劇呢
[00:02:44.420 --> 00:02:49.420]  最近有一齣很熱門的韓劇
[00:02:49.420 --> 00:02:52.420]  不知道大家有沒有聽過
[00:02:52.420 --> 00:02:53.420]  有沒有看過
[00:02:53.420 --> 00:02:55.420]  或者是否追看中
[00:02:55.420 --> 00:02:58.420]  名字叫做XX遊戲
[00:02:58.420 --> 00:03:00.420]  我不說名字了
[00:03:00.420 --> 00:03:02.420]  有沒有看過
[00:03:02.420 --> 00:03:04.420]  好像有些知道
[00:03:04.420 --> 00:03:05.420]  有些不知道
[00:03:05.420 --> 00:03:06.420]  不要緊
[00:03:06.420 --> 00:03:09.420]  這齣韓劇究竟有多厲害呢
[00:03:09.420 --> 00:03:11.420]  原來這齣劇
[00:03:11.420 --> 00:03:13.420]  推出不到一個月
[00:03:13.420 --> 00:03:15.420]  但已經成為超過
[00:03:15.420 --> 00:03:19.420]  90個國家排行榜的冠軍
[00:03:19.420 --> 00:03:23.420]  包括美國和英國
[00:03:23.420 --> 00:03:28.420]  一齣以韓語為主的劇集
[00:03:28.420 --> 00:03:31.420]  竟然可以衝出亞洲
[00:03:31.420 --> 00:03:33.420]  都很厲害
[00:03:33.420 --> 00:03:37.420]  究竟為什麼這麼吸引人呢
[00:03:37.420 --> 00:03:39.420]  對我來說
[00:03:39.420 --> 00:03:41.420]  引起我注意的是
[00:03:41.420 --> 00:03:43.420]  在這齣劇的當中
[00:03:43.420 --> 00:03:45.420]  其實出現了一些
[00:03:45.420 --> 00:03:49.420]  和基督教有關的角色人物
[00:03:49.420 --> 00:03:53.420]  包括了在街上攔錢的傳教士
[00:03:53.420 --> 00:03:57.420]  包括了殺害妻子的牧師
[00:03:57.420 --> 00:04:00.420]  包括了原本是忠實
[00:04:00.420 --> 00:04:03.420]  但最終是向現實低頭
[00:04:03.420 --> 00:04:06.420]  而墮落的信徒
[00:04:06.420 --> 00:04:08.420]  令我困惑的就是
[00:04:08.420 --> 00:04:11.420]  為什麼這些角色
[00:04:11.420 --> 00:04:14.420]  竟然都是以負面的形象
[00:04:14.420 --> 00:04:17.420]  出現在這齣劇的當中
[00:04:17.420 --> 00:04:20.420]  處處去挑戰這些角色
[00:04:20.420 --> 00:04:23.420]  在信仰上的偽善呢
[00:04:23.420 --> 00:04:25.420]  某程度上
[00:04:25.420 --> 00:04:28.420]  這個都揭示了韓國教會
[00:04:28.420 --> 00:04:31.420]  當中對於這個
[00:04:31.420 --> 00:04:34.420]  在韓國社會裏面的一個
[00:04:34.420 --> 00:04:37.420]  負面的形象和實況
[00:04:37.420 --> 00:04:40.420]  或者我們都會覺得驚訝
[00:04:40.420 --> 00:04:43.420]  因為韓國的基督徒人數
[00:04:43.420 --> 00:04:45.420]  都很多
[00:04:45.420 --> 00:04:49.420]  是佔全國人口超過兩成
[00:04:49.420 --> 00:04:52.420]  也就是大約一千萬
[00:04:52.420 --> 00:04:55.420]  韓國也有很多間
[00:04:55.420 --> 00:04:58.420]  超級的教會Mega Church
[00:04:58.420 --> 00:05:00.420]  其中最大的一間
[00:05:00.420 --> 00:05:03.420]  有的信徒是超過八十萬
[00:05:03.420 --> 00:05:06.420]  嘩 這麼厲害
[00:05:06.420 --> 00:05:09.420]  為什麼看似興旺的教會發展
[00:05:09.420 --> 00:05:11.420]  竟然在社會裏面
[00:05:11.420 --> 00:05:15.420]  是有一種這麼負面的看法呢
[00:05:15.420 --> 00:05:17.420]  不過想深一層
[00:05:17.420 --> 00:05:19.420]  其實都不用去到這麼遠
[00:05:19.420 --> 00:05:21.420]  拉近一點距離
[00:05:21.420 --> 00:05:24.420]  大家可能都聽過
[00:05:24.420 --> 00:05:27.420]  聽過有些未信的人這樣說過
[00:05:27.420 --> 00:05:30.420]  如果信耶穌
[00:05:30.420 --> 00:05:33.420]  信到好像那個人那樣
[00:05:33.420 --> 00:05:36.420]  真的不信比信好
[00:05:36.420 --> 00:05:38.420]  有沒有聽過
[00:05:38.420 --> 00:05:41.420]  很多都聽過
[00:05:41.420 --> 00:05:44.420]  這一句似曾相識的說話
[00:05:44.420 --> 00:05:48.420]  其實都讓我們看到一個實況
[00:05:48.420 --> 00:05:51.420]  確實教會是由眾多
[00:05:51.420 --> 00:05:53.420]  夢神呼召出來的人
[00:05:53.420 --> 00:05:55.420]  所組成的信仰群體
[00:05:55.420 --> 00:05:58.420]  而這一群夢神呼召出來的信徒
[00:05:58.420 --> 00:06:02.420]  實際上就是一群蒙恩的罪人
[00:06:02.420 --> 00:06:06.420]  所以信徒信了耶穌之後
