
[00:00:00.000 --> 00:00:06.500]  我們讀底節的聖經在乙烯節書第37章 第三節跟九跟十節
[00:00:06.500 --> 00:00:10.880]  第三節這裏說 他對我說 仁子啊 這些骸骨能復活嗎
[00:00:10.880 --> 00:00:13.960]  我說 主耶爾華 你是知道的
[00:00:13.960 --> 00:00:17.240]  主對我說 仁子啊 你要發預言 向風 發預言
[00:00:17.240 --> 00:00:21.480]  說 主耶爾華 如此說 氣息啊 要從四方而來
[00:00:21.480 --> 00:00:26.120]  吹在這些被殺的人身上 使他們活了
[00:00:26.120 --> 00:00:30.360]  於是我遵命說預言 氣息就進了骸骨 骸骨變活了
[00:00:30.360 --> 00:00:34.320]  並且站起來 成爲極大的軍隊
[00:00:34.320 --> 00:00:36.520]  我們就讀到這裏
[00:00:36.520 --> 00:00:40.280]  感謝人上禮拜二 平安地從非洲回來
[00:00:40.280 --> 00:00:45.040]  那麼這一次是去西非的迦納這個國家
[00:00:45.040 --> 00:00:49.320]  除了是帶領我們一年一度的非洲牧者聯導會之外
[00:00:49.320 --> 00:00:55.400]  也很興奮的是我們特別爲首都阿誇這個分堂
[00:00:55.400 --> 00:00:59.160]  我們主持了獻堂感恩的崇拜
[00:00:59.160 --> 00:01:02.600]  我們看第一張照片 這是從正面來看這個建築
[00:01:02.600 --> 00:01:07.320]  第二張從側面非常壯觀的美麗的建築
[00:01:07.320 --> 00:01:11.280]  那天會場裏面非常大 坐了一千一百人在裏面
[00:01:11.280 --> 00:01:15.880]  非常大的一個地方
[00:01:15.880 --> 00:01:18.520]  他們的節目非常的豐富 又唱又跳
[00:01:18.520 --> 00:01:23.440]  從早上九點鐘聚會到下午一點半才結束
[00:01:23.440 --> 00:01:25.080]  超級長的
[00:01:25.080 --> 00:01:29.840]  但是心中充滿了歡喜 充滿了讚美
[00:01:29.840 --> 00:01:35.000]  回想這二十幾年來我們在非洲的宣教職堂的施工
[00:01:35.000 --> 00:01:38.840]  我們實在不能夠不爲神的恩典來感謝
[00:01:38.840 --> 00:01:43.960]  我們所信的神真的是一位史無變有的神
[00:01:43.960 --> 00:01:49.680]  二十幾年前當我們開始踏入非洲陌生的土地的時候
[00:01:49.680 --> 00:01:52.480]  我們那時候可以說一無所有
